ENSDNVP00000020225	ENSDNVG00000014154	Dromaius_novaehollandiae
ENSXETP00000012200	ENSXETG00000014695	Xenopus_tropicalis
ENSCMIP00000017508	ENSCMIG00000008349	Callorhinchus_milii	ENSCMIT00000017846
ENSEBUP00000012148	ENSEBUG00000007747	Eptatretus_burgeri
ENSMUSP00000020243	ENSMUSG00000020052	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000020243
MGP_SPRETEiJ_P0025565	MGP_SPRETEiJ_G0016517	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0025565
ENSMSIP00000037532	ENSMSIG00000031264	Mus_spicilegus	ENSMSIT00000047360
MGP_CAROLIEiJ_P0024379	MGP_CAROLIEiJ_G0015699	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0024379
MGP_PahariEiJ_P0088285	MGP_PahariEiJ_G0031386	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0088285
ENSRNOP00000005674	ENSRNOG00000004294	Rattus_norvegicus	ENSRNOT00000005674
ENSMUGP00000029336	ENSMUGG00000024345	Meriones_unguiculatus	ENSMUGT00000033594
ENSMUGP00000029335	ENSMUGG00000024340	Meriones_unguiculatus	ENSMUGT00000033590
ENSCGRP00015017895	ENSCGRG00015013765	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021898	ENSCGRG00001020607	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017649	ENSCGRG00000012838	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023212	ENSMAUG00000020431	Mesocricetus_auratus
ENSMOCP00000015254	ENSMOCG00000014507	Microtus_ochrogaster
ENSPEMP00000025484	ENSPEMG00000021891	Peromyscus_maniculatus_bairdii
ENSNGAP00000023433	ENSNGAG00000022000	Nannospalax_galili
ENSEASP00005029659	ENSEASG00005020171	Equus_asinus_asinus
ENSECAP00000045751	ENSECAG00000036896	Equus_caballus
ENSPVAP00000010625	ENSPVAG00000011272	Pteropus_vampyrus
ENSFCAP00000057051	ENSFCAG00000008250	Felis_catus
ENSNVIP00000013222	ENSNVIG00000010437	Neovison_vison
