ENSTRUP00000056177	ENSTRUG00000024597	Takifugu_rubripes
ENSSDUP00000029114	ENSSDUG00000020995	Seriola_dumerili
ENSMGAP00000001902	ENSMGAG00000002341	Meleagris_gallopavo
ENSKMAP00000013224	ENSKMAG00000009925	Kryptolebias_marmoratus
ENSPREP00000032851	ENSPREG00000022270	Poecilia_reticulata
ENSCAFP00000036092	ENSCAFG00000031210	Canis_lupus_familiaris
ENSODEP00000009799	ENSODEG00000007327	Octodon_degus
ENSATEP00000016203	ENSATEG00000011275	Anabas_testudineus
ENSAPEP00000018247	ENSAPEG00000013064	Amphiprion_percula
ENSCLAP00000020460	ENSCLAG00000014022	Chinchilla_lanigera
ENSVURP00010004188	ENSVURG00010003349	Vombatus_ursinus
ENSLCRP00005031203	ENSLCRG00005012374	Larimichthys_crocea
ENSSLDP00000014930	ENSSLDG00000011917	Seriola_lalandi_dorsalis
ENSXMAP00000008899	ENSXMAG00000008884	Xiphophorus_maculatus
ENSCHIP00000005790	ENSCHIG00000009782	Capra_hircus
ENSBBBP00000011077	ENSBBBG00000009157	Bison_bison_bison
ENSABRP00000004944	ENSABRG00000004570	Anser_brachyrhynchus
ENSELUP00000036167	ENSELUG00000015404	Esox_lucius
ENSCCNP00000031692	ENSCCNG00000030166	Castor_canadensis
ENSGGOP00000008517	ENSGGOG00000008711	Gorilla_gorilla
ENSCJAP00000072358	ENSCJAG00000067985	Callithrix_jacchus
ENSSTOP00000031481	ENSSTOG00000026759	Ictidomys_tridecemlineatus
ENSCANP00000038815	ENSCANG00000043091	Colobus_angolensis_palliatus
ENSLSDP00000025829	ENSLSDG00000018046	Lonchura_striata_domestica
ENSEASP00005005209	ENSEASG00005003899	Equus_asinus_asinus
ENSJJAP00000011937	ENSJJAG00000015119	Jaculus_jaculus
ENSCSAP00000015564	ENSCSAG00000002480	Chlorocebus_sabaeus
ENSPTIP00000016985	ENSPTIG00000015562	Panthera_tigris_altaica
ENSTBEP00000004689	ENSTBEG00000005452	Tupaia_belangeri
ENSOARP00000017962	ENSOARG00000016722	Ovis_aries
ENSMMMP00000025360	ENSMMMG00000022206	Marmota_marmota_marmota
