ENSTRUP00000015009	ENSTRUG00000006168	Takifugu_rubripes
ENSTNIP00000010938	ENSTNIG00000008113	Tetraodon_nigroviridis
ENSMMOP00000021935	ENSMMOG00000016680	Mola_mola
ENSATEP00000032234	ENSATEG00000022187	Anabas_testudineus
ENSMALP00000014567	ENSMALG00000010228	Monopterus_albus
ENSHCOP00000015505	ENSHCOG00000019146	Hippocampus_comes
ENSCSEP00000029102	ENSCSEG00000018644	Cynoglossus_semilaevis
ENSGWIP00000006980	ENSGWIG00000004082	Gouania_willdenowi
ENSMAMP00000029659	ENSMAMG00000019986	Mastacembelus_armatus
ENSSDUP00000013404	ENSSDUG00000009725	Seriola_dumerili
ENSSLDP00000029696	ENSSLDG00000022911	Seriola_lalandi_dorsalis
ENSLCAP00010021218	ENSLCAG00010009995	Lates_calcarifer
ENSSMAP00000020257	ENSSMAG00000012430	Scophthalmus_maximus
ENSCGOP00000031262	ENSCGOG00000014617	Cottoperca_gobio
ENSGACP00000013983	ENSGACG00000010572	Gasterosteus_aculeatus
ENSLBEP00000020558	ENSLBEG00000015806	Labrus_bergylta
ENSLCRP00005023600	ENSLCRG00005009498	Larimichthys_crocea
ENSAOCP00000001772	ENSAOCG00000004846	Amphiprion_ocellaris
ENSAPEP00000013398	ENSAPEG00000009557	Amphiprion_percula
ENSAPOP00000008148	ENSAPOG00000010231	Acanthochromis_polyacanthus
ENSSPAP00000028463	ENSSPAG00000021431	Stegastes_partitus
ENSPRNP00000053848	ENSPRNG00000025346	Parambassis_ranga
ENSFHEP00000014256	ENSFHEG00000000384	Fundulus_heteroclitus
ENSCVAP00000000338	ENSCVAG00000001239	Cyprinodon_variegatus
ENSPMEP00000034868	ENSPMEG00000024235	Poecilia_mexicana
ENSPFOP00000011031	ENSPFOG00000011037	Poecilia_formosa
ENSPLAP00000026405	ENSPLAG00000014167	Poecilia_latipinna
ENSPREP00000013171	ENSPREG00000008939	Poecilia_reticulata
ENSXMAP00000011939	ENSXMAG00000011915	Xiphophorus_maculatus
ENSXCOP00000025958	ENSXCOG00000019393	Xiphophorus_couchianus
ENSGAFP00000020300	ENSGAFG00000013724	Gambusia_affinis
ENSKMAP00000008260	ENSKMAG00000006215	Kryptolebias_marmoratus
ENSORLP00015011813	ENSORLG00015012645	Oryzias_latipes_ASM223469v1
ENSORLP00000032480	ENSORLG00000011631	Oryzias_latipes_ASM223467v1
ENSORLP00020025010	ENSORLG00020006726	Oryzias_latipes_ASM223471v1
ENSOMEP00000010375	ENSOMEG00000011647	Oryzias_melastigma
ENSACLP00000033142	ENSACLG00000022468	Astatotilapia_calliptera
ENSMZEP00005022173	ENSMZEG00005016631	Maylandia_zebra
ENSHBUP00000012407	ENSHBUG00000014111	Haplochromis_burtoni
ENSPNYP00000001601	ENSPNYG00000001268	Pundamilia_nyererei
ENSNBRP00000002962	ENSNBRG00000002364	Neolamprologus_brichardi
ENSONIP00000016128	ENSONIG00000012813	Oreochromis_niloticus
ENSACIP00000015498	ENSACIG00000012019	Amphilophus_citrinellus
ENSBSLP00000028826	ENSBSLG00000014417	Betta_splendens
ENSPMGP00000028473	ENSPMGG00000022916	Periophthalmus_magnuspinnatus
ENSGMOP00000004713	ENSGMOG00000004406	Gadus_morhua
ENSHHUP00000040830	ENSHHUG00000025254	Hucho_hucho
ENSHHUP00000029523	ENSHHUG00000018819	Hucho_hucho
ENSELUP00000016313	ENSELUG00000016151	Esox_lucius
ENSDCDP00000010687	ENSDCDG00000005339	Denticeps_clupeoides
ENSDCDP00000010692	ENSDCDG00000005342	Denticeps_clupeoides
ENSCHAP00000037100	ENSCHAG00000017502	Clupea_harengus
ENSIPUP00000011210	ENSIPUG00000007614	Ictalurus_punctatus
ENSEEEP00000026317	ENSEEEG00000012741	Electrophorus_electricus
ENSAMXP00005033165	ENSAMXG00005016119	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000016330	ENSAMXG00000015869	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000011839	ENSPNAG00000017575	Pygocentrus_nattereri
ENSDARP00000074846	ENSDARG00000057680	Danio_rerio
ENSSFOP00015002303	ENSSFOG00015001519	Scleropages_formosus
ENSPKIP00000014747	ENSPKIG00000001706	Paramormyrops_kingsleyae
ENSLOCP00000009916	ENSLOCG00000008171	Lepisosteus_oculatus
ENSECRP00000013488	ENSECRG00000008997	Erpetoichthys_calabaricus
