ENSAPOP00000027936	ENSAPOG00000012804	Acanthochromis_polyacanthus
ENSCMIP00000018124	ENSCMIG00000008560	Callorhinchus_milii
ENSHHUP00000052485	ENSHHUG00000031557	Hucho_hucho
ENSMOCP00000020803	ENSMOCG00000018375	Microtus_ochrogaster
ENSOGAP00000017987	ENSOGAG00000032628	Otolemur_garnettii
ENSCSAP00000006171	ENSCSAG00000009926	Chlorocebus_sabaeus
ENSPNYP00000028976	ENSPNYG00000021833	Pundamilia_nyererei
ENSMMUP00000080867	ENSMMUG00000023132	Macaca_mulatta
ENSCAFP00000014729	ENSCAFG00000010009	Canis_lupus_familiaris
ENSMALP00000019746	ENSMALG00000013791	Monopterus_albus
ENSLAFP00000025569	ENSLAFG00000028791	Loxodonta_africana
ENSMNEP00000015684	ENSMNEG00000031909	Macaca_nemestrina
ENSCANP00000033432	ENSCANG00000040385	Colobus_angolensis_palliatus
ENSOCUP00000022863	ENSOCUG00000024179	Oryctolagus_cuniculus
ENSORLP00015035578	ENSORLG00015022245	Oryzias_latipes_ASM223469v1
ENSPPRP00000025055	ENSPPRG00000015274	Panthera_pardus
ENSMGAP00000008726	ENSMGAG00000008501	Meleagris_gallopavo
ENSFALP00000012261	ENSFALG00000011742	Ficedula_albicollis
ENSTBEP00000013377	ENSTBEG00000015413	Tupaia_belangeri
ENSJHYP00000016414	ENSJHYG00000012550	Junco_hyemalis
ENSPTRP00000046131	ENSPTRG00000003154	Pan_troglodytes
ENSCCAP00000016686	ENSCCAG00000026130	Cebus_capucinus_imitator
ENSAMXP00005015925	ENSAMXG00005008364	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMJP00000012179	ENSPMJG00000009397	Parus_major
ENSLSDP00000016771	ENSLSDG00000012032	Lonchura_striata_domestica
ENSMEUP00000001547	ENSMEUG00000001687	Notamacropus_eugenii	ENSMEUT00000001695
ENSGALP00000010737	ENSGALG00000006647	Gallus_gallus
ENSACLP00000004572	ENSACLG00000003062	Astatotilapia_calliptera
ENSMLEP00000016454	ENSMLEG00000032418	Mandrillus_leucophaeus
ENSAMXP00005052640	ENSAMXG00005023675	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDNVP00000020458	ENSDNVG00000014310	Dromaius_novaehollandiae
ENSUAMP00000027072	ENSUAMG00000020906	Ursus_americanus
ENSHGLP00000010162	ENSHGLG00000007291	Heterocephalus_glaber_HetGla_female_1.0
ENSACAP00000023452	ENSACAG00000009286	Anolis_carolinensis
ENSMMMP00000005475	ENSMMMG00000004935	Marmota_marmota_marmota
ENSCHIP00000022101	ENSCHIG00000020201	Capra_hircus
ENSAMEP00000001856	ENSAMEG00000001766	Ailuropoda_melanoleuca
ENSMMOP00000024782	ENSMMOG00000018831	Mola_mola
ENSPPAP00000015457	ENSPPAG00000030871	Pan_paniscus
ENSSPAP00000002035	ENSSPAG00000001566	Stegastes_partitus
ENSMUSP00000049414	ENSMUSG00000037887	Mus_musculus_strain_reference_(CL57BL6)
ENSEBUP00000026841	ENSEBUG00000016519	Eptatretus_burgeri
ENSSBOP00000010873	ENSSBOG00000022266	Saimiri_boliviensis_boliviensis
ENSAPLP00000031130	ENSAPLG00000009896	Anas_platyrhynchos_platyrhynchos
ENSPMGP00000011474	ENSPMGG00000009501	Periophthalmus_magnuspinnatus
ENSODEP00000021392	ENSODEG00000015741	Octodon_degus
ENSOMEP00000021663	ENSOMEG00000023588	Oryzias_melastigma
ENSTNIP00000009510	ENSTNIG00000006726	Tetraodon_nigroviridis
ENSLOCP00000001792	ENSLOCG00000001567	Lepisosteus_oculatus
ENSCPBP00000009658	ENSCPBG00000007460	Chrysemys_picta_bellii
ENSEBUP00000006957	ENSEBUG00000004567	Eptatretus_burgeri
ENSPKIP00000015033	ENSPKIG00000001877	Paramormyrops_kingsleyae
ENSLBEP00000003821	ENSLBEG00000002969	Labrus_bergylta
ENSHHUP00000009501	ENSHHUG00000005801	Hucho_hucho
ENSCATP00000043370	ENSCATG00000044229	Cercocebus_atys
ENSIPUP00000016725	ENSIPUG00000011348	Ictalurus_punctatus
ENSPANP00000004611	ENSPANG00000022957	Papio_anubis
ENSETEP00000007784	ENSETEG00000009580	Echinops_telfairi	ENSETET00000009580
ENSSPAP00000023436	ENSSPAG00000017664	Stegastes_partitus
ENSORLP00000041949	ENSORLG00000023597	Oryzias_latipes_ASM223467v1
ENSDCDP00000012672	ENSDCDG00000007781	Denticeps_clupeoides
ENSBIXP00005042842	ENSBIXG00005026372	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNGAP00000002590	ENSNGAG00000002401	Nannospalax_galili
ENSPMEP00000012244	ENSPMEG00000014405	Poecilia_mexicana
ENSCGRP00015035654	ENSCGRG00015026771	Cricetulus_griseus_CriGri-PICR
ENSPRNP00000013795	ENSPRNG00000007536	Parambassis_ranga
ENSXCOP00000002211	ENSXCOG00000001763	Xiphophorus_couchianus
ENSMODP00000024112	ENSMODG00000019321	Monodelphis_domestica	ENSMODT00000024539
ENSEEEP00000034341	ENSEEEG00000016345	Electrophorus_electricus
ENSMZEP00005023176	ENSMZEG00005017357	Maylandia_zebra
MGP_PahariEiJ_P0020103	MGP_PahariEiJ_G0013912	Mus_pahari_strain_PAHARI_EIJ
ENSARWP00000003717	ENSARWG00000002764	Apteryx_rowi
ENSCABP00000014372	ENSCABG00000010733	Chelonoidis_abingdonii
MGP_CAROLIEiJ_P0083328	MGP_CAROLIEiJ_G0030713	Mus_caroli_strain_CAROLI_EIJ
ENSNBRP00000009481	ENSNBRG00000007404	Neolamprologus_brichardi
ENSPSMP00000009593	ENSPSMG00000007024	Prolemur_simus
ENSRROP00000042136	ENSRROG00000044229	Rhinopithecus_roxellana
ENSSLDP00000014624	ENSSLDG00000011695	Seriola_lalandi_dorsalis
ENSPCOP00000012941	ENSPCOG00000018078	Propithecus_coquereli
ENSAOWP00000001778	ENSAOWG00000001271	Apteryx_owenii
ENSSHAP00000005864	ENSSHAG00000005116	Sarcophilus_harrisii	ENSSHAT00000005918
ENSCHAP00000027475	ENSCHAG00000013334	Clupea_harengus
ENSBBBP00000019464	ENSBBBG00000012818	Bison_bison_bison
ENSTTRP00000007242	ENSTTRG00000007654	Tursiops_truncatus
ENSPTEP00000015331	ENSPTEG00000017030	Piliocolobus_tephrosceles
ENSCCEP00000008028	ENSCCEG00000008344	Cyanistes_caeruleus
ENSCJAP00000079091	ENSCJAG00000040604	Callithrix_jacchus
ENSEASP00005022324	ENSEASG00005015253	Equus_asinus_asinus
ENSPVIP00000000698	ENSPVIG00000000659	Pogona_vitticeps
ENSCJPP00005023318	ENSCJPG00005018515	Coturnix_japonica
ENSAHAP00000024644	ENSAHAG00000017192	Apteryx_haastii
ENSHBUP00000005860	ENSHBUG00000001064	Haplochromis_burtoni
ENSONIP00000013220	ENSONIG00000010517	Oreochromis_niloticus
MGP_SPRETEiJ_P0086748	MGP_SPRETEiJ_G0031823	Mus_spretus_strain_SPRET/EiJ
ENSPNAP00000021017	ENSPNAG00000027990	Pygocentrus_nattereri
ENSSSCP00000037721	ENSSSCG00000032911	Sus_scrofa_strain_reference
ENSSFOP00015002702	ENSSFOG00015001786	Scleropages_formosus
ENSCPRP00005024389	ENSCPRG00005016964	Crocodylus_porosus
ENSLCRP00005041858	ENSLCRG00005016072	Larimichthys_crocea
ENSMUGP00000030073	ENSMUGG00000024979	Meriones_unguiculatus
ENSSMAP00000015526	ENSSMAG00000009512	Scophthalmus_maximus
ENSVVUP00000002889	ENSVVUG00000002265	Vulpes_vulpes
ENSPEMP00000016965	ENSPEMG00000016025	Peromyscus_maniculatus_bairdii
ENSNLEP00000016088	ENSNLEG00000013284	Nomascus_leucogenys
ENSUPAP00010012764	ENSUPAG00010010343	Urocitellus_parryii
ENSRNOP00000046497	ENSRNOG00000029394	Rattus_norvegicus
ENSABRP00000006098	ENSABRG00000005654	Anser_brachyrhynchus
ENSXCOP00000002799	ENSXCOG00000002225	Xiphophorus_couchianus
ENSVURP00010007345	ENSVURG00010005675	Vombatus_ursinus	ENSVURT00010008305
ENSPCIP00000046745	ENSPCIG00000022967	Phascolarctos_cinereus	ENSPCIT00000065273
ENSNVIP00000008945	ENSNVIG00000007090	Neovison_vison
ENSFHEP00000009918	ENSFHEG00000011189	Fundulus_heteroclitus
ENSGMOP00000005286	ENSGMOG00000004993	Gadus_morhua
ENSMVIP00005014414	ENSMVIG00005010416	Manacus_vitellinus
ENSNPEP00000012708	ENSNPEG00000009487	Nothoprocta_perdicaria
