ENSPCOP00000024200	ENSPCOG00000024279	Propithecus_coquereli
ENSPSMP00000003334	ENSPSMG00000002728	Prolemur_simus
ENSMICP00000016403	ENSMICG00000034721	Microcebus_murinus
ENSOGAP00000009969	ENSOGAG00000011138	Otolemur_garnettii
ENSTSYP00000002894	ENSTSYG00000003161	Carlito_syrichta
ENSGGOP00000005033	ENSGGOG00000005136	Gorilla_gorilla
ENSP00000356218	ENSG00000159348	Homo_sapiens
ENSPPAP00000020710	ENSPPAG00000033586	Pan_paniscus
ENSPTRP00000003119	ENSPTRG00000001863	Pan_troglodytes
ENSPPYP00000000378	ENSPPYG00000000341	Pongo_abelii
ENSNLEP00000045980	ENSNLEG00000033971	Nomascus_leucogenys
ENSPANP00000029230	ENSPANG00000035066	Papio_anubis
ENSMLEP00000025185	ENSMLEG00000036777	Mandrillus_leucophaeus
ENSTGEP00000022711	ENSTGEG00000018382	Theropithecus_gelada
ENSCATP00000008110	ENSCATG00000024122	Cercocebus_atys
ENSMFAP00000009361	ENSMFAG00000000852	Macaca_fascicularis
ENSMNEP00000042734	ENSMNEG00000044097	Macaca_nemestrina
ENSMMUP00000068917	ENSMMUG00000054475	Macaca_mulatta
ENSCSAP00000010373	ENSCSAG00000014235	Chlorocebus_sabaeus
ENSRBIP00000013318	ENSRBIG00000030684	Rhinopithecus_bieti
ENSRROP00000023590	ENSRROG00000035635	Rhinopithecus_roxellana
ENSPTEP00000030649	ENSPTEG00000029813	Piliocolobus_tephrosceles
ENSCANP00000014596	ENSCANG00000030748	Colobus_angolensis_palliatus
ENSCJAP00000069204	ENSCJAG00000051652	Callithrix_jacchus
ENSSBOP00000019556	ENSSBOG00000026378	Saimiri_boliviensis_boliviensis
ENSCCAP00000036492	ENSCCAG00000036166	Cebus_capucinus_imitator
ENSANAP00000005392	ENSANAG00000020782	Aotus_nancymaae
ENSTBEP00000013426	ENSTBEG00000015477	Tupaia_belangeri
ENSCCNP00000028692	ENSCCNG00000027609	Castor_canadensis
ENSDORP00000006858	ENSDORG00000007313	Dipodomys_ordii
ENSMUSP00000027726	ENSMUSG00000026456	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000020900	ENSMSIG00000017771	Mus_spicilegus
MGP_SPRETEiJ_P0021007	MGP_SPRETEiJ_G0015428	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0019957	MGP_CAROLIEiJ_G0014621	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075253	MGP_PahariEiJ_G0027857	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000057400	ENSRNOG00000003973	Rattus_norvegicus
ENSMUGP00000005450	ENSMUGG00000005032	Meriones_unguiculatus
ENSCGRP00000022516	ENSCGRG00000016321	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033901	ENSCGRG00015025571	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027540	ENSCGRG00001024525	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016084	ENSMAUG00000015345	Mesocricetus_auratus
ENSPEMP00000018167	ENSPEMG00000016852	Peromyscus_maniculatus_bairdii
ENSMOCP00000011044	ENSMOCG00000011285	Microtus_ochrogaster
ENSNGAP00000009621	ENSNGAG00000012253	Nannospalax_galili
ENSJJAP00000004027	ENSJJAG00000008154	Jaculus_jaculus
ENSUPAP00010010312	ENSUPAG00010008356	Urocitellus_parryii
ENSMMMP00000014852	ENSMMMG00000013214	Marmota_marmota_marmota
ENSSDAP00000002225	ENSSDAG00000002136	Spermophilus_dauricus
ENSSTOP00000023746	ENSSTOG00000021865	Ictidomys_tridecemlineatus
ENSCLAP00000014503	ENSCLAG00000010011	Chinchilla_lanigera
ENSODEP00000016385	ENSODEG00000012060	Octodon_degus
ENSCAPP00000006683	ENSCAPG00000008786	Cavia_aperea
ENSCPOP00000026999	ENSCPOG00000040552	Cavia_porcellus
ENSHGLP00100024885	ENSHGLG00100018268	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012396	ENSHGLG00000008857	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014310	ENSFDAG00000001475	Fukomys_damarensis
ENSOCUP00000014440	ENSOCUG00000016799	Oryctolagus_cuniculus
ENSOPRP00000001409	ENSOPRG00000001533	Ochotona_princeps
ENSMLUP00000009046	ENSMLUG00000009917	Myotis_lucifugus
ENSPVAP00000012390	ENSPVAG00000013138	Pteropus_vampyrus
ENSVPAP00000005619	ENSVPAG00000006059	Vicugna_pacos
ENSSSCP00000036198	ENSSSCG00000010929	Sus_scrofa_strain_reference
ENSBIXP00000030805	ENSBIXG00000012894	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005016504	ENSBIXG00005020150	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026548	ENSBTAG00000019927	Bos_taurus
ENSBMUP00000006600	ENSBMUG00000005215	Bos_mutus
ENSBBBP00000017040	ENSBBBG00000009246	Bison_bison_bison
ENSCHIP00000013090	ENSCHIG00000014622	Capra_hircus
ENSOARP00000019404	ENSOARG00000018076	Ovis_aries
ENSTTRP00000006037	ENSTTRG00000006383	Tursiops_truncatus
ENSUMAP00000006962	ENSUMAG00000005413	Ursus_maritimus
ENSUAMP00000002658	ENSUAMG00000002422	Ursus_americanus
ENSAMEP00000012888	ENSAMEG00000012218	Ailuropoda_melanoleuca
ENSNVIP00000019949	ENSNVIG00000015637	Neovison_vison
ENSMPUP00000011129	ENSMPUG00000011221	Mustela_putorius_furo
ENSCAFP00000015233	ENSCAFG00000010350	Canis_lupus_familiaris
ENSCAFP00020018912	ENSCAFG00020015012	Canis_lupus_dingo
ENSVVUP00000008912	ENSVVUG00000006662	Vulpes_vulpes
ENSPTIP00000024113	ENSPTIG00000020319	Panthera_tigris_altaica
ENSPPRP00000001622	ENSPPRG00000023989	Panthera_pardus
ENSFCAP00000041154	ENSFCAG00000042605	Felis_catus
ENSEASP00005028907	ENSEASG00005019675	Equus_asinus_asinus
ENSECAP00000007992	ENSECAG00000009763	Equus_caballus
ENSSARP00000007849	ENSSARG00000008685	Sorex_araneus
ENSSARP00000012266	ENSSARG00000013565	Sorex_araneus
ENSLAFP00000002933	ENSLAFG00000003522	Loxodonta_africana
ENSPCAP00000010588	ENSPCAG00000011361	Procavia_capensis
ENSETEP00000011093	ENSETEG00000013675	Echinops_telfairi
ENSDNOP00000019148	ENSDNOG00000008638	Dasypus_novemcinctus
ENSCHOP00000005711	ENSCHOG00000006457	Choloepus_hoffmanni
ENSEEUP00000003548	ENSEEUG00000003915	Erinaceus_europaeus
ENSPCIP00000004110	ENSPCIG00000003357	Phascolarctos_cinereus
ENSPCIP00000046582	ENSPCIG00000036550	Phascolarctos_cinereus
ENSVURP00010002948	ENSVURG00010002400	Vombatus_ursinus
ENSMEUP00000003847	ENSMEUG00000004220	Notamacropus_eugenii
ENSMODP00000001066	ENSMODG00000000894	Monodelphis_domestica
ENSSHAP00000018689	ENSSHAG00000015865	Sarcophilus_harrisii
ENSOANP00000004279	ENSOANG00000002686	Ornithorhynchus_anatinus
ENSXETP00000003200	ENSXETG00000005040	Xenopus_tropicalis
ENSPKIP00000040851	ENSPKIG00000017647	Paramormyrops_kingsleyae	ENSPKIT00000021877
ENSSFOP00015029103	ENSSFOG00015018679	Scleropages_formosus	ENSSFOT00015029437
ENSHHUP00000016625	ENSHHUG00000010346	Hucho_hucho
ENSELUP00000022752	ENSELUG00000021879	Esox_lucius
ENSECRP00000008818	ENSECRG00000005919	Erpetoichthys_calabaricus
ENSAOCP00000019553	ENSAOCG00000003047	Amphiprion_ocellaris
ENSAPEP00000011720	ENSAPEG00000008307	Amphiprion_percula
ENSSMAP00000027203	ENSSMAG00000016603	Scophthalmus_maximus
ENSHHUP00000010153	ENSHHUG00000006184	Hucho_hucho
ENSCAFP00020012723	ENSCAFG00020010249	Canis_lupus_dingo
ENSCAFP00000046772	ENSCAFG00000006769	Canis_lupus_familiaris
ENSVVUP00000039170	ENSVVUG00000027918	Vulpes_vulpes
ENSVVUP00000011619	ENSVVUG00000008561	Vulpes_vulpes
ENSSARP00000008158	ENSSARG00000009016	Sorex_araneus
ENSTTRP00000001856	ENSTTRG00000001978	Tursiops_truncatus
ENSCHOP00000001287	ENSCHOG00000001454	Choloepus_hoffmanni
ENSOANP00000019105	ENSOANG00000012063	Ornithorhynchus_anatinus
ENSEBUP00000015863	ENSEBUG00000009987	Eptatretus_burgeri
