ENSPMAP00000010789	ENSPMAG00000009818	Petromyzon_marinus
ENSEBUP00000007924	ENSEBUG00000005161	Eptatretus_burgeri
ENSAPOP00000015667	ENSAPOG00000018698	Acanthochromis_polyacanthus
ENSPFOP00000021454	ENSPFOG00000021911	Poecilia_formosa
ENSXCOP00000019435	ENSXCOG00000014601	Xiphophorus_couchianus
ENSAHAP00000027976	ENSAHAG00000019447	Apteryx_haastii
ENSAOWP00000023646	ENSAOWG00000015783	Apteryx_owenii
ENSARWP00000000050	ENSARWG00000000040	Apteryx_rowi
ENSDNVP00000025325	ENSDNVG00000017620	Dromaius_novaehollandiae
ENSNPEP00000016506	ENSNPEG00000012300	Nothoprocta_perdicaria
ENSTGUP00000004392	ENSTGUG00000004238	Taeniopygia_guttata
ENSTGUP00000015581	ENSTGUG00000015235	Taeniopygia_guttata
ENSLSDP00000004003	ENSLSDG00000003110	Lonchura_striata_domestica
ENSSCAP00000015978	ENSSCAG00000011699	Serinus_canaria
ENSZALP00000005333	ENSZALG00000004956	Zonotrichia_albicollis
ENSJHYP00000023371	ENSJHYG00000017601	Junco_hyemalis
ENSFALP00000013972	ENSFALG00000013373	Ficedula_albicollis
ENSPMJP00000027328	ENSPMJG00000019887	Parus_major
ENSCCEP00000006260	ENSCCEG00000006470	Cyanistes_caeruleus
ENSLCOP00000000568	ENSLCOG00000000512	Lepidothrix_coronata
ENSLCOP00000020347	ENSLCOG00000014423	Lepidothrix_coronata
ENSMVIP00005001903	ENSMVIG00005000704	Manacus_vitellinus
ENSCPUP00000024764	ENSCPUG00000016756	Calidris_pugnax	ENSCPUT00000029170
ENSCPGP00000015105	ENSCPGG00000010092	Calidris_pygmaea	ENSCPGT00000016547
ENSMUNP00000003857	ENSMUNG00000002690	Melopsittacus_undulatus
ENSABRP00000021225	ENSABRG00000018031	Anser_brachyrhynchus
ENSAPLP00000005411	ENSAPLG00000005685	Anas_platyrhynchos_platyrhynchos
ENSGALP00000061379	ENSGALG00000011708	Gallus_gallus
ENSCJPP00005027127	ENSCJPG00005021064	Coturnix_japonica
ENSMGAP00000012699	ENSMGAG00000012084	Meleagris_gallopavo
ENSNMEP00000027643	ENSNMEG00000023133	Numida_meleagris
ENSCPRP00005002348	ENSCPRG00005001711	Crocodylus_porosus
ENSCABP00000011474	ENSCABG00000008553	Chelonoidis_abingdonii
ENSGAGP00000034765	ENSGAGG00000024612	Gopherus_agassizii
ENSCPBP00000019035	ENSCPBG00000013789	Chrysemys_picta_bellii
ENSPSIP00000004455	ENSPSIG00000004151	Pelodiscus_sinensis
ENSSPUP00000021814	ENSSPUG00000016724	Sphenodon_punctatus
ENSNSUP00000013941	ENSNSUG00000010342	Notechis_scutatus
ENSNSUP00000013939	ENSNSUG00000010341	Notechis_scutatus
ENSNSUP00000013944	ENSNSUG00000010345	Notechis_scutatus
ENSACAP00000010518	ENSACAG00000010640	Anolis_carolinensis
ENSPVIP00000030266	ENSPVIG00000022127	Pogona_vitticeps
ENSSMRP00000015882	ENSSMRG00000012348	Salvator_merianae
ENSOPRP00000012872	ENSOPRG00000014067	Ochotona_princeps
ENSOCUP00000022595	ENSOCUG00000014935	Oryctolagus_cuniculus
ENSCCNP00000015533	ENSCCNG00000015926	Castor_canadensis
ENSMLUP00000010918	ENSMLUG00000011967	Myotis_lucifugus
ENSPVAP00000016846	ENSPVAG00000017855	Pteropus_vampyrus
ENSEEUP00000014343	ENSEEUG00000015687	Erinaceus_europaeus
ENSUAMP00000028486	ENSUAMG00000022014	Ursus_americanus
ENSUMAP00000035046	ENSUMAG00000025194	Ursus_maritimus
ENSAMEP00000004939	ENSAMEG00000004641	Ailuropoda_melanoleuca
ENSMPUP00000004329	ENSMPUG00000004362	Mustela_putorius_furo
ENSNVIP00000017546	ENSNVIG00000013377	Neovison_vison
ENSCAFP00000059142	ENSCAFG00000012119	Canis_lupus_familiaris
ENSCAFP00020005836	ENSCAFG00020004677	Canis_lupus_dingo
ENSVVUP00000005477	ENSVVUG00000004229	Vulpes_vulpes
ENSPTIP00000001375	ENSPTIG00000002068	Panthera_tigris_altaica
ENSPPRP00000014381	ENSPPRG00000007685	Panthera_pardus
ENSFCAP00000043407	ENSFCAG00000039601	Felis_catus
ENSECAP00000036798	ENSECAG00000015387	Equus_caballus
ENSEASP00005025173	ENSEASG00005017131	Equus_asinus_asinus
ENSBIXP00000018736	ENSBIXG00000022543	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003911	ENSBIXG00005009972	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000018646	ENSBBBG00000011706	Bison_bison_bison
ENSOARP00000021691	ENSOARG00000020201	Ovis_aries
ENSCHIP00000015058	ENSCHIG00000015809	Capra_hircus
ENSTTRP00000000566	ENSTTRG00000000599	Tursiops_truncatus
ENSSSCP00000040501	ENSSSCG00000011867	Sus_scrofa_strain_reference
ENSCGRP00000018439	ENSCGRG00000013421	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023909	ENSCGRG00001021977	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000003538	ENSMAUG00000003866	Mesocricetus_auratus
ENSMOCP00000023714	ENSMOCG00000020331	Microtus_ochrogaster
ENSMSIP00000010938	ENSMSIG00000009596	Mus_spicilegus
MGP_SPRETEiJ_P0043295	MGP_SPRETEiJ_G0021596	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000023538	ENSMUSG00000022836	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041417	MGP_CAROLIEiJ_G0020698	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028805	MGP_PahariEiJ_G0016401	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062274	ENSRNOG00000002215	Rattus_norvegicus
ENSMUGP00000002032	ENSMUGG00000001901	Meriones_unguiculatus
ENSMUGP00000002002	ENSMUGG00000001888	Meriones_unguiculatus
ENSCGRP00015025049	ENSCGRG00015018995	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015025007	ENSCGRG00015018964	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000036992	ENSPEMG00000028699	Peromyscus_maniculatus_bairdii
ENSPEMP00000035294	ENSPEMG00000026136	Peromyscus_maniculatus_bairdii
ENSNGAP00000018062	ENSNGAG00000018265	Nannospalax_galili
