FBpp0086103	FBgn0010409	Drosophila_melanogaster	FBtr0086947
E04A4.8.1	WBGene00004432	Caenorhabditis_elegans_strain_N2	E04A4.8.1
ENSBSLP00000003716	ENSBSLG00000002004	Betta_splendens
ENSDARP00000038658	ENSDARG00000025073	Danio_rerio
ENSSDUP00000017085	ENSSDUG00000012476	Seriola_dumerili
ENSLCRP00005033770	ENSLCRG00005013251	Larimichthys_crocea
ENSAPEP00000034767	ENSAPEG00000024678	Amphiprion_percula
ENSAPEP00000034817	ENSAPEG00000024722	Amphiprion_percula
ENSAOCP00000017294	ENSAOCG00000022332	Amphiprion_ocellaris
ENSAPOP00000000201	ENSAPOG00000001382	Acanthochromis_polyacanthus
ENSMALP00000010474	ENSMALG00000007459	Monopterus_albus
ENSMMOP00000007669	ENSMMOG00000005965	Mola_mola
ENSCGOP00000040707	ENSCGOG00000018544	Cottoperca_gobio
ENSPREP00000027441	ENSPREG00000018550	Poecilia_reticulata
ENSLCAP00010044872	ENSLCAG00010020846	Lates_calcarifer
ENSSPAP00000005928	ENSSPAG00000004590	Stegastes_partitus
ENSSLDP00000025154	ENSSLDG00000019582	Seriola_lalandi_dorsalis
ENSHHUP00000010388	ENSHHUG00000006348	Hucho_hucho
ENSEEEP00000001414	ENSEEEG00000000927	Electrophorus_electricus
ENSCSEP00000006147	ENSCSEG00000003962	Cynoglossus_semilaevis
ENSHCOP00000020355	ENSHCOG00000006361	Hippocampus_comes
ENSXMAP00000002828	ENSXMAG00000002821	Xiphophorus_maculatus
ENSXCOP00000015820	ENSXCOG00000011947	Xiphophorus_couchianus
ENSPFOP00000002660	ENSPFOG00000002771	Poecilia_formosa
ENSPLAP00000028373	ENSPLAG00000017698	Poecilia_latipinna
ENSPMEP00000024168	ENSPMEG00000006285	Poecilia_mexicana
ENSGAFP00000006049	ENSGAFG00000004121	Gambusia_affinis
ENSFHEP00000026689	ENSFHEG00000009674	Fundulus_heteroclitus
ENSCVAP00000017273	ENSCVAG00000020360	Cyprinodon_variegatus
ENSKMAP00000025696	ENSKMAG00000019034	Kryptolebias_marmoratus
ENSPRNP00000041721	ENSPRNG00000020431	Parambassis_ranga
ENSACLP00000012381	ENSACLG00000008450	Astatotilapia_calliptera
ENSHBUP00000018612	ENSHBUG00000020728	Haplochromis_burtoni
ENSPNYP00000030142	ENSPNYG00000022733	Pundamilia_nyererei
ENSMZEP00005025415	ENSMZEG00005018966	Maylandia_zebra
ENSNBRP00000022208	ENSNBRG00000017030	Neolamprologus_brichardi
ENSONIP00000009417	ENSONIG00000007470	Oreochromis_niloticus
ENSACIP00000011486	ENSACIG00000008969	Amphilophus_citrinellus
ENSTNIP00000005032	ENSTNIG00000002482	Tetraodon_nigroviridis
ENSTRUP00000025729	ENSTRUG00000010216	Takifugu_rubripes
ENSGACP00000000764	ENSGACG00000000590	Gasterosteus_aculeatus
ENSLBEP00000000167	ENSLBEG00000000135	Labrus_bergylta
ENSSMAP00000008585	ENSSMAG00000005279	Scophthalmus_maximus
