ENSPTRP00000047259	ENSPTRG00000028202	Pan_troglodytes	ENSPTRT00000054891
ENSPPAP00000001281	ENSPPAG00000005589	Pan_paniscus	ENSPPAT00000006056
ENSP00000423390	ENSG00000134588	Homo_sapiens	ENST00000511190
ENSGGOP00000027497	ENSGGOG00000026929	Gorilla_gorilla
ENSPPYP00000023205	ENSPPYG00000020728	Pongo_abelii
ENSMMUP00000071279	ENSMMUG00000061004	Macaca_mulatta
ENSTGEP00000029904	ENSTGEG00000024029	Theropithecus_gelada
ENSCSAP00000017697	ENSCSAG00000000300	Chlorocebus_sabaeus
ENSPTEP00000034136	ENSPTEG00000032452	Piliocolobus_tephrosceles
ENSCANP00000034877	ENSCANG00000041132	Colobus_angolensis_palliatus
ENSANAP00000010910	ENSANAG00000023425	Aotus_nancymaae
ENSCJAP00000052389	ENSCJAG00000004139	Callithrix_jacchus
ENSPSMP00000029706	ENSPSMG00000020622	Prolemur_simus
ENSPTIP00000007496	ENSPTIG00000009126	Panthera_tigris_altaica
ENSNVIP00000003533	ENSNVIG00000002821	Neovison_vison
