ENSCGOP00000046158	ENSCGOG00000020702	Cottoperca_gobio
ENSLBEP00000015118	ENSLBEG00000011766	Labrus_bergylta
ENSSMAP00000002097	ENSSMAG00000001296	Scophthalmus_maximus
ENSATEP00000033581	ENSATEG00000023127	Anabas_testudineus
ENSBSLP00000048777	ENSBSLG00000023243	Betta_splendens
ENSLCRP00005051175	ENSLCRG00005019287	Larimichthys_crocea
ENSGACP00000017391	ENSGACG00000013153	Gasterosteus_aculeatus
ENSMAMP00000023617	ENSMAMG00000015892	Mastacembelus_armatus
ENSMALP00000003049	ENSMALG00000002258	Monopterus_albus
ENSSDUP00000019158	ENSSDUG00000013979	Seriola_dumerili
ENSSLDP00000019303	ENSSLDG00000015141	Seriola_lalandi_dorsalis
ENSLCAP00010033503	ENSLCAG00010015748	Lates_calcarifer
ENSAOCP00000002984	ENSAOCG00000006179	Amphiprion_ocellaris
ENSAPEP00000024680	ENSAPEG00000017560	Amphiprion_percula
ENSAPOP00000032500	ENSAPOG00000020443	Acanthochromis_polyacanthus
ENSSPAP00000005528	ENSSPAG00000004286	Stegastes_partitus
ENSGWIP00000011252	ENSGWIG00000006620	Gouania_willdenowi
ENSPNYP00000010590	ENSPNYG00000008033	Pundamilia_nyererei
ENSHBUP00000008572	ENSHBUG00000010077	Haplochromis_burtoni
ENSACLP00000008769	ENSACLG00000005974	Astatotilapia_calliptera
ENSMZEP00005018276	ENSMZEG00005013724	Maylandia_zebra
ENSNBRP00000011406	ENSNBRG00000008886	Neolamprologus_brichardi
ENSONIP00000000686	ENSONIG00000000539	Oreochromis_niloticus
ENSACIP00000007927	ENSACIG00000006214	Amphilophus_citrinellus
ENSXMAP00000029150	ENSXMAG00000027802	Xiphophorus_maculatus
ENSXCOP00000001184	ENSXCOG00000000970	Xiphophorus_couchianus
ENSGAFP00000000145	ENSGAFG00000000107	Gambusia_affinis
ENSPFOP00000016435	ENSPFOG00000016373	Poecilia_formosa
ENSPLAP00000005311	ENSPLAG00000007186	Poecilia_latipinna
ENSPMEP00000015523	ENSPMEG00000018053	Poecilia_mexicana
ENSPREP00000008128	ENSPREG00000005542	Poecilia_reticulata
ENSFHEP00000028015	ENSFHEG00000011842	Fundulus_heteroclitus
ENSCVAP00000010740	ENSCVAG00000012899	Cyprinodon_variegatus
ENSORLP00020034266	ENSORLG00020020673	Oryzias_latipes_ASM223471v1
ENSORLP00000025935	ENSORLG00000022948	Oryzias_latipes_ASM223467v1
ENSORLP00015014276	ENSORLG00015015189	Oryzias_latipes_ASM223469v1
ENSOMEP00000009608	ENSOMEG00000010856	Oryzias_melastigma
ENSHCOP00000024883	ENSHCOG00000014574	Hippocampus_comes
ENSCSEP00000005142	ENSCSEG00000003323	Cynoglossus_semilaevis
ENSTRUP00000053238	ENSTRUG00000022222	Takifugu_rubripes
ENSTNIP00000009284	ENSTNIG00000006514	Tetraodon_nigroviridis
ENSMMOP00000022844	ENSMMOG00000017369	Mola_mola
ENSPMGP00000016893	ENSPMGG00000013851	Periophthalmus_magnuspinnatus
ENSAMXP00005007785	ENSAMXG00005004605	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000011979	ENSAMXG00000011657	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000022561	ENSEEEG00000010956	Electrophorus_electricus
ENSDARP00000055147	ENSDARG00000037852	Danio_rerio
ENSDCDP00000023450	ENSDCDG00000017842	Denticeps_clupeoides
