ENSCMIP00000011420	ENSCMIG00000005927	Callorhinchus_milii	ENSCMIT00000011701
ENSCMIP00000021412	ENSCMIG00000009762	Callorhinchus_milii	ENSCMIT00000021797
ENSCPUP00000018933	ENSCPUG00000013015	Calidris_pugnax
ENSCPGP00000026849	ENSCPGG00000018505	Calidris_pygmaea
ENSMUNP00000005022	ENSMUNG00000004171	Melopsittacus_undulatus
ENSNMEP00000007823	ENSNMEG00000007763	Numida_meleagris
ENSCJPP00005006565	ENSCJPG00005006125	Coturnix_japonica
ENSGALP00000000875	ENSGALG00000000619	Gallus_gallus
ENSMGAP00000006445	ENSMGAG00000006435	Meleagris_gallopavo
ENSPMJP00000005159	ENSPMJG00000004451	Parus_major
ENSABRP00000006378	ENSABRG00000005894	Anser_brachyrhynchus
ENSJHYP00000018845	ENSJHYG00000014339	Junco_hyemalis
ENSFALP00000012324	ENSFALG00000011805	Ficedula_albicollis
ENSMVIP00005028275	ENSMVIG00005019705	Manacus_vitellinus
ENSLCOP00000001671	ENSLCOG00000001331	Lepidothrix_coronata
ENSTGUP00000000086	ENSTGUG00000000086	Taeniopygia_guttata
ENSLSDP00000020573	ENSLSDG00000014562	Lonchura_striata_domestica
ENSCCEP00000025075	ENSCCEG00000022167	Cyanistes_caeruleus
ENSZALP00000001340	ENSZALG00000001576	Zonotrichia_albicollis
ENSSCAP00000000946	ENSSCAG00000000791	Serinus_canaria
ENSAHAP00000012316	ENSAHAG00000008894	Apteryx_haastii
ENSAOWP00000021404	ENSAOWG00000014460	Apteryx_owenii
ENSARWP00000023149	ENSARWG00000015786	Apteryx_rowi
ENSNPEP00000014808	ENSNPEG00000011048	Nothoprocta_perdicaria
ENSAPLP00000021456	ENSAPLG00000011184	Anas_platyrhynchos_platyrhynchos
ENSDNVP00000007559	ENSDNVG00000005383	Dromaius_novaehollandiae
ENSCPRP00005018635	ENSCPRG00005013045	Crocodylus_porosus
ENSCABP00000004573	ENSCABG00000003439	Chelonoidis_abingdonii
ENSGAGP00000016809	ENSGAGG00000012558	Gopherus_agassizii
ENSCPBP00000023927	ENSCPBG00000017058	Chrysemys_picta_bellii
ENSPSIP00000010509	ENSPSIG00000009486	Pelodiscus_sinensis
ENSNSUP00000012770	ENSNSUG00000009574	Notechis_scutatus
ENSNSUP00000008883	ENSNSUG00000006832	Notechis_scutatus
ENSPVIP00000016566	ENSPVIG00000012815	Pogona_vitticeps
ENSSMRP00000025228	ENSSMRG00000019523	Salvator_merianae
ENSSPUP00000002874	ENSSPUG00000002237	Sphenodon_punctatus
ENSPCIP00000027459	ENSPCIG00000020509	Phascolarctos_cinereus
ENSVURP00010032404	ENSVURG00010024725	Vombatus_ursinus
ENSMEUP00000011986	ENSMEUG00000013133	Notamacropus_eugenii
ENSMODP00000032145	ENSMODG00000049909	Monodelphis_domestica
ENSSHAP00000008411	ENSSHAG00000007289	Sarcophilus_harrisii
ENSTTRP00000009239	ENSTTRG00000009738	Tursiops_truncatus
ENSSSCP00000014452	ENSSSCG00000013599	Sus_scrofa_strain_reference
