ENSAHAP00000020839	ENSAHAG00000014648	Apteryx_haastii	ENSAHAT00000022988
ENSSPUP00000007334	ENSSPUG00000005635	Sphenodon_punctatus	ENSSPUT00000007815
ENSMUSP00000114624	ENSMUSG00000026049	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000147571
ENSMSIP00000020354	ENSMSIG00000017260	Mus_spicilegus	ENSMSIT00000025693
MGP_SPRETEiJ_P0018435	MGP_SPRETEiJ_G0014903	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0018435
MGP_CAROLIEiJ_P0017428	MGP_CAROLIEiJ_G0014099	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0017428
ENSRNOP00000015600	ENSRNOG00000011658	Rattus_norvegicus	ENSRNOT00000015600
ENSCGRP00015038408	ENSCGRG00015028710	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012414	ENSCGRG00001013834	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000839	ENSCGRG00000000666	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017138	ENSMAUG00000016083	Mesocricetus_auratus
ENSNGAP00000012004	ENSNGAG00000013996	Nannospalax_galili
ENSJJAP00000010283	ENSJJAG00000013925	Jaculus_jaculus
ENSHGLP00000001249	ENSHGLG00000000973	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016756	ENSHGLG00100012365	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009836	ENSFDAG00000017741	Fukomys_damarensis
ENSCPOP00000026979	ENSCPOG00000032316	Cavia_porcellus
ENSCAPP00000010393	ENSCAPG00000011657	Cavia_aperea
ENSODEP00000012999	ENSODEG00000009629	Octodon_degus
ENSCLAP00000002802	ENSCLAG00000002020	Chinchilla_lanigera
ENSCCNP00000021671	ENSCCNG00000021415	Castor_canadensis
ENSDORP00000002438	ENSDORG00000002595	Dipodomys_ordii
ENSCCAP00000028196	ENSCCAG00000032005	Cebus_capucinus_imitator
ENSSBOP00000008888	ENSSBOG00000021338	Saimiri_boliviensis_boliviensis
ENSCJAP00000060379	ENSCJAG00000040633	Callithrix_jacchus
ENSANAP00000004035	ENSANAG00000020101	Aotus_nancymaae
