ENSHGLP00000005837	ENSHGLG00000004261	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014872	ENSHGLG00100011013	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000027282	ENSCCNG00000026406	Castor_canadensis
ENSCGRP00001011534	ENSCGRG00001013161	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000033334	ENSPEMG00000026978	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0024812	MGP_SPRETEiJ_G0016324	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0023667	MGP_CAROLIEiJ_G0015511	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000006720	ENSMSIG00000005992	Mus_spicilegus
ENSRNOP00000071736	ENSRNOG00000060598	Rattus_norvegicus
ENSNGAP00000015155	ENSNGAG00000016261	Nannospalax_galili
ENSOCUP00000041349	ENSOCUG00000035283	Oryctolagus_cuniculus
ENSPTEP00000038348	ENSPTEG00000035675	Piliocolobus_tephrosceles
ENSTGEP00000010206	ENSTGEG00000008378	Theropithecus_gelada
ENSPSMP00000013131	ENSPSMG00000009436	Prolemur_simus
ENSSSCP00000033818	ENSSSCG00000037526	Sus_scrofa_strain_reference	ENSSSCT00000049823
ENSECAP00000046204	ENSECAG00000037674	Equus_caballus
ENSEASP00005004637	ENSEASG00005003516	Equus_asinus_asinus
ENSVURP00010032605	ENSVURG00010024861	Vombatus_ursinus
