ENSGALP00000019373	ENSGALG00000011889	Gallus_gallus	ENSGALT00000019399
MGP_SPRETEiJ_P0034049	MGP_SPRETEiJ_G0018694	Mus_spretus_strain_SPRET/EiJ
ENSUPAP00010011195	ENSUPAG00010009074	Urocitellus_parryii
ENSMPUP00000006445	ENSMPUG00000006500	Mustela_putorius_furo
ENSCGOP00000017756	ENSCGOG00000006823	Cottoperca_gobio
ENSORLP00015007922	ENSORLG00015008770	Oryzias_latipes_ASM223469v1
ENSPNAP00000036824	ENSPNAG00000028009	Pygocentrus_nattereri
ENSMGAP00000014334	ENSMGAG00000013557	Meleagris_gallopavo	ENSMGAT00000015264
ENSPPRP00000029141	ENSPPRG00000021627	Panthera_pardus
ENSAHAP00000007356	ENSAHAG00000005524	Apteryx_haastii	ENSAHAT00000008202
ENSCJAP00000035624	ENSCJAG00000019178	Callithrix_jacchus
ENSSPAP00000017238	ENSSPAG00000012984	Stegastes_partitus
ENSTNIP00000004603	ENSTNIG00000002165	Tetraodon_nigroviridis
ENSPMEP00000012287	ENSPMEG00000000799	Poecilia_mexicana
ENSPKIP00000006021	ENSPKIG00000022473	Paramormyrops_kingsleyae
ENSHHUP00000085372	ENSHHUG00000049438	Hucho_hucho
ENSAMXP00000034600	ENSAMXG00000038298	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSACIP00000031319	ENSACIG00000024202	Amphilophus_citrinellus
ENSGWIP00000011546	ENSGWIG00000003854	Gouania_willdenowi
ENSMUNP00000002882	ENSMUNG00000002515	Melopsittacus_undulatus
ENSPPYP00000006682	ENSPPYG00000005880	Pongo_abelii
ENSPTRP00000010886	ENSPTRG00000006418	Pan_troglodytes
ENSGAFP00000005910	ENSGAFG00000004028	Gambusia_affinis
ENSMODP00000010839	ENSMODG00000008706	Monodelphis_domestica
ENSLACP00000020867	ENSLACG00000018333	Latimeria_chalumnae
ENSBIXP00000021063	ENSBIXG00000006027	Bos_indicus_x_Bos_taurus_UOA_Angus_1
