ENSCHAP00000042287	ENSCHAG00000017811	Clupea_harengus
ENSDCDP00000044663	ENSDCDG00000024008	Denticeps_clupeoides
ENSIPUP00000034023	ENSIPUG00000022780	Ictalurus_punctatus
ENSEEEP00000037273	ENSEEEG00000017710	Electrophorus_electricus
ENSAMXP00000007879	ENSAMXG00000007363	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005009729	ENSAMXG00005002218	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000015875	ENSPNAG00000022042	Pygocentrus_nattereri
ENSEEEP00000042228	ENSEEEG00000019313	Electrophorus_electricus
ENSDARP00000098704	ENSDARG00000078888	Danio_rerio
ENSATEP00000025503	ENSATEG00000017620	Anabas_testudineus
ENSBSLP00000038367	ENSBSLG00000017008	Betta_splendens
ENSOMEP00000001905	ENSOMEG00000002842	Oryzias_melastigma
ENSPMGP00000000060	ENSPMGG00000000047	Periophthalmus_magnuspinnatus
ENSCGOP00000041389	ENSCGOG00000013262	Cottoperca_gobio
ENSGACP00000023048	ENSGACG00000017438	Gasterosteus_aculeatus
ENSLCRP00005048869	ENSLCRG00005003495	Larimichthys_crocea
ENSTRUP00000034912	ENSTRUG00000013665	Takifugu_rubripes
ENSTNIP00000012702	ENSTNIG00000009814	Tetraodon_nigroviridis
ENSMMOP00000021564	ENSMMOG00000016386	Mola_mola
ENSLBEP00000022230	ENSLBEG00000017039	Labrus_bergylta
ENSSMAP00000009143	ENSSMAG00000005609	Scophthalmus_maximus
ENSCSEP00000015148	ENSCSEG00000009676	Cynoglossus_semilaevis
ENSSDUP00000026347	ENSSDUG00000019044	Seriola_dumerili
ENSSLDP00000032165	ENSSLDG00000024667	Seriola_lalandi_dorsalis
ENSLCAP00010007833	ENSLCAG00010002392	Lates_calcarifer
ENSMALP00000014079	ENSMALG00000009882	Monopterus_albus
ENSAPOP00000002736	ENSAPOG00000004152	Acanthochromis_polyacanthus
ENSAPOP00000002694	ENSAPOG00000004145	Acanthochromis_polyacanthus
ENSAPOP00000025228	ENSAPOG00000008326	Acanthochromis_polyacanthus
ENSAOCP00000029847	ENSAOCG00000001514	Amphiprion_ocellaris
ENSAPEP00000000253	ENSAPEG00000000190	Amphiprion_percula
ENSSPAP00000014563	ENSSPAG00000010942	Stegastes_partitus
ENSOMEP00000022964	ENSOMEG00000002808	Oryzias_melastigma
ENSORLP00020023227	ENSORLG00020003946	Oryzias_latipes_ASM223471v1
ENSORLP00000031127	ENSORLG00000000149	Oryzias_latipes_ASM223467v1
ENSORLP00015025314	ENSORLG00015006354	Oryzias_latipes_ASM223469v1
ENSPRNP00000016906	ENSPRNG00000006363	Parambassis_ranga
ENSXMAP00000018266	ENSXMAG00000018181	Xiphophorus_maculatus
ENSXCOP00000003588	ENSXCOG00000002829	Xiphophorus_couchianus
ENSGAFP00000026077	ENSGAFG00000017601	Gambusia_affinis
ENSPFOP00000012258	ENSPFOG00000012101	Poecilia_formosa
