ENSOCUP00000005676	ENSOCUG00000006563	Oryctolagus_cuniculus
ENSOPRP00000010258	ENSOPRG00000011225	Ochotona_princeps
ENSDORP00000001429	ENSDORG00000001532	Dipodomys_ordii
ENSSTOP00000023186	ENSSTOG00000020844	Ictidomys_tridecemlineatus
ENSSDAP00000026849	ENSSDAG00000024356	Spermophilus_dauricus
ENSUPAP00010013261	ENSUPAG00010010719	Urocitellus_parryii
ENSMMMP00000013562	ENSMMMG00000012080	Marmota_marmota_marmota
ENSCLAP00000009397	ENSCLAG00000006524	Chinchilla_lanigera
ENSODEP00000010881	ENSODEG00000008109	Octodon_degus
ENSCAPP00000002738	ENSCAPG00000005665	Cavia_aperea
ENSCPOP00000025569	ENSCPOG00000013233	Cavia_porcellus
ENSHGLP00100017315	ENSHGLG00100012771	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023164	ENSHGLG00000016514	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000011262	ENSFDAG00000018863	Fukomys_damarensis
ENSMSIP00000015905	ENSMSIG00000013680	Mus_spicilegus
MGP_SPRETEiJ_P0035290	MGP_SPRETEiJ_G0019099	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000106137	ENSMUSG00000021318	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0033730	MGP_CAROLIEiJ_G0018241	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0040326	MGP_PahariEiJ_G0019291	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019396	ENSRNOG00000014395	Rattus_norvegicus
ENSMUGP00000023617	ENSMUGG00000019754	Meriones_unguiculatus
ENSCGRP00000009298	ENSCGRG00000006791	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001005766	ENSCGRG00001007632	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015011929	ENSCGRG00015009172	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008627	ENSMAUG00000010007	Mesocricetus_auratus
ENSPEMP00000025925	ENSPEMG00000022194	Peromyscus_maniculatus_bairdii
ENSMOCP00000020536	ENSMOCG00000018186	Microtus_ochrogaster
ENSJJAP00000004345	ENSJJAG00000009019	Jaculus_jaculus
ENSCCNP00000013166	ENSCCNG00000013684	Castor_canadensis
ENSPTRP00000032656	ENSPTRG00000019117	Pan_troglodytes
ENSPPAP00000040768	ENSPPAG00000043020	Pan_paniscus
ENSP00000379258	ENSG00000106571	Homo_sapiens
ENSGGOP00000002001	ENSGGOG00000002026	Gorilla_gorilla
ENSPPYP00000019741	ENSPPYG00000017613	Pongo_abelii
ENSNLEP00000003829	ENSNLEG00000003160	Nomascus_leucogenys
ENSTGEP00000017710	ENSTGEG00000014325	Theropithecus_gelada
ENSPANP00000038190	ENSPANG00000014545	Papio_anubis
ENSMLEP00000008605	ENSMLEG00000028509	Mandrillus_leucophaeus
ENSCATP00000026598	ENSCATG00000036694	Cercocebus_atys
ENSCSAP00000011394	ENSCSAG00000015361	Chlorocebus_sabaeus
ENSMFAP00000016070	ENSMFAG00000031231	Macaca_fascicularis
ENSMMUP00000067447	ENSMMUG00000013614	Macaca_mulatta
ENSMNEP00000004178	ENSMNEG00000019458	Macaca_nemestrina
ENSCANP00000015504	ENSCANG00000031194	Colobus_angolensis_palliatus
ENSPTEP00000005601	ENSPTEG00000006487	Piliocolobus_tephrosceles
ENSRROP00000022357	ENSRROG00000035040	Rhinopithecus_roxellana
ENSRBIP00000027791	ENSRBIG00000037773	Rhinopithecus_bieti
ENSCCAP00000024171	ENSCCAG00000029874	Cebus_capucinus_imitator
ENSSBOP00000007066	ENSSBOG00000020504	Saimiri_boliviensis_boliviensis
ENSCJAP00000014298	ENSCJAG00000007690	Callithrix_jacchus
ENSANAP00000031373	ENSANAG00000033410	Aotus_nancymaae
ENSTSYP00000008660	ENSTSYG00000009406	Carlito_syrichta
ENSPCOP00000000633	ENSPCOG00000002002	Propithecus_coquereli
ENSMICP00000021304	ENSMICG00000010785	Microcebus_murinus
ENSOGAP00000011336	ENSOGAG00000012651	Otolemur_garnettii
ENSTBEP00000005798	ENSTBEG00000006673	Tupaia_belangeri
ENSPVAP00000015022	ENSPVAG00000015920	Pteropus_vampyrus
ENSMLUP00000014319	ENSMLUG00000015711	Myotis_lucifugus
ENSBIXP00005016086	ENSBIXG00005019847	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000015599	ENSBIXG00000020047	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000033519	ENSBTAG00000010671	Bos_taurus
ENSBBBP00000008317	ENSBBBG00000016416	Bison_bison_bison
ENSCHIP00000014153	ENSCHIG00000015297	Capra_hircus
ENSOARP00000018699	ENSOARG00000017420	Ovis_aries
ENSTTRP00000003403	ENSTTRG00000003628	Tursiops_truncatus
ENSSSCP00000017756	ENSSSCG00000016763	Sus_scrofa_strain_reference
ENSVPAP00000000044	ENSVPAG00000000048	Vicugna_pacos
ENSUAMP00000032392	ENSUAMG00000024750	Ursus_americanus
ENSUMAP00000013368	ENSUMAG00000009879	Ursus_maritimus
ENSAMEP00000008907	ENSAMEG00000008405	Ailuropoda_melanoleuca
ENSMPUP00000018032	ENSMPUG00000018143	Mustela_putorius_furo
ENSNVIP00000031585	ENSNVIG00000024274	Neovison_vison
ENSCAFP00020030203	ENSCAFG00020023540	Canis_lupus_dingo
ENSCAFP00000005264	ENSCAFG00000003535	Canis_lupus_familiaris
ENSVVUP00000008651	ENSVVUG00000006139	Vulpes_vulpes
ENSPPRP00000018180	ENSPPRG00000009937	Panthera_pardus
ENSPTIP00000023346	ENSPTIG00000019835	Panthera_tigris_altaica
