ENSUMAP00000002088	ENSUMAG00000001894	Ursus_maritimus	ENSUMAT00000002592
ENSUAMP00000035069	ENSUAMG00000026636	Ursus_americanus	ENSUAMT00000039044
ENSAMEP00000019656	ENSAMEG00000018600	Ailuropoda_melanoleuca	ENSAMET00000020425
ENSNVIP00000028401	ENSNVIG00000021930	Neovison_vison	ENSNVIT00000032923
ENSMPUP00000019335	ENSMPUG00000019463	Mustela_putorius_furo
ENSCAFP00020025000	ENSCAFG00020019636	Canis_lupus_dingo
ENSCAFP00000017162	ENSCAFG00000011683	Canis_lupus_familiaris
ENSVVUP00000022355	ENSVVUG00000016416	Vulpes_vulpes
ENSFCAP00000051557	ENSFCAG00000013455	Felis_catus
ENSFCAP00000050413	ENSFCAG00000045043	Felis_catus
ENSEEUP00000012108	ENSEEUG00000013309	Erinaceus_europaeus
ENSSARP00000003461	ENSSARG00000003857	Sorex_araneus
ENSCCNP00000007857	ENSCCNG00000008339	Castor_canadensis
ENSCCNP00000007846	ENSCCNG00000008330	Castor_canadensis
ENSUPAP00010013474	ENSUPAG00010010894	Urocitellus_parryii
ENSSTOP00000007185	ENSSTOG00000008031	Ictidomys_tridecemlineatus
ENSSDAP00000020449	ENSSDAG00000018643	Spermophilus_dauricus
ENSMMMP00000000051	ENSMMMG00000000056	Marmota_marmota_marmota
MGP_SPRETEiJ_P0022467	MGP_SPRETEiJ_G0015731	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014206	ENSMSIG00000012276	Mus_spicilegus
MGP_CAROLIEiJ_P0021402	MGP_CAROLIEiJ_G0014931	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000151011	ENSMUSG00000046486	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0076652	MGP_PahariEiJ_G0028164	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004670	ENSRNOG00000003518	Rattus_norvegicus
ENSMUGP00000018760	ENSMUGG00000015922	Meriones_unguiculatus
ENSCGRP00000026684	ENSCGRG00000019774	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015020083	ENSCGRG00015015399	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009212	ENSCGRG00001011357	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020063	ENSMAUG00000018183	Mesocricetus_auratus
ENSMOCP00000003669	ENSMOCG00000002933	Microtus_ochrogaster
ENSPEMP00000004185	ENSPEMG00000006375	Peromyscus_maniculatus_bairdii
ENSNGAP00000019843	ENSNGAG00000019536	Nannospalax_galili
ENSHGLP00100026908	ENSHGLG00100019899	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028815	ENSHGLG00000021214	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000008084	ENSFDAG00000016433	Fukomys_damarensis
ENSFDAP00000021033	ENSFDAG00000008000	Fukomys_damarensis
ENSCPOP00000013954	ENSCPOG00000015473	Cavia_porcellus
ENSCAPP00000001139	ENSCAPG00000001984	Cavia_aperea
ENSCLAP00000025665	ENSCLAG00000017779	Chinchilla_lanigera
ENSOCUP00000016589	ENSOCUG00000017697	Oryctolagus_cuniculus
ENSPTRP00000002546	ENSPTRG00000001513	Pan_troglodytes
ENSPPAP00000000104	ENSPPAG00000000252	Pan_paniscus
ENSP00000357126	ENSG00000180433	Homo_sapiens
ENSGGOP00000007413	ENSGGOG00000007577	Gorilla_gorilla
ENSPPYP00000000780	ENSPPYG00000000670	Pongo_abelii
ENSNLEP00000023001	ENSNLEG00000019155	Nomascus_leucogenys
ENSMMUP00000067801	ENSMMUG00000050231	Macaca_mulatta
ENSTGEP00000005055	ENSTGEG00000004229	Theropithecus_gelada
ENSCSAP00000017917	ENSCSAG00000000073	Chlorocebus_sabaeus
ENSPTEP00000016190	ENSPTEG00000017802	Piliocolobus_tephrosceles
ENSCJAP00000040712	ENSCJAG00000022042	Callithrix_jacchus
ENSOGAP00000019270	ENSOGAG00000000259	Otolemur_garnettii
ENSEASP00005004429	ENSEASG00005003349	Equus_asinus_asinus
ENSEASP00005004433	ENSEASG00005003352	Equus_asinus_asinus
ENSECAP00000002127	ENSECAG00000003048	Equus_caballus
ENSMLUP00000002316	ENSMLUG00000002553	Myotis_lucifugus
ENSCHIP00000013250	ENSCHIG00000014750	Capra_hircus
ENSOARP00000007666	ENSOARG00000007150	Ovis_aries
ENSBIXP00000024614	ENSBIXG00000026732	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000051501	ENSBTAG00000013789	Bos_taurus
ENSBIXP00005012608	ENSBIXG00005016807	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000033485	ENSBMUG00000025003	Bos_mutus
ENSBBBP00000025972	ENSBBBG00000021503	Bison_bison_bison
ENSSSCP00000006849	ENSSSCG00000006425	Sus_scrofa_strain_reference
ENSDNOP00000022493	ENSDNOG00000043337	Dasypus_novemcinctus
ENSDNOP00000026749	ENSDNOG00000002500	Dasypus_novemcinctus
ENSCHOP00000011330	ENSCHOG00000012809	Choloepus_hoffmanni
ENSLAFP00000028388	ENSLAFG00000021649	Loxodonta_africana
ENSLAFP00000023676	ENSLAFG00000030218	Loxodonta_africana
ENSVURP00010003358	ENSVURG00010002707	Vombatus_ursinus
ENSPCIP00000000857	ENSPCIG00000000697	Phascolarctos_cinereus
ENSSHAP00000009363	ENSSHAG00000008099	Sarcophilus_harrisii
ENSMODP00000012850	ENSMODG00000010249	Monodelphis_domestica
ENSOGAP00000016922	ENSOGAG00000028167	Otolemur_garnettii
ENSSHAP00000011463	ENSSHAG00000009854	Sarcophilus_harrisii
