ENSAPOP00000006305	ENSAPOG00000008111	Acanthochromis_polyacanthus
ENSPVIP00000033441	ENSPVIG00000024434	Pogona_vitticeps
ENSBSLP00000026990	ENSBSLG00000013582	Betta_splendens
ENSPMEP00000034507	ENSPMEG00000023772	Poecilia_mexicana
ENSMSIP00000020247	ENSMSIG00000017186	Mus_spicilegus
ENSCHIP00000002041	ENSCHIG00000004554	Capra_hircus
ENSNPEP00000003430	ENSNPEG00000002623	Nothoprocta_perdicaria
ENSCVAP00000013966	ENSCVAG00000016531	Cyprinodon_variegatus
ENSMICP00000001831	ENSMICG00000002007	Microcebus_murinus
ENSEASP00005009955	ENSEASG00005007056	Equus_asinus_asinus
ENSOMEP00000007671	ENSOMEG00000008783	Oryzias_melastigma
ENSCLAP00000025955	ENSCLAG00000018087	Chinchilla_lanigera
ENSKMAP00000010180	ENSKMAG00000007650	Kryptolebias_marmoratus
ENSCJAP00000014500	ENSCJAG00000007827	Callithrix_jacchus	ENSCJAT00000015284
ENSHGLP00000028356	ENSHGLG00000020600	Heterocephalus_glaber_HetGla_female_1.0
ENSANAP00000000981	ENSANAG00000008533	Aotus_nancymaae
ENSBMUP00000035577	ENSBMUG00000026427	Bos_mutus
MGP_CAROLIEiJ_P0080543	MGP_CAROLIEiJ_G0029943	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00015006117	ENSCGRG00015004758	Cricetulus_griseus_CriGri-PICR
ENSPRNP00000017754	ENSPRNG00000009395	Parambassis_ranga
ENSJJAP00000005222	ENSJJAG00000010178	Jaculus_jaculus
ENSHHUP00000032201	ENSHHUG00000020441	Hucho_hucho
ENSCPOP00000017889	ENSCPOG00000004279	Cavia_porcellus
ENSMPUP00000019629	ENSMPUG00000019757	Mustela_putorius_furo
ENSXCOP00000012314	ENSXCOG00000009308	Xiphophorus_couchianus
ENSFCAP00000048907	ENSFCAG00000040775	Felis_catus
ENSPSIP00000001648	ENSPSIG00000001653	Pelodiscus_sinensis
ENSLAFP00000018873	ENSLAFG00000014516	Loxodonta_africana
ENSMALP00000023419	ENSMALG00000016328	Monopterus_albus
ENSPPAP00000003678	ENSPPAG00000015510	Pan_paniscus
ENSPPRP00000026665	ENSPPRG00000017549	Panthera_pardus
ENSSTOP00000016473	ENSSTOG00000021786	Ictidomys_tridecemlineatus
ENSCPRP00005023571	ENSCPRG00005016368	Crocodylus_porosus
ENSLBEP00000023362	ENSLBEG00000017928	Labrus_bergylta
ENSCCNP00000009216	ENSCCNG00000009747	Castor_canadensis
ENSPNYP00000004661	ENSPNYG00000003631	Pundamilia_nyererei
ENSMODP00000035353	ENSMODG00000024731	Monodelphis_domestica	ENSMODT00000036941
ENSP00000267984	ENSG00000140406	Homo_sapiens	ENST00000267984
ENSACLP00000000016	ENSACLG00000000010	Astatotilapia_calliptera
ENSSPAP00000027472	ENSSPAG00000020719	Stegastes_partitus
ENSDARP00000102404	ENSDARG00000079017	Danio_rerio
ENSUAMP00000033372	ENSUAMG00000025437	Ursus_americanus
ENSMMOP00000020250	ENSMMOG00000015388	Mola_mola
ENSMOCP00000008837	ENSMOCG00000008894	Microtus_ochrogaster
ENSHHUP00000006683	ENSHHUG00000004123	Hucho_hucho
ENSSDUP00000017046	ENSSDUG00000012440	Seriola_dumerili
ENSPTEP00000018900	ENSPTEG00000020299	Piliocolobus_tephrosceles	ENSPTET00000027665
ENSZALP00000001123	ENSZALG00000001370	Zonotrichia_albicollis
ENSCGOP00000034892	ENSCGOG00000016183	Cottoperca_gobio
ENSIPUP00000034712	ENSIPUG00000023324	Ictalurus_punctatus
ENSPMJP00000001027	ENSPMJG00000000839	Parus_major
ENSAOWP00000005211	ENSAOWG00000003597	Apteryx_owenii
ENSPPYP00000007625	ENSPPYG00000006718	Pongo_abelii	ENSPPYT00000007934
ENSHGLP00100027853	ENSHGLG00100021019	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000027029	ENSODEG00000020545	Octodon_degus
ENSAMEP00000006484	ENSAMEG00000006159	Ailuropoda_melanoleuca
ENSGMOP00000016138	ENSGMOG00000015091	Gadus_morhua
ENSOGAP00000020930	ENSOGAG00000033271	Otolemur_garnettii
ENSMGAP00000017075	ENSMGAG00000016134	Meleagris_gallopavo
