ENSCPOP00000004389	ENSCPOG00000004876	Cavia_porcellus
ENSCAPP00000008268	ENSCAPG00000010007	Cavia_aperea
ENSCLAP00000015991	ENSCLAG00000011006	Chinchilla_lanigera
ENSODEP00000025217	ENSODEG00000018461	Octodon_degus
ENSHGLP00000007924	ENSHGLG00000005740	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006219	ENSHGLG00100004676	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018121	ENSFDAG00000010069	Fukomys_damarensis
ENSCCNP00000027378	ENSCCNG00000026487	Castor_canadensis
ENSMSIP00000038386	ENSMSIG00000031982	Mus_spicilegus	ENSMSIT00000048419
ENSMUSP00000110389	ENSMUSG00000025429	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000114741
MGP_SPRETEiJ_P0049158	MGP_SPRETEiJ_G0023336	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0049158
MGP_CAROLIEiJ_P0047207	MGP_CAROLIEiJ_G0022423	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0047207
MGP_PahariEiJ_P0039769	MGP_PahariEiJ_G0019152	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0039769
ENSRNOP00000022833	ENSRNOG00000016987	Rattus_norvegicus	ENSRNOT00000022833
ENSMUGP00000018659	ENSMUGG00000015820	Meriones_unguiculatus	ENSMUGT00000021486
ENSPEMP00000026194	ENSPEMG00000022379	Peromyscus_maniculatus_bairdii
ENSMOCP00000006692	ENSMOCG00000006361	Microtus_ochrogaster
ENSCGRP00001011248	ENSCGRG00001012933	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015033508	ENSCGRG00015025244	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000011754	ENSCGRG00000008554	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015254	ENSMAUG00000014774	Mesocricetus_auratus
ENSNGAP00000017811	ENSNGAG00000018122	Nannospalax_galili
ENSJJAP00000007153	ENSJJAG00000011600	Jaculus_jaculus
ENSSDAP00000018749	ENSSDAG00000017107	Spermophilus_dauricus
ENSSTOP00000003275	ENSSTOG00000003652	Ictidomys_tridecemlineatus
ENSMMMP00000007619	ENSMMMG00000006839	Marmota_marmota_marmota
ENSUPAP00010025537	ENSUPAG00010020106	Urocitellus_parryii
ENSLAFP00000002062	ENSLAFG00000002465	Loxodonta_africana	ENSLAFT00000002465
ENSOCUP00000028515	ENSOCUG00000000324	Oryctolagus_cuniculus
ENSOPRP00000005066	ENSOPRG00000005522	Ochotona_princeps
ENSTBEP00000004404	ENSTBEG00000005112	Tupaia_belangeri
ENSGGOP00000049646	ENSGGOG00000025030	Gorilla_gorilla
ENSP00000387261	ENSG00000152229	Homo_sapiens
ENSPTRP00000016987	ENSPTRG00000009990	Pan_troglodytes
ENSPPAP00000010039	ENSPPAG00000028251	Pan_paniscus
ENSPPYP00000010256	ENSPPYG00000009129	Pongo_abelii
ENSNLEP00000013311	ENSNLEG00000010965	Nomascus_leucogenys
ENSRBIP00000012699	ENSRBIG00000030324	Rhinopithecus_bieti
ENSRROP00000009023	ENSRROG00000028940	Rhinopithecus_roxellana
ENSPTEP00000020757	ENSPTEG00000021947	Piliocolobus_tephrosceles
ENSCANP00000038190	ENSCANG00000042783	Colobus_angolensis_palliatus
ENSPANP00000012010	ENSPANG00000019094	Papio_anubis
ENSTGEP00000029596	ENSTGEG00000023784	Theropithecus_gelada
ENSCATP00000020234	ENSCATG00000033892	Cercocebus_atys
ENSMLEP00000029667	ENSMLEG00000039022	Mandrillus_leucophaeus
ENSCSAP00000013984	ENSCSAG00000017965	Chlorocebus_sabaeus
ENSMFAP00000032251	ENSMFAG00000037150	Macaca_fascicularis
ENSMMUP00000004749	ENSMMUG00000003566	Macaca_mulatta
ENSMNEP00000029676	ENSMNEG00000038319	Macaca_nemestrina
