F10B5.2.1	WBGene00008639	Caenorhabditis_elegans_strain_N2	F10B5.2.1
FBpp0312513	FBgn0038590	Drosophila_melanogaster	FBtr0347215
ENSUMAP00000005259	ENSUMAG00000004174	Ursus_maritimus
ENSUAMP00000016966	ENSUAMG00000013466	Ursus_americanus
ENSAMEP00000010558	ENSAMEG00000010052	Ailuropoda_melanoleuca
ENSMPUP00000017669	ENSMPUG00000017781	Mustela_putorius_furo
ENSNVIP00000018081	ENSNVIG00000014148	Neovison_vison
ENSPPRP00000020712	ENSPPRG00000011720	Panthera_pardus
ENSPTIP00000023866	ENSPTIG00000020177	Panthera_tigris_altaica
ENSECAP00000006922	ENSECAG00000008929	Equus_caballus
ENSEASP00005004493	ENSEASG00005003415	Equus_asinus_asinus
ENSCAFP00000012392	ENSCAFG00000008435	Canis_lupus_familiaris
ENSCAFP00020007213	ENSCAFG00020005856	Canis_lupus_dingo
ENSVVUP00000000753	ENSVVUG00000000699	Vulpes_vulpes
ENSSARP00000009142	ENSSARG00000010110	Sorex_araneus
ENSOARP00000016730	ENSOARG00000015597	Ovis_aries
ENSCHIP00000023745	ENSCHIG00000021208	Capra_hircus
ENSBIXP00005005269	ENSBIXG00005011006	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000017728	ENSBIXG00000004145	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000002156	ENSBTAG00000001645	Bos_taurus
ENSBMUP00000013086	ENSBMUG00000009996	Bos_mutus
ENSBBBP00000005515	ENSBBBG00000014198	Bison_bison_bison
ENSTTRP00000010900	ENSTTRG00000011494	Tursiops_truncatus
ENSSSCP00000064170	ENSSSCG00000007315	Sus_scrofa_strain_reference
ENSEEUP00000003865	ENSEEUG00000004276	Erinaceus_europaeus
ENSPVAP00000004847	ENSPVAG00000005122	Pteropus_vampyrus
ENSFCAP00000056359	ENSFCAG00000033267	Felis_catus
ENSODEP00000017738	ENSODEG00000013083	Octodon_degus
ENSOPRP00000011139	ENSOPRG00000012216	Ochotona_princeps
ENSRBIP00000022359	ENSRBIG00000035131	Rhinopithecus_bieti
ENSRROP00000036891	ENSRROG00000041883	Rhinopithecus_roxellana
ENSCANP00000002106	ENSCANG00000007708	Colobus_angolensis_palliatus
ENSTGEP00000002816	ENSTGEG00000002436	Theropithecus_gelada
ENSCATP00000013944	ENSCATG00000031041	Cercocebus_atys
ENSGGOP00000020605	ENSGGOG00000027575	Gorilla_gorilla
ENSPTRP00000051050	ENSPTRG00000013456	Pan_troglodytes
ENSNLEP00000043448	ENSNLEG00000032929	Nomascus_leucogenys
ENSCCAP00000038804	ENSCCAG00000037250	Cebus_capucinus_imitator
ENSLAFP00000005549	ENSLAFG00000006612	Loxodonta_africana
ENSPCAP00000015289	ENSPCAG00000016376	Procavia_capensis
ENSETEP00000009721	ENSETEG00000011979	Echinops_telfairi
ENSMLUP00000010906	ENSMLUG00000011977	Myotis_lucifugus
ENSMSIP00000006012	ENSMSIG00000005403	Mus_spicilegus
ENSMUSP00000029158	ENSMUSG00000027628	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0057851	MGP_SPRETEiJ_G0025481	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0055692	MGP_CAROLIEiJ_G0024559	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066674	MGP_PahariEiJ_G0026004	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027369	ENSRNOG00000020086	Rattus_norvegicus
ENSMUGP00000002970	ENSMUGG00000002797	Meriones_unguiculatus
ENSCGRP00001008971	ENSCGRG00001011146	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015033805	ENSCGRG00015025490	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000014222	ENSCGRG00000010294	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006376	ENSMAUG00000008346	Mesocricetus_auratus
ENSPEMP00000022044	ENSPEMG00000019521	Peromyscus_maniculatus_bairdii
ENSJJAP00000006001	ENSJJAG00000010793	Jaculus_jaculus
ENSJJAP00000014860	ENSJJAG00000017217	Jaculus_jaculus
ENSSDAP00000023403	ENSSDAG00000021336	Spermophilus_dauricus
ENSSTOP00000009903	ENSSTOG00000011040	Ictidomys_tridecemlineatus
ENSUPAP00010004388	ENSUPAG00010003575	Urocitellus_parryii
ENSMMMP00000026196	ENSMMMG00000022945	Marmota_marmota_marmota
ENSHGLP00000021093	ENSHGLG00000015067	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025648	ENSHGLG00100018810	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013281	ENSHGLG00000009490	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016127	ENSHGLG00100011904	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019847	ENSFDAG00000008861	Fukomys_damarensis
ENSFDAP00000021959	ENSFDAG00000007331	Fukomys_damarensis
ENSCPOP00000011020	ENSCPOG00000012252	Cavia_porcellus
ENSCAPP00000007252	ENSCAPG00000009227	Cavia_aperea
ENSCLAP00000025070	ENSCLAG00000017214	Chinchilla_lanigera
ENSCCNP00000022509	ENSCCNG00000022142	Castor_canadensis
ENSDORP00000022101	ENSDORG00000026983	Dipodomys_ordii
ENSOCUP00000004760	ENSOCUG00000005490	Oryctolagus_cuniculus
ENSTBEP00000003542	ENSTBEG00000004101	Tupaia_belangeri
ENSPPAP00000030959	ENSPPAG00000038429	Pan_paniscus
ENSP00000363043	ENSG00000131043	Homo_sapiens
ENSPPYP00000012249	ENSPPYG00000010969	Pongo_abelii
ENSMNEP00000027560	ENSMNEG00000037192	Macaca_nemestrina
ENSMFAP00000014756	ENSMFAG00000030564	Macaca_fascicularis
ENSMMUP00000056529	ENSMMUG00000020691	Macaca_mulatta
ENSCSAP00000006278	ENSCSAG00000010038	Chlorocebus_sabaeus
ENSMLEP00000026363	ENSMLEG00000037381	Mandrillus_leucophaeus
ENSPANP00000016732	ENSPANG00000017424	Papio_anubis
ENSPTEP00000013349	ENSPTEG00000014955	Piliocolobus_tephrosceles
ENSCJAP00000032088	ENSCJAG00000017423	Callithrix_jacchus
ENSSBOP00000036837	ENSSBOG00000034542	Saimiri_boliviensis_boliviensis
ENSANAP00000024018	ENSANAG00000029758	Aotus_nancymaae
ENSTSYP00000012550	ENSTSYG00000013684	Carlito_syrichta
ENSPCOP00000006705	ENSPCOG00000014542	Propithecus_coquereli
ENSPSMP00000027548	ENSPSMG00000019247	Prolemur_simus
ENSMICP00000001548	ENSMICG00000001707	Microcebus_murinus
ENSOGAP00000001528	ENSOGAG00000001713	Otolemur_garnettii
ENSCHOP00000011763	ENSCHOG00000013287	Choloepus_hoffmanni
ENSDNOP00000020000	ENSDNOG00000033243	Dasypus_novemcinctus
