ENSAMXP00000004745	ENSAMXG00000004611	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000004745
ENSVURP00010018013	ENSVURG00010013767	Vombatus_ursinus
ENSFHEP00000017384	ENSFHEG00000019080	Fundulus_heteroclitus
ENSFDAP00000000380	ENSFDAG00000010662	Fukomys_damarensis
ENSECRP00000030566	ENSECRG00000020728	Erpetoichthys_calabaricus
ENSLCRP00005051399	ENSLCRG00005019269	Larimichthys_crocea	ENSLCRT00005052235
ENSCINP00000029832	ENSCING00000024664	Ciona_intestinalis
ENSONIP00000003738	ENSONIG00000002985	Oreochromis_niloticus
ENSNSUP00000021569	ENSNSUG00000015668	Notechis_scutatus
ENSDNOP00000008788	ENSDNOG00000011326	Dasypus_novemcinctus
ENSOGAP00000002816	ENSOGAG00000003145	Otolemur_garnettii
ENSFCAP00000032441	ENSFCAG00000026126	Felis_catus
ENSSARP00000002722	ENSSARG00000002980	Sorex_araneus
ENSHHUP00000068346	ENSHHUG00000039712	Hucho_hucho
ENSHBUP00000003637	ENSHBUG00000004882	Haplochromis_burtoni
ENSPPYP00000013823	ENSPPYG00000012392	Pongo_abelii
ENSSPAP00000011885	ENSSPAG00000009004	Stegastes_partitus
ENSOANP00000019627	ENSOANG00000012403	Ornithorhynchus_anatinus
ENSMFAP00000030588	ENSMFAG00000042450	Macaca_fascicularis
ENSMEUP00000012419	ENSMEUG00000013605	Notamacropus_eugenii
ENSPREP00000015352	ENSPREG00000010358	Poecilia_reticulata
ENSPMJP00000019370	ENSPMJG00000014445	Parus_major
ENSMMUP00000036536	ENSMMUG00000000498	Macaca_mulatta
ENSEASP00005002609	ENSEASG00005002038	Equus_asinus_asinus
ENSCGOP00000007137	ENSCGOG00000001797	Cottoperca_gobio
ENSGGOP00000005956	ENSGGOG00000006083	Gorilla_gorilla
ENSOPRP00000008821	ENSOPRG00000009630	Ochotona_princeps
ENSPANP00000022871	ENSPANG00000014543	Papio_anubis
ENSPKIP00000021784	ENSPKIG00000006027	Paramormyrops_kingsleyae
ENSSDUP00000001219	ENSSDUG00000000912	Seriola_dumerili
ENSMALP00000009859	ENSMALG00000007012	Monopterus_albus
ENSETEP00000009587	ENSETEG00000011815	Echinops_telfairi
ENSSBOP00000019238	ENSSBOG00000026194	Saimiri_boliviensis_boliviensis
ENSSDAP00000016974	ENSSDAG00000015321	Spermophilus_dauricus
ENSCPGP00000023128	ENSCPGG00000015879	Calidris_pygmaea
ENSPLAP00000028771	ENSPLAG00000018445	Poecilia_latipinna
ENSCMIP00000005206	ENSCMIG00000002931	Callorhinchus_milii
ENSCGRP00000007624	ENSCGRG00000005552	Cricetulus_griseus_CriGri_1.0
ENSAOWP00000022337	ENSAOWG00000015084	Apteryx_owenii
ENSMVIP00005010644	ENSMVIG00005007688	Manacus_vitellinus
ENSCSEP00000001120	ENSCSEG00000000771	Cynoglossus_semilaevis
