ENSPPAP00000006700	ENSPPAG00000025542	Pan_paniscus	ENSPPAT00000028287
ENSPTRP00000092418	ENSPTRG00000048314	Pan_troglodytes	ENSPTRT00000101244
ENSGGOP00000043180	ENSGGOG00000043548	Gorilla_gorilla	ENSGGOT00000043976
ENSNLEP00000035951	ENSNLEG00000032303	Nomascus_leucogenys	ENSNLET00000058976
ENSRROP00000033376	ENSRROG00000040276	Rhinopithecus_roxellana	ENSRROT00000057814
ENSRBIP00000000862	ENSRBIG00000004532	Rhinopithecus_bieti	ENSRBIT00000004873
ENSMNEP00000020082	ENSMNEG00000033872	Macaca_nemestrina	ENSMNET00000044327
ENSMFAP00000017796	ENSMFAG00000032009	Macaca_fascicularis	ENSMFAT00000068338
ENSCATP00000032523	ENSCATG00000039312	Cercocebus_atys	ENSCATT00000056790
ENSPANP00000023015	ENSPANG00000030217	Papio_anubis	ENSPANT00000047640
ENSMLEP00000006947	ENSMLEG00000027404	Mandrillus_leucophaeus	ENSMLET00000030210
