ENSMFAP00000008862	ENSMFAG00000001079	Macaca_fascicularis
ENSMNEP00000000224	ENSMNEG00000000902	Macaca_nemestrina
ENSTGEP00000011910	ENSTGEG00000009710	Theropithecus_gelada
ENSCANP00000003907	ENSCANG00000013840	Colobus_angolensis_palliatus
ENSRBIP00000011207	ENSRBIG00000029472	Rhinopithecus_bieti
ENSPTEP00000008702	ENSPTEG00000009880	Piliocolobus_tephrosceles
ENSMLEP00000006771	ENSMLEG00000027276	Mandrillus_leucophaeus
ENSCANP00000023962	ENSCANG00000035390	Colobus_angolensis_palliatus
ENSPTRP00000071425	ENSPTRG00000043536	Pan_troglodytes
ENSPTRP00000084575	ENSPTRG00000047179	Pan_troglodytes
ENSPPAP00000008868	ENSPPAG00000027675	Pan_paniscus
ENSGGOP00000034219	ENSGGOG00000038109	Gorilla_gorilla
ENSNLEP00000045413	ENSNLEG00000034272	Nomascus_leucogenys
ENSANAP00000023371	ENSANAG00000029446	Aotus_nancymaae
ENSTSYP00000027979	ENSTSYG00000029753	Carlito_syrichta
ENSMICP00000017548	ENSMICG00000030097	Microcebus_murinus
ENSHGLP00000000999	ENSHGLG00000000802	Heterocephalus_glaber_HetGla_female_1.0
ENSMUGP00000032637	ENSMUGG00000027112	Meriones_unguiculatus
ENSUAMP00000017102	ENSUAMG00000013571	Ursus_americanus
ENSUAMP00000032238	ENSUAMG00000024648	Ursus_americanus
ENSVVUP00000019532	ENSVVUG00000014427	Vulpes_vulpes
ENSCAFP00020030117	ENSCAFG00020023475	Canis_lupus_dingo
ENSNVIP00000002625	ENSNVIG00000002115	Neovison_vison
ENSCCEP00000013550	ENSCCEG00000013021	Cyanistes_caeruleus
ENSACLP00000013963	ENSACLG00000009533	Astatotilapia_calliptera
