ENSVURP00010026239	ENSVURG00010020098	Vombatus_ursinus	ENSVURT00010029883
ENSPCIP00000023559	ENSPCIG00000017861	Phascolarctos_cinereus	ENSPCIT00000029083
ENSMEUP00000004597	ENSMEUG00000005014	Notamacropus_eugenii	ENSMEUT00000005041
ENSMODP00000016381	ENSMODG00000013087	Monodelphis_domestica	ENSMODT00000016683
ENSDORP00000020120	ENSDORG00000026607	Dipodomys_ordii	ENSDORT00000034980
ENSCCNP00000013940	ENSCCNG00000014455	Castor_canadensis	ENSCCNT00000018289
ENSCCNP00000029772	ENSCCNG00000028545	Castor_canadensis	ENSCCNT00000037537
MGP_SPRETEiJ_P0088980	MGP_SPRETEiJ_G0032478	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0088980
ENSMSIP00000027337	ENSMSIG00000023038	Mus_spicilegus
ENSMUSP00000113773	ENSMUSG00000055994	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085478	MGP_CAROLIEiJ_G0031360	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053730	MGP_PahariEiJ_G0022959	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073236	ENSRNOG00000014124	Rattus_norvegicus
ENSMUGP00000005993	ENSMUGG00000005527	Meriones_unguiculatus
ENSCGRP00000009034	ENSCGRG00000006598	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036317	ENSCGRG00015027200	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009411	ENSCGRG00001011531	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000003779	ENSMAUG00000004325	Mesocricetus_auratus
ENSMOCP00000025696	ENSMOCG00000021721	Microtus_ochrogaster
ENSPEMP00000018288	ENSPEMG00000016933	Peromyscus_maniculatus_bairdii
ENSNGAP00000022996	ENSNGAG00000021682	Nannospalax_galili
ENSJJAP00000015226	ENSJJAG00000017441	Jaculus_jaculus
ENSCPOP00000032152	ENSCPOG00000010054	Cavia_porcellus
ENSCAPP00000017799	ENSCAPG00000017373	Cavia_aperea
ENSCLAP00000013071	ENSCLAG00000009024	Chinchilla_lanigera
ENSODEP00000004642	ENSODEG00000003540	Octodon_degus
ENSHGLP00100015730	ENSHGLG00100011612	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005421	ENSHGLG00000003967	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015096	ENSFDAG00000002778	Fukomys_damarensis
ENSUPAP00010017352	ENSUPAG00010013810	Urocitellus_parryii
ENSSTOP00000016302	ENSSTOG00000025139	Ictidomys_tridecemlineatus
ENSSDAP00000016081	ENSSDAG00000014545	Spermophilus_dauricus
ENSMMMP00000015070	ENSMMMG00000013415	Marmota_marmota_marmota
ENSOCUP00000011052	ENSOCUG00000012840	Oryctolagus_cuniculus
ENSOPRP00000000786	ENSOPRG00000000859	Ochotona_princeps
ENSPTRP00000013836	ENSPTRG00000008106	Pan_troglodytes
ENSPPAP00000040678	ENSPPAG00000042973	Pan_paniscus
ENSP00000300589	ENSG00000167207	Homo_sapiens
ENSGGOP00000010525	ENSGGOG00000010795	Gorilla_gorilla
ENSPPYP00000008293	ENSPPYG00000007343	Pongo_abelii
ENSNLEP00000001073	ENSNLEG00000000910	Nomascus_leucogenys
ENSCATP00000017921	ENSCATG00000032818	Cercocebus_atys
ENSMLEP00000025070	ENSMLEG00000036716	Mandrillus_leucophaeus
ENSTGEP00000025229	ENSTGEG00000020340	Theropithecus_gelada
ENSPANP00000012683	ENSPANG00000019150	Papio_anubis
ENSMMUP00000046927	ENSMMUG00000012207	Macaca_mulatta
ENSMNEP00000017054	ENSMNEG00000032525	Macaca_nemestrina
ENSMFAP00000036994	ENSMFAG00000037753	Macaca_fascicularis
ENSCSAP00000001639	ENSCSAG00000005331	Chlorocebus_sabaeus
ENSRBIP00000003132	ENSRBIG00000014904	Rhinopithecus_bieti
ENSRROP00000005673	ENSRROG00000023233	Rhinopithecus_roxellana
ENSCANP00000029708	ENSCANG00000038490	Colobus_angolensis_palliatus
ENSPTEP00000017556	ENSPTEG00000019082	Piliocolobus_tephrosceles
ENSSBOP00000015111	ENSSBOG00000024291	Saimiri_boliviensis_boliviensis
ENSCCAP00000033739	ENSCCAG00000034885	Cebus_capucinus_imitator
ENSCJAP00000063771	ENSCJAG00000041425	Callithrix_jacchus
ENSTSYP00000017547	ENSTSYG00000030355	Carlito_syrichta
ENSPSMP00000024591	ENSPSMG00000017331	Prolemur_simus
ENSMICP00000047585	ENSMICG00000008172	Microcebus_murinus
ENSPCOP00000029115	ENSPCOG00000027246	Propithecus_coquereli
ENSOGAP00000013138	ENSOGAG00000014655	Otolemur_garnettii
ENSTBEP00000000819	ENSTBEG00000000933	Tupaia_belangeri
ENSSARP00000012423	ENSSARG00000013761	Sorex_araneus
ENSEEUP00000002353	ENSEEUG00000002548	Erinaceus_europaeus
ENSAMEP00000007109	ENSAMEG00000006741	Ailuropoda_melanoleuca
ENSUMAP00000007686	ENSUMAG00000005890	Ursus_maritimus
ENSNVIP00000023492	ENSNVIG00000018277	Neovison_vison
ENSMPUP00000003155	ENSMPUG00000003188	Mustela_putorius_furo
ENSCAFP00020001886	ENSCAFG00020001497	Canis_lupus_dingo
ENSCAFP00000014425	ENSCAFG00000009818	Canis_lupus_familiaris
ENSVVUP00000026370	ENSVVUG00000019346	Vulpes_vulpes
ENSPPRP00000001205	ENSPPRG00000024296	Panthera_pardus
ENSPTIP00000005044	ENSPTIG00000007371	Panthera_tigris_altaica
ENSFCAP00000007886	ENSFCAG00000008505	Felis_catus
ENSOARP00000018720	ENSOARG00000017441	Ovis_aries
ENSCHIP00000029729	ENSCHIG00000024746	Capra_hircus
ENSBTAP00000027887	ENSBTAG00000020936	Bos_taurus
ENSBIXP00000032190	ENSBIXG00000014667	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033458	ENSBIXG00005014215	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000034640	ENSBMUG00000025796	Bos_mutus
ENSBBBP00000009675	ENSBBBG00000017827	Bison_bison_bison
ENSTTRP00000012696	ENSTTRG00000013382	Tursiops_truncatus
ENSSSCP00000057048	ENSSSCG00000038073	Sus_scrofa_strain_reference
ENSVPAP00000010393	ENSVPAG00000011161	Vicugna_pacos
ENSPVAP00000013374	ENSPVAG00000014192	Pteropus_vampyrus
ENSMLUP00000013814	ENSMLUG00000015152	Myotis_lucifugus
ENSECAP00000015042	ENSECAG00000017005	Equus_caballus
ENSEASP00005021318	ENSEASG00005014576	Equus_asinus_asinus
ENSLAFP00000011859	ENSLAFG00000014161	Loxodonta_africana	ENSLAFT00000014163
ENSPCAP00000000589	ENSPCAG00000000604	Procavia_capensis	ENSPCAT00000000625
ENSETEP00000005462	ENSETEG00000006727	Echinops_telfairi	ENSETET00000006726
ENSDNOP00000022232	ENSDNOG00000037559	Dasypus_novemcinctus	ENSDNOT00000033896
ENSOANP00000021142	ENSOANG00000013397	Ornithorhynchus_anatinus
ENSLACP00000011767	ENSLACG00000010359	Latimeria_chalumnae
ENSCHAP00000029291	ENSCHAG00000014031	Clupea_harengus
ENSCHAP00000032276	ENSCHAG00000015313	Clupea_harengus
ENSDCDP00000036218	ENSDCDG00000024103	Denticeps_clupeoides
ENSAMXP00005013295	ENSAMXG00005007049	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019264	ENSAMXG00000018642	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000034282	ENSPNAG00000023500	Pygocentrus_nattereri
ENSIPUP00000023997	ENSIPUG00000016211	Ictalurus_punctatus
ENSEEEP00000049332	ENSEEEG00000023185	Electrophorus_electricus
