ENSVURP00010027795	ENSVURG00010021277	Vombatus_ursinus	ENSVURT00010031679
ENSPCIP00000048060	ENSPCIG00000034641	Phascolarctos_cinereus	ENSPCIT00000061222
ENSMEUP00000002183	ENSMEUG00000002390	Notamacropus_eugenii	ENSMEUT00000002397
ENSMODP00000006325	ENSMODG00000005139	Monodelphis_domestica	ENSMODT00000006457
ENSSHAP00000002621	ENSSHAG00000002319	Sarcophilus_harrisii	ENSSHAT00000002649
ENSUMAP00000026045	ENSUMAG00000018977	Ursus_maritimus
ENSUAMP00000020275	ENSUAMG00000016004	Ursus_americanus
ENSAMEP00000008439	ENSAMEG00000008018	Ailuropoda_melanoleuca
ENSNVIP00000011229	ENSNVIG00000008902	Neovison_vison
ENSMPUP00000006934	ENSMPUG00000006990	Mustela_putorius_furo
ENSCAFP00020025174	ENSCAFG00020019799	Canis_lupus_dingo
ENSCAFP00000030134	ENSCAFG00000020318	Canis_lupus_familiaris
ENSVVUP00000017741	ENSVVUG00000013040	Vulpes_vulpes
ENSPPRP00000017908	ENSPPRG00000009715	Panthera_pardus
ENSPTIP00000003060	ENSPTIG00000005910	Panthera_tigris_altaica
ENSFCAP00000021133	ENSFCAG00000030983	Felis_catus
ENSOARP00000003604	ENSOARG00000003375	Ovis_aries
ENSOARP00000001016	ENSOARG00000000980	Ovis_aries
ENSCHIP00000004884	ENSCHIG00000009020	Capra_hircus
ENSBTAP00000009888	ENSBTAG00000007512	Bos_taurus
ENSBMUP00000002906	ENSBMUG00000002305	Bos_mutus
ENSBIXP00000033030	ENSBIXG00000015724	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021302	ENSBIXG00005024301	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000008065	ENSBBBG00000016061	Bison_bison_bison
ENSTTRP00000003415	ENSTTRG00000003640	Tursiops_truncatus
ENSMLUP00000002507	ENSMLUG00000002760	Myotis_lucifugus
ENSPVAP00000015691	ENSPVAG00000016627	Pteropus_vampyrus
ENSEASP00005030383	ENSEASG00005020690	Equus_asinus_asinus
ENSEEUP00000003961	ENSEEUG00000004367	Erinaceus_europaeus
ENSPSMP00000020319	ENSPSMG00000014354	Prolemur_simus
ENSPCOP00000029823	ENSPCOG00000027623	Propithecus_coquereli
ENSMICP00000027824	ENSMICG00000011407	Microcebus_murinus
ENSOGAP00000011044	ENSOGAG00000012342	Otolemur_garnettii
ENSPPAP00000039301	ENSPPAG00000042357	Pan_paniscus
ENSPTRP00000014105	ENSPTRG00000008262	Pan_troglodytes
ENSP00000219345	ENSG00000103066	Homo_sapiens
ENSGGOP00000001537	ENSGGOG00000001557	Gorilla_gorilla
ENSPPYP00000008453	ENSPPYG00000007485	Pongo_abelii
ENSNLEP00000006276	ENSNLEG00000005168	Nomascus_leucogenys
ENSMFAP00000042852	ENSMFAG00000040172	Macaca_fascicularis
ENSMNEP00000017930	ENSMNEG00000032921	Macaca_nemestrina
ENSMMUP00000071020	ENSMMUG00000056241	Macaca_mulatta
ENSTGEP00000010289	ENSTGEG00000008450	Theropithecus_gelada
ENSPANP00000018565	ENSPANG00000005756	Papio_anubis
ENSCATP00000028156	ENSCATG00000037388	Cercocebus_atys
ENSMLEP00000029928	ENSMLEG00000039151	Mandrillus_leucophaeus
ENSCSAP00000000429	ENSCSAG00000004071	Chlorocebus_sabaeus
ENSRROP00000024648	ENSRROG00000036122	Rhinopithecus_roxellana
ENSRBIP00000029134	ENSRBIG00000038450	Rhinopithecus_bieti
ENSPTEP00000010947	ENSPTEG00000012361	Piliocolobus_tephrosceles
ENSCANP00000033683	ENSCANG00000040506	Colobus_angolensis_palliatus
ENSCCAP00000034292	ENSCCAG00000035107	Cebus_capucinus_imitator
ENSCJAP00000052904	ENSCJAG00000043152	Callithrix_jacchus
ENSSBOP00000009170	ENSSBOG00000021471	Saimiri_boliviensis_boliviensis
ENSANAP00000032244	ENSANAG00000033817	Aotus_nancymaae
ENSTSYP00000003186	ENSTSYG00000003487	Carlito_syrichta
ENSTBEP00000009967	ENSTBEG00000011515	Tupaia_belangeri
ENSCCNP00000008418	ENSCCNG00000008922	Castor_canadensis
ENSDORP00000010248	ENSDORG00000010904	Dipodomys_ordii
ENSMSIP00000006230	ENSMSIG00000005587	Mus_spicilegus
MGP_SPRETEiJ_P0089388	MGP_SPRETEiJ_G0032631	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034377	ENSMUSG00000031903	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085888	MGP_CAROLIEiJ_G0031513	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054140	MGP_PahariEiJ_G0023113	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026996	ENSRNOG00000019859	Rattus_norvegicus
ENSMUGP00000020363	ENSMUGG00000017199	Meriones_unguiculatus
ENSPEMP00000030504	ENSPEMG00000028612	Peromyscus_maniculatus_bairdii
ENSMOCP00000006333	ENSMOCG00000005954	Microtus_ochrogaster
ENSCGRP00001023286	ENSCGRG00001021563	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019603	ENSCGRG00000014272	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000006728	ENSMAUG00000008584	Mesocricetus_auratus
ENSNGAP00000011700	ENSNGAG00000013774	Nannospalax_galili
ENSJJAP00000008899	ENSJJAG00000012946	Jaculus_jaculus
ENSSTOP00000012266	ENSSTOG00000013688	Ictidomys_tridecemlineatus	ENSSTOT00000013688
ENSUPAP00010030201	ENSUPAG00010023711	Urocitellus_parryii	ENSUPAT00010034314
ENSSDAP00000020328	ENSSDAG00000018516	Spermophilus_dauricus	ENSSDAT00000023237
ENSMMMP00000016290	ENSMMMG00000014495	Marmota_marmota_marmota
ENSHGLP00100018971	ENSHGLG00100014000	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018720	ENSHGLG00000013409	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018539	ENSFDAG00000009757	Fukomys_damarensis
ENSCPOP00000019089	ENSCPOG00000019979	Cavia_porcellus
ENSCAPP00000016621	ENSCAPG00000016468	Cavia_aperea
ENSCLAP00000016229	ENSCLAG00000011167	Chinchilla_lanigera
ENSODEP00000020130	ENSODEG00000014846	Octodon_degus
ENSOCUP00000007357	ENSOCUG00000008515	Oryctolagus_cuniculus
ENSOPRP00000012242	ENSOPRG00000013423	Ochotona_princeps
ENSLAFP00000002016	ENSLAFG00000002409	Loxodonta_africana
ENSETEP00000000560	ENSETEG00000000698	Echinops_telfairi
ENSPCAP00000011405	ENSPCAG00000012263	Procavia_capensis
ENSDNOP00000022823	ENSDNOG00000044715	Dasypus_novemcinctus
ENSSARP00000002705	ENSSARG00000002992	Sorex_araneus
ENSOANP00000017389	ENSOANG00000010974	Ornithorhynchus_anatinus
ENSCPGP00000024883	ENSCPGG00000017145	Calidris_pygmaea
ENSCPUP00000003010	ENSCPUG00000002300	Calidris_pugnax
