ENSCAPP00000000322	ENSCAPG00000000269	Cavia_aperea
ENSODEP00000003284	ENSODEG00000002527	Octodon_degus
ENSCHIP00000002447	ENSCHIG00000005666	Capra_hircus
ENSOARP00000018517	ENSOARG00000017251	Ovis_aries
ENSBIXP00005008525	ENSBIXG00005013583	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000019155	ENSBMUG00000014501	Bos_mutus	ENSBMUT00000022146
ENSBIXP00000042071	ENSBIXG00000006140	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000071037	ENSBTAG00000030518	Bos_taurus
ENSBBBP00000003653	ENSBBBG00000012696	Bison_bison_bison
ENSAMEP00000011830	ENSAMEG00000011238	Ailuropoda_melanoleuca
ENSCGRP00001012476	ENSCGRG00001013873	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022082	ENSCGRG00000016007	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000023779	ENSMOCG00000020391	Microtus_ochrogaster
ENSMAUP00000024203	ENSMAUG00000021134	Mesocricetus_auratus
ENSPEMP00000024221	ENSPEMG00000021031	Peromyscus_maniculatus_bairdii
ENSMUSP00000095223	ENSMUSG00000073599	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000011458	ENSMSIG00000010019	Mus_spicilegus
MGP_SPRETEiJ_P0048281	MGP_SPRETEiJ_G0023028	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0046355	MGP_CAROLIEiJ_G0022116	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038960	MGP_PahariEiJ_G0018850	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067313	ENSRNOG00000039593	Rattus_norvegicus
ENSMUGP00000020392	ENSMUGG00000017228	Meriones_unguiculatus
ENSNGAP00000015198	ENSNGAG00000016290	Nannospalax_galili
ENSJJAP00000024196	ENSJJAG00000023735	Jaculus_jaculus
ENSCPOP00000014457	ENSCPOG00000024371	Cavia_porcellus
ENSFDAP00000008173	ENSFDAG00000016494	Fukomys_damarensis
ENSHGLP00000009662	ENSHGLG00000006931	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002789	ENSHGLG00100002164	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000006310	ENSCLAG00000004465	Chinchilla_lanigera
ENSUPAP00010027954	ENSUPAG00010022082	Urocitellus_parryii
ENSSTOP00000016604	ENSSTOG00000028250	Ictidomys_tridecemlineatus
ENSOCUP00000049620	ENSOCUG00000023976	Oryctolagus_cuniculus
ENSPCOP00000031875	ENSPCOG00000028716	Propithecus_coquereli
ENSMICP00000040882	ENSMICG00000029366	Microcebus_murinus
ENSPSMP00000027358	ENSPSMG00000019126	Prolemur_simus
ENSOGAP00000016059	ENSOGAG00000026640	Otolemur_garnettii
ENSCCAP00000014341	ENSCCAG00000024982	Cebus_capucinus_imitator
ENSCJAP00000063975	ENSCJAG00000041195	Callithrix_jacchus
ENSANAP00000040587	ENSANAG00000037645	Aotus_nancymaae
ENSSBOP00000036272	ENSSBOG00000034274	Saimiri_boliviensis_boliviensis
ENSCATP00000037877	ENSCATG00000041654	Cercocebus_atys
ENSMLEP00000017507	ENSMLEG00000032968	Mandrillus_leucophaeus
ENSCSAP00000009198	ENSCSAG00000013023	Chlorocebus_sabaeus
ENSMNEP00000028741	ENSMNEG00000037834	Macaca_nemestrina
ENSMFAP00000028200	ENSMFAG00000045474	Macaca_fascicularis
ENSPANP00000006007	ENSPANG00000002493	Papio_anubis
ENSTGEP00000030165	ENSTGEG00000024224	Theropithecus_gelada
ENSRBIP00000000853	ENSRBIG00000004480	Rhinopithecus_bieti
ENSRROP00000041843	ENSRROG00000044102	Rhinopithecus_roxellana
ENSCANP00000002579	ENSCANG00000009523	Colobus_angolensis_palliatus
ENSP00000421364	ENSG00000279686	Homo_sapiens
ENSP00000479243	ENSG00000249751	Homo_sapiens
ENSGGOP00000026817	ENSGGOG00000022193	Gorilla_gorilla
ENSPPAP00000023330	ENSPPAG00000034856	Pan_paniscus
ENSPTRP00000061087	ENSPTRG00000039474	Pan_troglodytes
ENSPPYP00000024534	ENSPPYG00000029508	Pongo_abelii
ENSNLEP00000011178	ENSNLEG00000009185	Nomascus_leucogenys
ENSTSYP00000034651	ENSTSYG00000036156	Carlito_syrichta
ENSECAP00000015254	ENSECAG00000017697	Equus_caballus
ENSEASP00005030675	ENSEASG00005020885	Equus_asinus_asinus
ENSMLUP00000019144	ENSMLUG00000029814	Myotis_lucifugus
ENSUMAP00000021536	ENSUMAG00000015741	Ursus_maritimus
ENSUAMP00000035140	ENSUAMG00000026687	Ursus_americanus
ENSMPUP00000009088	ENSMPUG00000009165	Mustela_putorius_furo
ENSNVIP00000018224	ENSNVIG00000014231	Neovison_vison
