ENSMUSP00000120525	ENSMUSG00000002325	Mus_musculus_strain_reference_(CL57BL6)
ENSMFAP00000008564	ENSMFAG00000001203	Macaca_fascicularis
ENSTTRP00000008175	ENSTTRG00000008624	Tursiops_truncatus
ENSCSAP00000012125	ENSCSAG00000016071	Chlorocebus_sabaeus
ENSPANP00000045681	ENSPANG00000025056	Papio_anubis
ENSCANP00000024472	ENSCANG00000035640	Colobus_angolensis_palliatus
ENSRNOP00000026364	ENSRNOG00000019478	Rattus_norvegicus
ENSMSIP00000037336	ENSMSIG00000031110	Mus_spicilegus
ENSVVUP00000040946	ENSVVUG00000029142	Vulpes_vulpes
ENSPTIP00000001812	ENSPTIG00000004659	Panthera_tigris_altaica
ENSVVUP00000040948	ENSVVUG00000029143	Vulpes_vulpes
ENSRROP00000009954	ENSRROG00000029393	Rhinopithecus_roxellana
ENSSBOP00000006237	ENSSBOG00000020055	Saimiri_boliviensis_boliviensis
ENSAPLP00000024821	ENSAPLG00000024051	Anas_platyrhynchos_platyrhynchos
ENSSMRP00000004784	ENSSMRG00000003937	Salvator_merianae	ENSSMRT00000005641
ENSMAUP00000023141	ENSMAUG00000020370	Mesocricetus_auratus
ENSOARP00000020626	ENSOARG00000019201	Ovis_aries
ENSBTAP00000036313	ENSBTAG00000005816	Bos_taurus
ENSDORP00000022129	ENSDORG00000024629	Dipodomys_ordii
ENSSSCP00000061619	ENSSSCG00000002002	Sus_scrofa_strain_reference
ENSDNOP00000033101	ENSDNOG00000033295	Dasypus_novemcinctus
MGP_PahariEiJ_P0084957	MGP_PahariEiJ_G0030320	Mus_pahari_strain_PAHARI_EIJ
ENSPCAP00000014476	ENSPCAG00000015500	Procavia_capensis
ENSGGOP00000015651	ENSGGOG00000016046	Gorilla_gorilla
ENSBBBP00000026171	ENSBBBG00000021825	Bison_bison_bison
ENSPSMP00000022269	ENSPSMG00000015728	Prolemur_simus
ENSLAFP00000023684	ENSLAFG00000026182	Loxodonta_africana
ENSPEMP00000006683	ENSPEMG00000008821	Peromyscus_maniculatus_bairdii
ENSBIXP00005025174	ENSBIXG00005027687	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMEUP00000009842	ENSMEUG00000010784	Notamacropus_eugenii
ENSMOCP00000006351	ENSMOCG00000005971	Microtus_ochrogaster
ENSNVIP00000000479	ENSNVIG00000000426	Neovison_vison
ENSCATP00000042953	ENSCATG00000044058	Cercocebus_atys
ENSCCNP00000001021	ENSCCNG00000001114	Castor_canadensis
ENSPTEP00000018746	ENSPTEG00000020154	Piliocolobus_tephrosceles
ENSPPYP00000006466	ENSPPYG00000005686	Pongo_abelii
