ENSPCIP00000012745	ENSPCIG00000010148	Phascolarctos_cinereus	ENSPCIT00000015842
ENSVURP00010021320	ENSVURG00010016310	Vombatus_ursinus	ENSVURT00010024274
ENSMODP00000051727	ENSMODG00000049235	Monodelphis_domestica	ENSMODT00000055515
ENSPPAP00000000736	ENSPPAG00000003233	Pan_paniscus	ENSPPAT00000003472
ENSPTRP00000086512	ENSPTRG00000043499	Pan_troglodytes	ENSPTRT00000100202
ENSGGOP00000040407	ENSGGOG00000042221	Gorilla_gorilla	ENSGGOT00000048033
ENSCANP00000001934	ENSCANG00000007297	Colobus_angolensis_palliatus
ENSRBIP00000040562	ENSRBIG00000043691	Rhinopithecus_bieti
ENSRROP00000009421	ENSRROG00000029149	Rhinopithecus_roxellana
ENSPTEP00000043319	ENSPTEG00000039467	Piliocolobus_tephrosceles
ENSMLEP00000027358	ENSMLEG00000037889	Mandrillus_leucophaeus
ENSTGEP00000016314	ENSTGEG00000013205	Theropithecus_gelada
ENSMFAP00000045456	ENSMFAG00000000463	Macaca_fascicularis
ENSMNEP00000009657	ENSMNEG00000029271	Macaca_nemestrina
ENSPANP00000037008	ENSPANG00000033007	Papio_anubis
ENSCATP00000030805	ENSCATG00000038555	Cercocebus_atys
ENSNLEP00000039081	ENSNLEG00000028627	Nomascus_leucogenys
ENSCCAP00000039167	ENSCCAG00000037413	Cebus_capucinus_imitator
ENSSBOP00000037964	ENSSBOG00000035065	Saimiri_boliviensis_boliviensis
ENSCJAP00000061740	ENSCJAG00000039201	Callithrix_jacchus
ENSANAP00000024232	ENSANAG00000029858	Aotus_nancymaae
ENSTSYP00000028437	ENSTSYG00000036310	Carlito_syrichta
