ENSHBUP00000004731	ENSHBUG00000006068	Haplochromis_burtoni
ENSPREP00000031097	ENSPREG00000021060	Poecilia_reticulata
ENSEBUP00000025280	ENSEBUG00000015566	Eptatretus_burgeri
ENSSMAP00000027522	ENSSMAG00000016834	Scophthalmus_maximus
ENSTRUP00000013740	ENSTRUG00000005674	Takifugu_rubripes
ENSMFAP00000007977	ENSMFAG00000040580	Macaca_fascicularis
ENSCLAP00000021755	ENSCLAG00000014894	Chinchilla_lanigera
ENSAPLP00000015671	ENSAPLG00000015807	Anas_platyrhynchos_platyrhynchos
ENSHGLP00100012919	ENSHGLG00100009566	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000013610	ENSPSMG00000009778	Prolemur_simus
ENSLAFP00000009598	ENSLAFG00000011481	Loxodonta_africana
ENSEEUP00000010726	ENSEEUG00000011710	Erinaceus_europaeus
ENSGAGP00000008252	ENSGAGG00000006550	Gopherus_agassizii
ENSSPAP00000014577	ENSSPAG00000010162	Stegastes_partitus
ENSTGUP00000017694	ENSTGUG00000017415	Taeniopygia_guttata
ENSCATP00000003150	ENSCATG00000012661	Cercocebus_atys
ENSORLP00000016359	ENSORLG00000013056	Oryzias_latipes_ASM223467v1
ENSXMAP00000027444	ENSXMAG00000018380	Xiphophorus_maculatus
ENSSMRP00000012461	ENSSMRG00000009733	Salvator_merianae
ENSCHIP00000013667	ENSCHIG00000014992	Capra_hircus
ENSCHAP00000055813	ENSCHAG00000025261	Clupea_harengus
ENSMALP00000006621	ENSMALG00000004435	Monopterus_albus
ENSAMXP00000002253	ENSAMXG00000002189	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMAUP00000010281	ENSMAUG00000011215	Mesocricetus_auratus
ENSMVIP00005012743	ENSMVIG00005009242	Manacus_vitellinus
ENSEASP00005024850	ENSEASG00005016901	Equus_asinus_asinus
ENSAHAP00000019632	ENSAHAG00000013839	Apteryx_haastii
ENSJHYP00000020393	ENSJHYG00000015467	Junco_hyemalis
ENSUPAP00010002892	ENSUPAG00010002380	Urocitellus_parryii
ENSOARP00000015827	ENSOARG00000014745	Ovis_aries
ENSPCAP00000011987	ENSPCAG00000012764	Procavia_capensis	ENSPCAT00000012831
ENSPMAP00000002480	ENSPMAG00000002256	Petromyzon_marinus
ENSLCOP00000016534	ENSLCOG00000011767	Lepidothrix_coronata
ENSCAPP00000003125	ENSCAPG00000005967	Cavia_aperea
ENSP00000356634	ENSG00000116183	Homo_sapiens
ENSSSCP00000016447	ENSSSCG00000015512	Sus_scrofa_strain_reference
ENSSTOP00000032524	ENSSTOG00000011863	Ictidomys_tridecemlineatus
ENSOPRP00000004935	ENSOPRG00000005363	Ochotona_princeps
ENSSDUP00000014416	ENSSDUG00000010522	Seriola_dumerili
ENSETEP00000006287	ENSETEG00000007740	Echinops_telfairi
ENSDNOP00000006806	ENSDNOG00000008777	Dasypus_novemcinctus	ENSDNOT00000008789
ENSNMEP00000019160	ENSNMEG00000016572	Numida_meleagris
ENSDARP00000104154	ENSDARG00000076020	Danio_rerio
ENSCGRP00015016814	ENSCGRG00015012913	Cricetulus_griseus_CriGri-PICR
ENSPMGP00000003054	ENSPMGG00000002663	Periophthalmus_magnuspinnatus
ENSBSLP00000028286	ENSBSLG00000014157	Betta_splendens
ENSAPOP00000033478	ENSAPOG00000022036	Acanthochromis_polyacanthus
ENSLSDP00000015852	ENSLSDG00000011436	Lonchura_striata_domestica
ENSGWIP00000053478	ENSGWIG00000025702	Gouania_willdenowi
ENSSCAP00000013825	ENSSCAG00000010205	Serinus_canaria
ENSCGRP00001023509	ENSCGRG00001021710	Cricetulus_griseus_CHOK1GS_HDv1
ENSOANP00000001480	ENSOANG00000000944	Ornithorhynchus_anatinus
ENSATEP00000015118	ENSATEG00000010015	Anabas_testudineus
ENSNGAP00000000622	ENSNGAG00000000455	Nannospalax_galili
ENSEBUP00000003659	ENSEBUG00000002557	Eptatretus_burgeri
ENSMGAP00000001927	ENSMGAG00000002348	Meleagris_gallopavo
ENSCPBP00000020261	ENSCPBG00000014577	Chrysemys_picta_bellii
ENSPPAP00000025805	ENSPPAG00000036025	Pan_paniscus
ENSUAMP00000018510	ENSUAMG00000014673	Ursus_americanus
ENSAMEP00000018096	ENSAMEG00000017116	Ailuropoda_melanoleuca
ENSECRP00000015066	ENSECRG00000009960	Erpetoichthys_calabaricus
ENSCHAP00000055805	ENSCHAG00000025258	Clupea_harengus
ENSPTIP00000000129	ENSPTIG00000000137	Panthera_tigris_altaica
ENSAMXP00005007050	ENSAMXG00005004179	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPRP00005008393	ENSCPRG00005005986	Crocodylus_porosus
ENSDCDP00000001406	ENSDCDG00000000762	Denticeps_clupeoides
