ENSPKIP00000023700	ENSPKIG00000007226	Paramormyrops_kingsleyae	ENSPKIT00000004387
ENSSFOP00015035430	ENSSFOG00015022567	Scleropages_formosus	ENSSFOT00015035815
ENSLCRP00005030426	ENSLCRG00005012098	Larimichthys_crocea
ENSMMOP00000006418	ENSMMOG00000005025	Mola_mola
ENSLBEP00000006027	ENSLBEG00000004622	Labrus_bergylta
ENSGACP00000016645	ENSGACG00000012593	Gasterosteus_aculeatus
ENSPRNP00000011523	ENSPRNG00000006512	Parambassis_ranga
ENSPNYP00000017574	ENSPNYG00000013300	Pundamilia_nyererei
ENSHBUP00000033203	ENSHBUG00000019980	Haplochromis_burtoni
ENSMZEP00005015531	ENSMZEG00005011654	Maylandia_zebra
ENSACLP00000003655	ENSACLG00000002478	Astatotilapia_calliptera
ENSNBRP00000008474	ENSNBRG00000006650	Neolamprologus_brichardi
ENSONIP00000002634	ENSONIG00000002112	Oreochromis_niloticus
ENSACIP00000000641	ENSACIG00000000564	Amphilophus_citrinellus
ENSCSEP00000020499	ENSCSEG00000013083	Cynoglossus_semilaevis
ENSMAMP00000035299	ENSMAMG00000023696	Mastacembelus_armatus
ENSMALP00000006099	ENSMALG00000004369	Monopterus_albus
ENSATEP00000036068	ENSATEG00000024792	Anabas_testudineus
ENSBSLP00000040432	ENSBSLG00000019626	Betta_splendens
ENSLCAP00010031148	ENSLCAG00010014636	Lates_calcarifer
ENSSMAP00000018444	ENSSMAG00000011283	Scophthalmus_maximus
ENSSDUP00000001565	ENSSDUG00000001218	Seriola_dumerili
ENSSLDP00000011630	ENSSLDG00000009256	Seriola_lalandi_dorsalis
ENSCGOP00000027201	ENSCGOG00000012774	Cottoperca_gobio
ENSAPEP00000011410	ENSAPEG00000008168	Amphiprion_percula
ENSAOCP00000013963	ENSAOCG00000018559	Amphiprion_ocellaris
ENSAPOP00000015492	ENSAPOG00000018464	Acanthochromis_polyacanthus
ENSSPAP00000026924	ENSSPAG00000020308	Stegastes_partitus
ENSFHEP00000029665	ENSFHEG00000014438	Fundulus_heteroclitus
ENSCVAP00000020942	ENSCVAG00000002654	Cyprinodon_variegatus
ENSPLAP00000023570	ENSPLAG00000009042	Poecilia_latipinna
ENSPMEP00000031754	ENSPMEG00000000868	Poecilia_mexicana
ENSPFOP00000011991	ENSPFOG00000011995	Poecilia_formosa
ENSPREP00000030756	ENSPREG00000020830	Poecilia_reticulata
ENSXCOP00000024596	ENSXCOG00000018369	Xiphophorus_couchianus
ENSXMAP00000014124	ENSXMAG00000014096	Xiphophorus_maculatus
ENSGAFP00000028072	ENSGAFG00000018979	Gambusia_affinis
ENSKMAP00000000685	ENSKMAG00000000571	Kryptolebias_marmoratus
ENSHCOP00000004110	ENSHCOG00000005501	Hippocampus_comes
ENSORLP00020014316	ENSORLG00020015309	Oryzias_latipes_ASM223471v1
ENSORLP00000013319	ENSORLG00000010622	Oryzias_latipes_ASM223467v1
ENSORLP00015004160	ENSORLG00015004903	Oryzias_latipes_ASM223469v1
ENSOMEP00000030874	ENSOMEG00000015372	Oryzias_melastigma
ENSGWIP00000017590	ENSGWIG00000009790	Gouania_willdenowi
ENSTRUP00000052196	ENSTRUG00000025390	Takifugu_rubripes	ENSTRUT00000056619
ENSTNIP00000015606	ENSTNIG00000012634	Tetraodon_nigroviridis	ENSTNIT00000015813
ENSPMGP00000003669	ENSPMGG00000003157	Periophthalmus_magnuspinnatus
ENSGMOP00000018870	ENSGMOG00000017554	Gadus_morhua
ENSHHUP00000020023	ENSHHUG00000012536	Hucho_hucho
ENSHHUP00000048371	ENSHHUG00000029328	Hucho_hucho
ENSELUP00000003514	ENSELUG00000004718	Esox_lucius
ENSCHAP00000026588	ENSCHAG00000012947	Clupea_harengus	ENSCHAT00000028913
ENSDCDP00000033808	ENSDCDG00000022965	Denticeps_clupeoides	ENSDCDT00000043391
ENSAMXP00000028819	ENSAMXG00000032359	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005002435	ENSAMXG00005001366	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001215	ENSPNAG00000008028	Pygocentrus_nattereri
ENSEEEP00000008697	ENSEEEG00000004513	Electrophorus_electricus
ENSIPUP00000012537	ENSIPUG00000008536	Ictalurus_punctatus
ENSDARP00000100846	ENSDARG00000076490	Danio_rerio
ENSLOCP00000013448	ENSLOCG00000010960	Lepisosteus_oculatus
ENSECRP00000033410	ENSECRG00000022620	Erpetoichthys_calabaricus
ENSCPBP00000041089	ENSCPBG00000028201	Chrysemys_picta_bellii
ENSCABP00000016020	ENSCABG00000011949	Chelonoidis_abingdonii
ENSPSIP00000014355	ENSPSIG00000012830	Pelodiscus_sinensis
