ENSCHAP00000031627	ENSCHAG00000015000	Clupea_harengus	ENSCHAT00000034293
ENSCAPP00000008468	ENSCAPG00000010171	Cavia_aperea
ENSCPRP00005024510	ENSCPRG00005017050	Crocodylus_porosus
ENSMAUP00000022553	ENSMAUG00000019948	Mesocricetus_auratus
ENSPSMP00000037115	ENSPSMG00000025522	Prolemur_simus
ENSDORP00000025600	ENSDORG00000027634	Dipodomys_ordii
ENSTBEP00000010974	ENSTBEG00000012670	Tupaia_belangeri
MGP_PahariEiJ_P0020247	MGP_PahariEiJ_G0013935	Mus_pahari_strain_PAHARI_EIJ
ENSCPBP00000014104	ENSCPBG00000010512	Chrysemys_picta_bellii
ENSCABP00000014295	ENSCABG00000010676	Chelonoidis_abingdonii
ENSCINP00000030705	ENSCING00000020986	Ciona_intestinalis
ENSPKIP00000034975	ENSPKIG00000014108	Paramormyrops_kingsleyae
ENSSDAP00000025019	ENSSDAG00000022732	Spermophilus_dauricus
ENSLCOP00000019547	ENSLCOG00000013840	Lepidothrix_coronata
ENSCPUP00000004153	ENSCPUG00000003103	Calidris_pugnax
ENSHGLP00000016004	ENSHGLG00000011443	Heterocephalus_glaber_HetGla_female_1.0
ENSECRP00000033845	ENSECRG00000022887	Erpetoichthys_calabaricus
ENSONIP00000008965	ENSONIG00000007107	Oreochromis_niloticus
ENSDNOP00000024998	ENSDNOG00000030650	Dasypus_novemcinctus
ENSGGOP00000008068	ENSGGOG00000008253	Gorilla_gorilla
ENSSPAP00000022831	ENSSPAG00000017246	Stegastes_partitus
ENSAPOP00000021084	ENSAPOG00000001425	Acanthochromis_polyacanthus
ENSIPUP00000022527	ENSIPUG00000015267	Ictalurus_punctatus	ENSIPUT00000023494
ENSAPLP00000014449	ENSAPLG00000014592	Anas_platyrhynchos_platyrhynchos
ENSPTIP00000004511	ENSPTIG00000007007	Panthera_tigris_altaica
ENSCGRP00015029915	ENSCGRG00015022515	Cricetulus_griseus_CriGri-PICR
ENSAPEP00000000203	ENSAPEG00000000152	Amphiprion_percula
ENSEASP00005020518	ENSEASG00005014095	Equus_asinus_asinus
ENSHGLP00100013556	ENSHGLG00100010022	Heterocephalus_glaber_HetGla_1.0
ENSCMIP00000025539	ENSCMIG00000011222	Callorhinchus_milii
ENSMODP00000038993	ENSMODG00000029435	Monodelphis_domestica	ENSMODT00000042102
ENSNMEP00000012324	ENSNMEG00000011423	Numida_meleagris
ENSAOWP00000000202	ENSAOWG00000000159	Apteryx_owenii
ENSZALP00000021632	ENSZALG00000016913	Zonotrichia_albicollis
ENSMUGP00000024219	ENSMUGG00000020249	Meriones_unguiculatus
ENSATEP00000031715	ENSATEG00000021851	Anabas_testudineus
ENSLOCP00000001919	ENSLOCG00000001662	Lepisosteus_oculatus
ENSBIXP00000001468	ENSBIXG00000028529	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGOP00000002055	ENSCGOG00000001108	Cottoperca_gobio
ENSMOCP00000025912	ENSMOCG00000021877	Microtus_ochrogaster
ENSCSAP00000005818	ENSCSAG00000009558	Chlorocebus_sabaeus
ENSODEP00000023693	ENSODEG00000017345	Octodon_degus
ENSPTRP00000072528	ENSPTRG00000003184	Pan_troglodytes
ENSBTAP00000016935	ENSBTAG00000012742	Bos_taurus
ENSORLP00020005622	ENSORLG00020006453	Oryzias_latipes_ASM223471v1
ENSCJPP00005023436	ENSCJPG00005018594	Coturnix_japonica
ENSHBUP00000025090	ENSHBUG00000006991	Haplochromis_burtoni
ENSNBRP00000022733	ENSNBRG00000017366	Neolamprologus_brichardi
ENSPREP00000028415	ENSPREG00000019227	Poecilia_reticulata
ENSPTEP00000002491	ENSPTEG00000002935	Piliocolobus_tephrosceles	ENSPTET00000003869
ENSTRUP00000049174	ENSTRUG00000015561	Takifugu_rubripes
ENSHHUP00000040150	ENSHHUG00000024869	Hucho_hucho
ENSPCIP00000041468	ENSPCIG00000030307	Phascolarctos_cinereus
ENSSDUP00000022822	ENSSDUG00000016604	Seriola_dumerili
ENSDCDP00000042834	ENSDCDG00000027502	Denticeps_clupeoides	ENSDCDT00000053905
ENSEEEP00000012208	ENSEEEG00000006153	Electrophorus_electricus	ENSEEET00000012352
ENSPVIP00000000078	ENSPVIG00000000085	Pogona_vitticeps
ENSSLDP00000012401	ENSSLDG00000009860	Seriola_lalandi_dorsalis
ENSGMOP00000020631	ENSGMOG00000019185	Gadus_morhua
ENSHHUP00000025949	ENSHHUG00000016402	Hucho_hucho
ENSGAFP00000021159	ENSGAFG00000014268	Gambusia_affinis
ENSSBOP00000018965	ENSSBOG00000026078	Saimiri_boliviensis_boliviensis
ENSCGRP00001019511	ENSCGRG00001018930	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCAP00000012100	ENSCCAG00000023821	Cebus_capucinus_imitator
ENSANAP00000038982	ENSANAG00000036918	Aotus_nancymaae
ENSPCOP00000003575	ENSPCOG00000010689	Propithecus_coquereli
ENSCHIP00000017196	ENSCHIG00000017098	Capra_hircus
ENSLBEP00000032490	ENSLBEG00000024489	Labrus_bergylta
ENSABRP00000000744	ENSABRG00000000807	Anser_brachyrhynchus
ENSCANP00000007766	ENSCANG00000025555	Colobus_angolensis_palliatus
ENSMNEP00000027590	ENSMNEG00000037203	Macaca_nemestrina
ENSMICP00000039414	ENSMICG00000031505	Microcebus_murinus
ENSPFOP00000006313	ENSPFOG00000006271	Poecilia_formosa
ENSVVUP00000004329	ENSVVUG00000003406	Vulpes_vulpes
ENSOPRP00000010122	ENSOPRG00000011082	Ochotona_princeps
ENSRBIP00000027450	ENSRBIG00000037594	Rhinopithecus_bieti
ENSVURP00010016562	ENSVURG00010012679	Vombatus_ursinus
ENSELUP00000039935	ENSELUG00000020269	Esox_lucius
ENSACAP00000021576	ENSACAG00000000077	Anolis_carolinensis
ENSAMXP00000022235	ENSAMXG00000021590	Astyanax_mexicanus_Astyanax_mexicanus-2.0
C53B4.3.2	WBGene00008273	Caenorhabditis_elegans_strain_N2
ENSPSIP00000009509	ENSPSIG00000008660	Pelodiscus_sinensis
ENSMSIP00000034274	ENSMSIG00000028589	Mus_spicilegus
ENSPPRP00000026676	ENSPPRG00000017788	Panthera_pardus
ENSMVIP00005014744	ENSMVIG00005010650	Manacus_vitellinus
ENSCPOP00000019802	ENSCPOG00000023438	Cavia_porcellus
ENSCSEP00000030092	ENSCSEG00000019279	Cynoglossus_semilaevis
ENSAOCP00000028349	ENSAOCG00000001258	Amphiprion_ocellaris
ENSPRNP00000014059	ENSPRNG00000007665	Parambassis_ranga
ENSORLP00000000012	ENSORLG00000000010	Oryzias_latipes_ASM223467v1
ENSGALP00000010407	ENSGALG00000006454	Gallus_gallus
ENSNSUP00000024136	ENSNSUG00000017460	Notechis_scutatus
ENSJJAP00000009804	ENSJJAG00000013550	Jaculus_jaculus
ENSSMAP00000012886	ENSSMAG00000007929	Scophthalmus_maximus
ENSCLAP00000022403	ENSCLAG00000015366	Chinchilla_lanigera
ENSPLAP00000002351	ENSPLAG00000003591	Poecilia_latipinna
ENSSFOP00015017757	ENSSFOG00015011420	Scleropages_formosus
ENSNPEP00000013089	ENSNPEG00000009753	Nothoprocta_perdicaria
ENSLAFP00000025890	ENSLAFG00000032777	Loxodonta_africana
ENSAHAP00000014884	ENSAHAG00000010684	Apteryx_haastii
ENSMEUP00000001758	ENSMEUG00000001925	Notamacropus_eugenii
ENSPPYP00000003409	ENSPPYG00000002936	Pongo_abelii
ENSGAGP00000036351	ENSGAGG00000025764	Gopherus_agassizii
ENSMLEP00000010728	ENSMLEG00000029562	Mandrillus_leucophaeus
ENSMUNP00000012859	ENSMUNG00000010072	Melopsittacus_undulatus
ENSPPAP00000016299	ENSPPAG00000031256	Pan_paniscus
ENSCCEP00000008598	ENSCCEG00000008873	Cyanistes_caeruleus
ENSHCOP00000005460	ENSHCOG00000007148	Hippocampus_comes
ENSMFAP00000038500	ENSMFAG00000038599	Macaca_fascicularis
ENSMMUP00000010180	ENSMMUG00000007751	Macaca_mulatta
ENSOMEP00000022752	ENSOMEG00000002493	Oryzias_melastigma
ENSECAP00000022544	ENSECAG00000024975	Equus_caballus
ENSUAMP00000010430	ENSUAMG00000008578	Ursus_americanus
ENSP00000369948	ENSG00000110628	Homo_sapiens
ENSFHEP00000034768	ENSFHEG00000022663	Fundulus_heteroclitus
ENSPMGP00000023119	ENSPMGG00000018711	Periophthalmus_magnuspinnatus
ENSGWIP00000020881	ENSGWIG00000011304	Gouania_willdenowi
ENSSTOP00000022221	ENSSTOG00000022973	Ictidomys_tridecemlineatus
ENSDNVP00000019853	ENSDNVG00000013897	Dromaius_novaehollandiae
ENSNGAP00000023028	ENSNGAG00000021706	Nannospalax_galili
ENSTTRP00000009139	ENSTTRG00000009648	Tursiops_truncatus
ENSXCOP00000018610	ENSXCOG00000014009	Xiphophorus_couchianus
ENSCVAP00000022498	ENSCVAG00000005226	Cyprinodon_variegatus
ENSJHYP00000017240	ENSJHYG00000013188	Junco_hyemalis
