ENSPPRP00000019568	ENSPPRG00000011350	Panthera_pardus
ENSCGRP00015031468	ENSCGRG00015023341	Cricetulus_griseus_CriGri-PICR
ENSPTRP00000082033	ENSPTRG00000000297	Pan_troglodytes
ENSSCAP00000005753	ENSSCAG00000003951	Serinus_canaria
ENSAHAP00000022739	ENSAHAG00000015932	Apteryx_haastii
ENSETEP00000015313	ENSETEG00000018847	Echinops_telfairi
ENSPNAP00000031677	ENSPNAG00000019346	Pygocentrus_nattereri
ENSIPUP00000019582	ENSIPUG00000013302	Ictalurus_punctatus
MGP_CAROLIEiJ_P0065352	MGP_CAROLIEiJ_G0026684	Mus_caroli_strain_CAROLI_EIJ
ENSLCRP00005064960	ENSLCRG00005023581	Larimichthys_crocea
ENSPTIP00000018943	ENSPTIG00000016730	Panthera_tigris_altaica
ENSELUP00000009293	ENSELUG00000009920	Esox_lucius
ENSHBUP00000028554	ENSHBUG00000012960	Haplochromis_burtoni
ENSSDUP00000025027	ENSSDUG00000018177	Seriola_dumerili
ENSSFOP00015026102	ENSSFOG00015016664	Scleropages_formosus
ENSHHUP00000022122	ENSHHUG00000013185	Hucho_hucho
ENSNVIP00000021055	ENSNVIG00000015658	Neovison_vison
ENSPKIP00000029793	ENSPKIG00000010906	Paramormyrops_kingsleyae
ENSAMEP00000003051	ENSAMEG00000002847	Ailuropoda_melanoleuca
ENSSPAP00000013960	ENSSPAG00000010299	Stegastes_partitus
ENSTNIP00000004739	ENSTNIG00000003169	Tetraodon_nigroviridis
ENSDNVP00000026523	ENSDNVG00000018447	Dromaius_novaehollandiae
ENSBIXP00005044456	ENSBIXG00005004936	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDARP00000113926	ENSDARG00000074331	Danio_rerio
ENSCJPP00005013213	ENSCJPG00005007819	Coturnix_japonica
ENSCPBP00000012460	ENSCPBG00000008943	Chrysemys_picta_bellii
ENSMVIP00005006189	ENSMVIG00005002460	Manacus_vitellinus
ENSKMAP00000023318	ENSKMAG00000017233	Kryptolebias_marmoratus
ENSMZEP00005001745	ENSMZEG00005001359	Maylandia_zebra
ENSFHEP00000011184	ENSFHEG00000012583	Fundulus_heteroclitus
ENSACIP00000015637	ENSACIG00000011915	Amphilophus_citrinellus
ENSCHAP00000024716	ENSCHAG00000011241	Clupea_harengus
ENSCHIP00000020204	ENSCHIG00000018873	Capra_hircus
ENSSFOP00015008353	ENSSFOG00015005193	Scleropages_formosus
ENSECRP00000015525	ENSECRG00000010358	Erpetoichthys_calabaricus
ENSZALP00000022505	ENSZALG00000017479	Zonotrichia_albicollis
ENSAPLP00000025499	ENSAPLG00000005049	Anas_platyrhynchos_platyrhynchos
ENSOGAP00000011794	ENSOGAG00000013147	Otolemur_garnettii
ENSPMGP00000015946	ENSPMGG00000013068	Periophthalmus_magnuspinnatus
ENSPFOP00000016563	ENSPFOG00000016418	Poecilia_formosa
ENSNPEP00000005422	ENSNPEG00000004038	Nothoprocta_perdicaria
ENSSDAP00000013178	ENSSDAG00000011868	Spermophilus_dauricus
ENSHCOP00000017807	ENSHCOG00000001899	Hippocampus_comes
ENSVURP00010031076	ENSVURG00010023743	Vombatus_ursinus
ENSZALP00000005222	ENSZALG00000004855	Zonotrichia_albicollis
ENSPSMP00000003677	ENSPSMG00000001380	Prolemur_simus
ENSUPAP00010020128	ENSUPAG00010015827	Urocitellus_parryii
ENSSSCP00000042484	ENSSSCG00000003512	Sus_scrofa_strain_reference
ENSJHYP00000016787	ENSJHYG00000006689	Junco_hyemalis
ENSNGAP00000009137	ENSNGAG00000011879	Nannospalax_galili
ENSPTEP00000006606	ENSPTEG00000007407	Piliocolobus_tephrosceles
ENSSLDP00000024875	ENSSLDG00000018945	Seriola_lalandi_dorsalis
ENSORLP00000021279	ENSORLG00000017007	Oryzias_latipes_ASM223467v1
ENSBMUP00000029504	ENSBMUG00000022022	Bos_mutus
ENSOMEP00000031130	ENSOMEG00000015799	Oryzias_melastigma
ENSCSEP00000020495	ENSCSEG00000013061	Cynoglossus_semilaevis
ENSTSYP00000018485	ENSTSYG00000002604	Carlito_syrichta
ENSSTOP00000031544	ENSSTOG00000005127	Ictidomys_tridecemlineatus
ENSANAP00000040505	ENSANAG00000037410	Aotus_nancymaae
ENSBIXP00000023009	ENSBIXG00000001954	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGRP00001023032	ENSCGRG00001021343	Cricetulus_griseus_CHOK1GS_HDv1
ENSMMMP00000022092	ENSMMMG00000019384	Marmota_marmota_marmota
ENSMPUP00000015961	ENSMPUG00000016068	Mustela_putorius_furo
MGP_PahariEiJ_P0080435	MGP_PahariEiJ_G0029015	Mus_pahari_strain_PAHARI_EIJ
ENSOANP00000019690	ENSOANG00000012444	Ornithorhynchus_anatinus
ENSLCOP00000006125	ENSLCOG00000001580	Lepidothrix_coronata
ENSGAGP00000026844	ENSGAGG00000019542	Gopherus_agassizii
ENSCCNP00000031479	ENSCCNG00000029673	Castor_canadensis
ENSNBRP00000013440	ENSNBRG00000010386	Neolamprologus_brichardi
ENSTRUP00000029306	ENSTRUG00000011593	Takifugu_rubripes
ENSSMRP00000022821	ENSSMRG00000011757	Salvator_merianae
ENSGMOP00000000041	ENSGMOG00000000038	Gadus_morhua
ENSEEEP00000017457	ENSEEEG00000008555	Electrophorus_electricus
ENSPREP00000020575	ENSPREG00000013883	Poecilia_reticulata
ENSDCDP00000023496	ENSDCDG00000005206	Denticeps_clupeoides
ENSAMXP00000046559	ENSAMXG00000024785	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNMEP00000021081	ENSNMEG00000018066	Numida_meleagris
ENSNGAP00000022737	ENSNGAG00000021520	Nannospalax_galili
ENSGALP00000051836	ENSGALG00000010084	Gallus_gallus
ENSDCDP00000049343	ENSDCDG00000030046	Denticeps_clupeoides
ENSFALP00000003854	ENSFALG00000003676	Ficedula_albicollis
ENSPCIP00000012592	ENSPCIG00000010019	Phascolarctos_cinereus
ENSPSIP00000015437	ENSPSIG00000013798	Pelodiscus_sinensis
ENSOARP00000009352	ENSOARG00000008710	Ovis_aries
ENSCHOP00000005419	ENSCHOG00000006118	Choloepus_hoffmanni
ENSCGOP00000028067	ENSCGOG00000010278	Cottoperca_gobio
ENSLBEP00000008118	ENSLBEG00000005966	Labrus_bergylta
ENSDARP00000142418	ENSDARG00000077215	Danio_rerio
ENSCCEP00000013651	ENSCCEG00000013090	Cyanistes_caeruleus
ENSCSAP00000017106	ENSCSAG00000000901	Chlorocebus_sabaeus
ENSCATP00000022289	ENSCATG00000034614	Cercocebus_atys
ENSPPYP00000002045	ENSPPYG00000001764	Pongo_abelii
ENSLAFP00000010482	ENSLAFG00000012534	Loxodonta_africana
ENSSPUP00000001714	ENSSPUG00000001152	Sphenodon_punctatus
ENSPMJP00000012157	ENSPMJG00000009383	Parus_major
ENSNSUP00000027324	ENSNSUG00000018888	Notechis_scutatus
ENSMAUP00000017499	ENSMAUG00000016352	Mesocricetus_auratus
ENSPMEP00000022191	ENSPMEG00000003029	Poecilia_mexicana
ENSMEUP00000009443	ENSMEUG00000010333	Notamacropus_eugenii
ENSCVAP00000029282	ENSCVAG00000016918	Cyprinodon_variegatus
ENSMMUP00000046716	ENSMMUG00000004149	Macaca_mulatta
ENSUMAP00000025453	ENSUMAG00000015096	Ursus_maritimus
ENSUAMP00000007676	ENSUAMG00000006620	Ursus_americanus
ENSUAMP00000007672	ENSUAMG00000006617	Ursus_americanus
ENSACLP00000002980	ENSACLG00000002006	Astatotilapia_calliptera
ENSPKIP00000029830	ENSPKIG00000010922	Paramormyrops_kingsleyae
ENSFCAP00000039478	ENSFCAG00000000802	Felis_catus
ENSVPAP00000006831	ENSVPAG00000007343	Vicugna_pacos
ENSMUGP00000029718	ENSMUGG00000024331	Meriones_unguiculatus
ENSMGAP00000007328	ENSMGAG00000007151	Meleagris_gallopavo
ENSXMAP00000017752	ENSXMAG00000017701	Xiphophorus_maculatus
ENSAMXP00005023351	ENSAMXG00005010453	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSUAMP00000016736	ENSUAMG00000010058	Ursus_americanus
ENSEEUP00000000871	ENSEEUG00000000960	Erinaceus_europaeus
ENSABRP00000010642	ENSABRG00000007971	Anser_brachyrhynchus
ENSBSLP00000051202	ENSBSLG00000022550	Betta_splendens
ENSPKIP00000029739	ENSPKIG00000010849	Paramormyrops_kingsleyae
ENSMLEP00000036742	ENSMLEG00000042409	Mandrillus_leucophaeus
ENSAPEP00000027201	ENSAPEG00000019343	Amphiprion_percula
ENSPNAP00000014236	ENSPNAG00000020215	Pygocentrus_nattereri
ENSCPOP00000012144	ENSCPOG00000013487	Cavia_porcellus
ENSRNOP00000070544	ENSRNOG00000014368	Rattus_norvegicus
ENSPPAP00000031966	ENSPPAG00000038299	Pan_paniscus
ENSCLAP00000024741	ENSCLAG00000016985	Chinchilla_lanigera
ENSHHUP00000068607	ENSHHUG00000039912	Hucho_hucho
ENSMAUP00000007459	ENSMAUG00000009111	Mesocricetus_auratus
ENSPEMP00000033411	ENSPEMG00000019075	Peromyscus_maniculatus_bairdii
ENSP00000383274	ENSG00000075151	Homo_sapiens
ENSPRNP00000027361	ENSPRNG00000013415	Parambassis_ranga
ENSAMXP00005000743	ENSAMXG00005000445	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEASP00005020864	ENSEASG00005011857	Equus_asinus_asinus
ENSMMOP00000017501	ENSMMOG00000013300	Mola_mola
ENSPVIP00000023778	ENSPVIG00000017518	Pogona_vitticeps
ENSBBBP00000007577	ENSBBBG00000015829	Bison_bison_bison
ENSPCAP00000005665	ENSPCAG00000005945	Procavia_capensis
ENSGACP00000006090	ENSGACG00000004607	Gasterosteus_aculeatus
ENSOCUP00000048212	ENSOCUG00000002451	Oryctolagus_cuniculus
ENSCAFP00000045905	ENSCAFG00000014975	Canis_lupus_familiaris
ENSMICP00000007792	ENSMICG00000008548	Microcebus_murinus
ENSPLAP00000012103	ENSPLAG00000015334	Poecilia_latipinna
ENSATEP00000036602	ENSATEG00000025156	Anabas_testudineus
ENSMAMP00000004270	ENSMAMG00000002783	Mastacembelus_armatus
ENSARWP00000006556	ENSARWG00000001070	Apteryx_rowi
ENSGGOP00000048078	ENSGGOG00000005832	Gorilla_gorilla
ENSCAPP00000010130	ENSCAPG00000011433	Cavia_aperea
ENSCJAP00000011774	ENSCJAG00000006258	Callithrix_jacchus
ENSSHAP00000004283	ENSSHAG00000003774	Sarcophilus_harrisii
ENSPANP00000039898	ENSPANG00000017237	Papio_anubis
ENSPVAP00000013079	ENSPVAG00000013869	Pteropus_vampyrus
ENSXETP00000021820	ENSXETG00000005606	Xenopus_tropicalis
ENSLOCP00000004223	ENSLOCG00000003549	Lepisosteus_oculatus
ENSSARP00000002933	ENSSARG00000003179	Sorex_araneus
ENSPNAP00000029030	ENSPNAG00000014894	Pygocentrus_nattereri
ENSDORP00000004989	ENSDORG00000005331	Dipodomys_ordii
ENSGWIP00000034128	ENSGWIG00000014427	Gouania_willdenowi
ENSOPRP00000010065	ENSOPRG00000011002	Ochotona_princeps
ENSMUNP00000015239	ENSMUNG00000011803	Melopsittacus_undulatus
ENSJJAP00000012104	ENSJJAG00000015250	Jaculus_jaculus
ENSACAP00000017486	ENSACAG00000017755	Anolis_carolinensis
ENSPKIP00000028971	ENSPKIG00000010376	Paramormyrops_kingsleyae
ENSHGLP00000022045	ENSHGLG00000015724	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000010702	ENSTTRG00000011287	Tursiops_truncatus
ENSPNYP00000005175	ENSPNYG00000003941	Pundamilia_nyererei
ENSPCOP00000000334	ENSPCOG00000000173	Propithecus_coquereli
ENSSMAP00000003222	ENSSMAG00000002016	Scophthalmus_maximus
ENSCCNP00000024357	ENSCCNG00000023855	Castor_canadensis
ENSVVUP00000042111	ENSVVUG00000029639	Vulpes_vulpes
ENSCCAP00000032406	ENSCCAG00000033501	Cebus_capucinus_imitator
ENSMLUP00000000727	ENSMLUG00000000787	Myotis_lucifugus
ENSCPUP00000012648	ENSCPUG00000008995	Calidris_pugnax	ENSCPUT00000015099
ENSEEEP00000031707	ENSEEEG00000015146	Electrophorus_electricus
ENSCPUP00000012647	ENSCPUG00000008994	Calidris_pugnax
ENSCPUP00000012646	ENSCPUG00000008992	Calidris_pugnax	ENSCPUT00000015097
ENSEBUP00000022992	ENSEBUG00000014169	Eptatretus_burgeri
ENSCPGP00000017999	ENSCPGG00000012189	Calidris_pygmaea
ENSFDAP00000019944	ENSFDAG00000004311	Fukomys_damarensis
ENSAOCP00000008028	ENSAOCG00000011942	Amphiprion_ocellaris
ENSLSDP00000023776	ENSLSDG00000016690	Lonchura_striata_domestica
ENSJJAP00000017472	ENSJJAG00000019005	Jaculus_jaculus
ENSCPRP00005024424	ENSCPRG00005015834	Crocodylus_porosus
ENSCHAP00000023077	ENSCHAG00000009429	Clupea_harengus
ENSRROP00000035867	ENSRROG00000041075	Rhinopithecus_roxellana
ENSECAP00000047381	ENSECAG00000011147	Equus_caballus
ENSGAFP00000023385	ENSGAFG00000015571	Gambusia_affinis
ENSAOWP00000017350	ENSAOWG00000011867	Apteryx_owenii
ENSNLEP00000009767	ENSNLEG00000007976	Nomascus_leucogenys
ENSAMXP00000004601	ENSAMXG00000004488	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTGEP00000001951	ENSTGEG00000001480	Theropithecus_gelada
ENSMNEP00000024173	ENSMNEG00000035435	Macaca_nemestrina
ENSMALP00000003244	ENSMALG00000002314	Monopterus_albus
ENSSBOP00000020833	ENSSBOG00000026901	Saimiri_boliviensis_boliviensis
ENSORLP00015005003	ENSORLG00015006137	Oryzias_latipes_ASM223469v1
ENSOANP00000003060	ENSOANG00000001929	Ornithorhynchus_anatinus
ENSIPUP00000030593	ENSIPUG00000020618	Ictalurus_punctatus
ENSCAFP00020020716	ENSCAFG00020009953	Canis_lupus_dingo
MGP_SPRETEiJ_P0067905	MGP_SPRETEiJ_G0027664	Mus_spretus_strain_SPRET/EiJ
