ENSCHIP00000010773	ENSCHIG00000013166	Capra_hircus
ENSMOCP00000003371	ENSMOCG00000002686	Microtus_ochrogaster
ENSXMAP00000035966	ENSXMAG00000023872	Xiphophorus_maculatus
ENSMUNP00000009867	ENSMUNG00000007807	Melopsittacus_undulatus
ENSARWP00000020416	ENSARWG00000013982	Apteryx_rowi
ENSGAGP00000034969	ENSGAGG00000024862	Gopherus_agassizii
ENSPLAP00000010262	ENSPLAG00000013144	Poecilia_latipinna
ENSBBBP00000011898	ENSBBBG00000005362	Bison_bison_bison
ENSATEP00000005090	ENSATEG00000003583	Anabas_testudineus
ENSCHAP00000048443	ENSCHAG00000022314	Clupea_harengus
ENSCPUP00000015090	ENSCPUG00000010522	Calidris_pugnax
ENSGMOP00000015379	ENSGMOG00000014398	Gadus_morhua
ENSORLP00000043585	ENSORLG00000007781	Oryzias_latipes_ASM223467v1	ENSORLT00000029123
ENSCPGP00000025276	ENSCPGG00000017422	Calidris_pygmaea
ENSTSYP00000015404	ENSTSYG00000026356	Carlito_syrichta
ENSOARP00000001724	ENSOARG00000001641	Ovis_aries
ENSRBIP00000025566	ENSRBIG00000036657	Rhinopithecus_bieti
ENSNGAP00000007871	ENSNGAG00000011012	Nannospalax_galili
ENSPVAP00000012030	ENSPVAG00000012755	Pteropus_vampyrus
ENSRROP00000034911	ENSRROG00000041001	Rhinopithecus_roxellana
ENSHHUP00000063020	ENSHHUG00000037267	Hucho_hucho
ENSGACP00000025252	ENSGACG00000019096	Gasterosteus_aculeatus
ENSIPUP00000011546	ENSIPUG00000007872	Ictalurus_punctatus
ENSMNEP00000012971	ENSMNEG00000030761	Macaca_nemestrina
ENSCJPP00005007372	ENSCJPG00005006808	Coturnix_japonica
ENSNLEP00000009309	ENSNLEG00000007653	Nomascus_leucogenys
ENSVURP00010016086	ENSVURG00010012325	Vombatus_ursinus
ENSCGOP00000015669	ENSCGOG00000007559	Cottoperca_gobio
ENSAPOP00000012006	ENSAPOG00000014621	Acanthochromis_polyacanthus
ENSBSLP00000012536	ENSBSLG00000006428	Betta_splendens
ENSSTOP00000005390	ENSSTOG00000006026	Ictidomys_tridecemlineatus
ENSONIP00000013730	ENSONIG00000010912	Oreochromis_niloticus
ENSLAFP00000013315	ENSLAFG00000015873	Loxodonta_africana
ENSPRNP00000046865	ENSPRNG00000022573	Parambassis_ranga
ENSXMAP00000027920	ENSXMAG00000021994	Xiphophorus_maculatus	ENSXMAT00000027352
ENSNBRP00000008711	ENSNBRG00000006813	Neolamprologus_brichardi
ENSGAFP00000026469	ENSGAFG00000017877	Gambusia_affinis
ENSSDUP00000010181	ENSSDUG00000007447	Seriola_dumerili
ENSORLP00015002913	ENSORLG00015003600	Oryzias_latipes_ASM223469v1
ENSPVIP00000027833	ENSPVIG00000020666	Pogona_vitticeps
