ENSOCUP00000008335	ENSOCUG00000009664	Oryctolagus_cuniculus
ENSOPRP00000013406	ENSOPRG00000014679	Ochotona_princeps
ENSBBBP00000028250	ENSBBBG00000024892	Bison_bison_bison
ENSSSCP00000059705	ENSSSCG00000044055	Sus_scrofa_strain_reference
ENSVVUP00000014423	ENSVVUG00000010560	Vulpes_vulpes	ENSVVUT00000018899
ENSCCNP00000015227	ENSCCNG00000015626	Castor_canadensis	ENSCCNT00000019897
ENSPEMP00000001075	ENSPEMG00000000755	Peromyscus_maniculatus_bairdii
ENSMOCP00000001717	ENSMOCG00000001334	Microtus_ochrogaster
ENSCGRP00001014222	ENSCGRG00001015149	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015021601	ENSCGRG00015016422	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000001103	ENSCGRG00000000858	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000018336	ENSMAUG00000016927	Mesocricetus_auratus
ENSMUSP00000044521	ENSMUSG00000042282	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096650	MGP_SPRETEiJ_G0034633	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0092883	MGP_CAROLIEiJ_G0033462	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090498	MGP_PahariEiJ_G0032002	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049500	ENSRNOG00000019086	Rattus_norvegicus
ENSMUGP00000024610	ENSMUGG00000020555	Meriones_unguiculatus
ENSJJAP00000009637	ENSJJAG00000013450	Jaculus_jaculus
ENSDORP00000002098	ENSDORG00000002237	Dipodomys_ordii
ENSCLAP00000001925	ENSCLAG00000001419	Chinchilla_lanigera
ENSODEP00000017949	ENSODEG00000013232	Octodon_degus
ENSCPOP00000005720	ENSCPOG00000006348	Cavia_porcellus
ENSHGLP00000002787	ENSHGLG00000002097	Heterocephalus_glaber_HetGla_female_1.0
ENSTBEP00000005881	ENSTBEG00000006730	Tupaia_belangeri
ENSMLUP00000016564	ENSMLUG00000006258	Myotis_lucifugus	ENSMLUT00000028222
ENSSARP00000007418	ENSSARG00000008179	Sorex_araneus	ENSSART00000008202
ENSPPAP00000040658	ENSPPAG00000042967	Pan_paniscus
ENSPTRP00000038167	ENSPTRG00000022174	Pan_troglodytes
ENSP00000218006	ENSG00000101890	Homo_sapiens
ENSGGOP00000006623	ENSGGOG00000006763	Gorilla_gorilla
ENSPPYP00000023088	ENSPPYG00000020624	Pongo_abelii
ENSNLEP00000017400	ENSNLEG00000014307	Nomascus_leucogenys
ENSPANP00000011661	ENSPANG00000011773	Papio_anubis
ENSMLEP00000029457	ENSMLEG00000038915	Mandrillus_leucophaeus
ENSCATP00000044739	ENSCATG00000044834	Cercocebus_atys
ENSMMUP00000017341	ENSMMUG00000013199	Macaca_mulatta
ENSMNEP00000034813	ENSMNEG00000040583	Macaca_nemestrina
ENSMFAP00000028330	ENSMFAG00000045516	Macaca_fascicularis
ENSCSAP00000005108	ENSCSAG00000008852	Chlorocebus_sabaeus
ENSRROP00000013153	ENSRROG00000030850	Rhinopithecus_roxellana
ENSRBIP00000039246	ENSRBIG00000043073	Rhinopithecus_bieti
ENSCANP00000035049	ENSCANG00000041204	Colobus_angolensis_palliatus
ENSPTEP00000030743	ENSPTEG00000029885	Piliocolobus_tephrosceles
ENSSBOP00000006939	ENSSBOG00000020443	Saimiri_boliviensis_boliviensis
ENSCCAP00000013054	ENSCCAG00000024310	Cebus_capucinus_imitator
ENSCJAP00000067773	ENSCJAG00000007378	Callithrix_jacchus
ENSANAP00000003229	ENSANAG00000019526	Aotus_nancymaae
ENSTSYP00000010993	ENSTSYG00000011980	Carlito_syrichta
ENSPCOP00000025124	ENSPCOG00000024784	Propithecus_coquereli
ENSMICP00000050557	ENSMICG00000042725	Microcebus_murinus
ENSPSMP00000011687	ENSPSMG00000008433	Prolemur_simus
ENSOGAP00000010355	ENSOGAG00000011569	Otolemur_garnettii
ENSOARP00000019391	ENSOARG00000018062	Ovis_aries
ENSCHIP00000000441	ENSCHIG00000000313	Capra_hircus
ENSBIXP00005016119	ENSBIXG00005019910	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000036727	ENSBTAG00000026003	Bos_taurus
ENSBMUP00000018825	ENSBMUG00000014265	Bos_mutus
ENSTTRP00000004784	ENSTTRG00000005062	Tursiops_truncatus
ENSVPAP00000006800	ENSVPAG00000007312	Vicugna_pacos
ENSEASP00005017424	ENSEASG00005012061	Equus_asinus_asinus
ENSECAP00000011607	ENSECAG00000013873	Equus_caballus
ENSAMEP00000019009	ENSAMEG00000017985	Ailuropoda_melanoleuca
ENSUMAP00000032048	ENSUMAG00000023097	Ursus_maritimus
ENSCAFP00000026657	ENSCAFG00000018034	Canis_lupus_familiaris
ENSCAFP00020007053	ENSCAFG00020005725	Canis_lupus_dingo
ENSPTIP00000013421	ENSPTIG00000013154	Panthera_tigris_altaica
ENSPPRP00000000934	ENSPPRG00000024490	Panthera_pardus
ENSFCAP00000025933	ENSFCAG00000009035	Felis_catus
ENSPVAP00000002865	ENSPVAG00000003034	Pteropus_vampyrus
ENSEEUP00000010985	ENSEEUG00000011992	Erinaceus_europaeus	ENSEEUT00000012045
ENSRBIP00000032173	ENSRBIG00000039890	Rhinopithecus_bieti
ENSRROP00000000478	ENSRROG00000001688	Rhinopithecus_roxellana
ENSTGEP00000019751	ENSTGEG00000015918	Theropithecus_gelada
ENSLAFP00000005357	ENSLAFG00000006374	Loxodonta_africana
ENSPCAP00000007432	ENSPCAG00000007901	Procavia_capensis
ENSETEP00000006495	ENSETEG00000007993	Echinops_telfairi
ENSMSIP00000031615	ENSMSIG00000026464	Mus_spicilegus	ENSMSIT00000039859
ENSMODP00000032694	ENSMODG00000005266	Monodelphis_domestica
ENSXETP00000022814	ENSXETG00000004110	Xenopus_tropicalis
ENSLACP00000005372	ENSLACG00000004776	Latimeria_chalumnae
ENSCMIP00000039705	ENSCMIG00000016621	Callorhinchus_milii
