ENSELUP00000024882	ENSELUG00000023648	Esox_lucius
ENSHHUP00000088550	ENSHHUG00000051150	Hucho_hucho
ENSHHUP00000061763	ENSHHUG00000036555	Hucho_hucho
ENSCGOP00000016097	ENSCGOG00000007515	Cottoperca_gobio
ENSLCRP00005012719	ENSLCRG00005005576	Larimichthys_crocea
ENSLCAP00010013484	ENSLCAG00010006410	Lates_calcarifer
ENSSMAP00000026907	ENSSMAG00000016366	Scophthalmus_maximus
ENSSLDP00000001366	ENSSLDG00000001145	Seriola_lalandi_dorsalis
ENSSLDP00000001315	ENSSLDG00000001081	Seriola_lalandi_dorsalis
ENSSDUP00000017625	ENSSDUG00000012890	Seriola_dumerili
ENSATEP00000000986	ENSATEG00000000489	Anabas_testudineus
ENSBSLP00000017180	ENSBSLG00000009016	Betta_splendens
ENSMAMP00000028710	ENSMAMG00000019216	Mastacembelus_armatus
ENSAPEP00000006325	ENSAPEG00000004553	Amphiprion_percula
ENSAOCP00000031880	ENSAOCG00000023819	Amphiprion_ocellaris
ENSAPOP00000018885	ENSAPOG00000022299	Acanthochromis_polyacanthus
ENSSPAP00000026327	ENSSPAG00000019863	Stegastes_partitus
ENSPRNP00000019130	ENSPRNG00000009843	Parambassis_ranga
ENSACLP00000027344	ENSACLG00000018589	Astatotilapia_calliptera
ENSMZEP00005025560	ENSMZEG00005019073	Maylandia_zebra
ENSPNYP00000031982	ENSPNYG00000024134	Pundamilia_nyererei
ENSONIP00000018599	ENSONIG00000014773	Oreochromis_niloticus
ENSACIP00000008735	ENSACIG00000006758	Amphilophus_citrinellus
ENSPFOP00000004710	ENSPFOG00000004163	Poecilia_formosa
ENSPMEP00000019945	ENSPMEG00000023023	Poecilia_mexicana
ENSPLAP00000017141	ENSPLAG00000021481	Poecilia_latipinna
ENSGAFP00000016583	ENSGAFG00000011151	Gambusia_affinis
ENSXMAP00000025507	ENSXMAG00000018025	Xiphophorus_maculatus
ENSXCOP00000007907	ENSXCOG00000006067	Xiphophorus_couchianus
ENSCVAP00000025099	ENSCVAG00000009634	Cyprinodon_variegatus
ENSKMAP00000009003	ENSKMAG00000006759	Kryptolebias_marmoratus
ENSORLP00000001258	ENSORLG00000023081	Oryzias_latipes_ASM223467v1
ENSORLP00000000907	ENSORLG00000025635	Oryzias_latipes_ASM223467v1
ENSORLP00000001260	ENSORLG00000022208	Oryzias_latipes_ASM223467v1
ENSORLP00015027991	ENSORLG00015010387	Oryzias_latipes_ASM223469v1
ENSORLP00000033242	ENSORLG00000030198	Oryzias_latipes_ASM223467v1
ENSORLP00020025136	ENSORLG00020000146	Oryzias_latipes_ASM223471v1
ENSORLP00000034820	ENSORLG00000026740	Oryzias_latipes_ASM223467v1
ENSORLP00015027866	ENSORLG00015010212	Oryzias_latipes_ASM223469v1
ENSOMEP00000016780	ENSOMEG00000018631	Oryzias_melastigma
ENSOMEP00000016439	ENSOMEG00000018306	Oryzias_melastigma
ENSMMOP00000025438	ENSMMOG00000019308	Mola_mola
ENSFHEP00000031816	ENSFHEG00000017939	Fundulus_heteroclitus
ENSTRUP00000027346	ENSTRUG00000010826	Takifugu_rubripes
ENSTNIP00000008384	ENSTNIG00000014366	Tetraodon_nigroviridis
ENSGACP00000006942	ENSGACG00000005228	Gasterosteus_aculeatus
ENSHCOP00000011201	ENSHCOG00000014187	Hippocampus_comes
ENSHCOP00000010907	ENSHCOG00000013659	Hippocampus_comes
ENSHCOP00000024402	ENSHCOG00000013871	Hippocampus_comes
ENSAMXP00005047294	ENSAMXG00005021714	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000005486	ENSAMXG00000005291	Astyanax_mexicanus_Astyanax_mexicanus-2.0
