ENSOMEP00000033231	ENSOMEG00000019092	Oryzias_melastigma
ENSFHEP00000016318	ENSFHEG00000017990	Fundulus_heteroclitus
ENSGWIP00000011097	ENSGWIG00000006509	Gouania_willdenowi
ENSACIP00000001597	ENSACIG00000001328	Amphilophus_citrinellus
ENSPRNP00000019625	ENSPRNG00000010294	Parambassis_ranga
ENSSMAP00000015569	ENSSMAG00000009545	Scophthalmus_maximus	ENSSMAT00000015766
ENSCSEP00000009301	ENSCSEG00000005970	Cynoglossus_semilaevis
ENSLBEP00000000152	ENSLBEG00000000132	Labrus_bergylta
ENSGACP00000017902	ENSGACG00000013549	Gasterosteus_aculeatus
ENSPMGP00000009425	ENSPMGG00000007806	Periophthalmus_magnuspinnatus
ENSGMOP00000022092	ENSGMOG00000020605	Gadus_morhua
ENSAMXP00000010733	ENSAMXG00000010447	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005025916	ENSAMXG00005013114	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSECRP00000021797	ENSECRG00000014729	Erpetoichthys_calabaricus
ENSEBUP00000016778	ENSEBUG00000010528	Eptatretus_burgeri
