ENSAHAP00000018574	ENSAHAG00000013164	Apteryx_haastii	ENSAHAT00000020529
ENSAOWP00000025259	ENSAOWG00000017086	Apteryx_owenii	ENSAOWT00000028631
ENSARWP00000027420	ENSARWG00000018520	Apteryx_rowi	ENSARWT00000031011
ENSDNVP00000016040	ENSDNVG00000011276	Dromaius_novaehollandiae	ENSDNVT00000019285
ENSMVIP00005004585	ENSMVIG00005003537	Manacus_vitellinus
ENSCCEP00000000659	ENSCCEG00000000852	Cyanistes_caeruleus
ENSNPEP00000011207	ENSNPEG00000008419	Nothoprocta_perdicaria	ENSNPET00000011493
ENSABRP00000022942	ENSABRG00000019387	Anser_brachyrhynchus
ENSAPLP00000013303	ENSAPLG00000013501	Anas_platyrhynchos_platyrhynchos
ENSGALP00000026757	ENSGALG00000016609	Gallus_gallus
ENSCJPP00005015744	ENSCJPG00005012996	Coturnix_japonica
ENSMGAP00000014968	ENSMGAG00000014151	Meleagris_gallopavo
ENSNMEP00000007765	ENSNMEG00000007706	Numida_meleagris
ENSCPUP00000016766	ENSCPUG00000011582	Calidris_pugnax
ENSCPGP00000004420	ENSCPGG00000003233	Calidris_pygmaea
ENSMUNP00000013469	ENSMUNG00000010504	Melopsittacus_undulatus
ENSCPRP00005003736	ENSCPRG00005002732	Crocodylus_porosus
ENSCABP00000020047	ENSCABG00000014779	Chelonoidis_abingdonii
ENSGAGP00000033641	ENSGAGG00000023948	Gopherus_agassizii
ENSCPBP00000031722	ENSCPBG00000022278	Chrysemys_picta_bellii
ENSPSIP00000010144	ENSPSIG00000009215	Pelodiscus_sinensis
ENSPVIP00000031565	ENSPVIG00000023214	Pogona_vitticeps
ENSACAP00000000498	ENSACAG00000000595	Anolis_carolinensis
ENSNSUP00000006062	ENSNSUG00000004845	Notechis_scutatus
ENSSMRP00000015836	ENSSMRG00000012311	Salvator_merianae
ENSSPUP00000003760	ENSSPUG00000002890	Sphenodon_punctatus
MGP_PahariEiJ_P0081952	MGP_PahariEiJ_G0029341	Mus_pahari_strain_PAHARI_EIJ
ENSOANP00000031832	ENSOANG00000028712	Ornithorhynchus_anatinus
ENSCJAP00000066803	ENSCJAG00000008019	Callithrix_jacchus
ENSSBOP00000012860	ENSSBOG00000023221	Saimiri_boliviensis_boliviensis
ENSCCAP00000017986	ENSCCAG00000026815	Cebus_capucinus_imitator
ENSANAP00000034890	ENSANAG00000035020	Aotus_nancymaae
ENSPPAP00000000033	ENSPPAG00000000051	Pan_paniscus
ENSPPAP00000038514	ENSPPAG00000041965	Pan_paniscus
ENSPTRP00000020129	ENSPTRG00000011717	Pan_troglodytes
ENSP00000370214	ENSG00000138092	Homo_sapiens
ENSGGOP00000044707	ENSGGOG00000038847	Gorilla_gorilla
ENSPPYP00000014066	ENSPPYG00000012596	Pongo_abelii
ENSNLEP00000026852	ENSNLEG00000000994	Nomascus_leucogenys
ENSCANP00000034112	ENSCANG00000040721	Colobus_angolensis_palliatus
ENSPTEP00000039922	ENSPTEG00000036850	Piliocolobus_tephrosceles
ENSRROP00000038671	ENSRROG00000042705	Rhinopithecus_roxellana
ENSRBIP00000032834	ENSRBIG00000040211	Rhinopithecus_bieti
