ENSBTAP00000017429	ENSBTAG00000013110	Bos_taurus
ENSSFOP00015029281	ENSSFOG00015018789	Scleropages_formosus
ENSACLP00000038370	ENSACLG00000025906	Astatotilapia_calliptera
ENSSFOP00015023980	ENSSFOG00015015409	Scleropages_formosus
ENSPLAP00000004232	ENSPLAG00000005917	Poecilia_latipinna
ENSCCEP00000022833	ENSCCEG00000020572	Cyanistes_caeruleus
ENSPNYP00000027482	ENSPNYG00000020712	Pundamilia_nyererei
ENSCMIP00000027054	ENSCMIG00000011632	Callorhinchus_milii
ENSMNEP00000011638	ENSMNEG00000030159	Macaca_nemestrina
ENSSPAP00000012206	ENSSPAG00000009235	Stegastes_partitus
ENSLBEP00000036699	ENSLBEG00000027426	Labrus_bergylta
ENSARWP00000011911	ENSARWG00000008223	Apteryx_rowi
ENSEASP00005011796	ENSEASG00005008264	Equus_asinus_asinus
ENSDORP00000023860	ENSDORG00000026265	Dipodomys_ordii
ENSSDAP00000025655	ENSSDAG00000023301	Spermophilus_dauricus
ENSPMAP00000002180	ENSPMAG00000001987	Petromyzon_marinus
ENSSDAP00000025650	ENSSDAG00000023294	Spermophilus_dauricus
ENSTGUP00000006317	ENSTGUG00000006134	Taeniopygia_guttata
ENSCCAP00000015854	ENSCCAG00000025705	Cebus_capucinus_imitator
ENSTSYP00000003316	ENSTSYG00000003599	Carlito_syrichta
ENSSDUP00000030861	ENSSDUG00000022210	Seriola_dumerili
ENSCAPP00000005658	ENSCAPG00000007925	Cavia_aperea
MGP_CAROLIEiJ_P0019240	MGP_CAROLIEiJ_G0014458	Mus_caroli_strain_CAROLI_EIJ
ENSGMOP00000010611	ENSGMOG00000009900	Gadus_morhua
ENSOCUP00000007832	ENSOCUG00000009064	Oryctolagus_cuniculus
ENSHGLP00100024381	ENSHGLG00100017906	Heterocephalus_glaber_HetGla_1.0
ENSFHEP00000006956	ENSFHEG00000008033	Fundulus_heteroclitus
ENSAPOP00000027833	ENSAPOG00000012630	Acanthochromis_polyacanthus
ENSPPAP00000038381	ENSPPAG00000041862	Pan_paniscus
ENSBIXP00005037209	ENSBIXG00005018965	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCLAP00000002972	ENSCLAG00000002135	Chinchilla_lanigera
ENSTRUP00000030404	ENSTRUG00000012014	Takifugu_rubripes
ENSHHUP00000088792	ENSHHUG00000051297	Hucho_hucho
ENSMLEP00000013868	ENSMLEG00000031088	Mandrillus_leucophaeus
ENSSCAP00000010402	ENSSCAG00000007894	Serinus_canaria
ENSPNAP00000022181	ENSPNAG00000029462	Pygocentrus_nattereri
ENSBIXP00000040612	ENSBIXG00000024730	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOANP00000018639	ENSOANG00000011757	Ornithorhynchus_anatinus
ENSFDAP00000005905	ENSFDAG00000006377	Fukomys_damarensis
ENSPSMP00000032376	ENSPSMG00000022399	Prolemur_simus
ENSMSIP00000018393	ENSMSIG00000015660	Mus_spicilegus
ENSTTRP00000014459	ENSTTRG00000015253	Tursiops_truncatus
ENSLOCP00000007666	ENSLOCG00000006339	Lepisosteus_oculatus
ENSBBBP00000028222	ENSBBBG00000024830	Bison_bison_bison
ENSEBUP00000013241	ENSEBUG00000008345	Eptatretus_burgeri
ENSMSIP00000019761	ENSMSIG00000016781	Mus_spicilegus
ENSACAP00000001291	ENSACAG00000001192	Anolis_carolinensis
ENSUAMP00000010283	ENSUAMG00000008202	Ursus_americanus
ENSECAP00000006633	ENSECAG00000008144	Equus_caballus
ENSCATP00000016872	ENSCATG00000032346	Cercocebus_atys
ENSSTOP00000015955	ENSSTOG00000022815	Ictidomys_tridecemlineatus
ENSCGRP00000019947	ENSCGRG00000014523	Cricetulus_griseus_CriGri_1.0
ENSPTIP00000021058	ENSPTIG00000018255	Panthera_tigris_altaica
ENSLSDP00000001159	ENSLSDG00000000921	Lonchura_striata_domestica
ENSCAFP00020032247	ENSCAFG00020025110	Canis_lupus_dingo
ENSAOWP00000018796	ENSAOWG00000012778	Apteryx_owenii
ENSSMAP00000003637	ENSSMAG00000002280	Scophthalmus_maximus
ENSEEEP00000009588	ENSEEEG00000004894	Electrophorus_electricus
ENSGALP00000054775	ENSGALG00000005788	Gallus_gallus
ENSMGAP00000003603	ENSMGAG00000003781	Meleagris_gallopavo
ENSDNOP00000020391	ENSDNOG00000040797	Dasypus_novemcinctus
ENSFCAP00000002575	ENSFCAG00000002801	Felis_catus
ENSHHUP00000025547	ENSHHUG00000016109	Hucho_hucho
ENSNVIP00000023459	ENSNVIG00000018158	Neovison_vison
ENSPMEP00000005120	ENSPMEG00000006523	Poecilia_mexicana
ENSPCAP00000014055	ENSPCAG00000014978	Procavia_capensis
ENSGWIP00000028826	ENSGWIG00000015063	Gouania_willdenowi
