ENSXCOP00000020742	ENSXCOG00000015551	Xiphophorus_couchianus
ENSXMAP00000038191	ENSXMAG00000015161	Xiphophorus_maculatus
ENSGAFP00000013375	ENSGAFG00000009014	Gambusia_affinis
ENSPMEP00000021340	ENSPMEG00000001473	Poecilia_mexicana
ENSPFOP00000017048	ENSPFOG00000016977	Poecilia_formosa
ENSPLAP00000009697	ENSPLAG00000012516	Poecilia_latipinna
ENSFHEP00000021766	ENSFHEG00000001731	Fundulus_heteroclitus
ENSCVAP00000022174	ENSCVAG00000004702	Cyprinodon_variegatus
ENSKMAP00000003016	ENSKMAG00000002303	Kryptolebias_marmoratus
ENSORLP00020002397	ENSORLG00020003151	Oryzias_latipes_ASM223471v1
ENSORLP00015032479	ENSORLG00015017306	Oryzias_latipes_ASM223469v1
ENSORLP00000016399	ENSORLG00000013085	Oryzias_latipes_ASM223467v1
ENSGWIP00000011952	ENSGWIG00000007001	Gouania_willdenowi
ENSCSEP00000028341	ENSCSEG00000018123	Cynoglossus_semilaevis
ENSHCOP00000012320	ENSHCOG00000015310	Hippocampus_comes
ENSHCOP00000012328	ENSHCOG00000015328	Hippocampus_comes
ENSPMGP00000028707	ENSPMGG00000023106	Periophthalmus_magnuspinnatus
ENSLCRP00005011387	ENSLCRG00005005142	Larimichthys_crocea	ENSLCRT00005011692
ENSMAMP00000009486	ENSMAMG00000006400	Mastacembelus_armatus
ENSATEP00000030664	ENSATEG00000021158	Anabas_testudineus
ENSBSLP00000046136	ENSBSLG00000022035	Betta_splendens	ENSBSLT00000050658
ENSPRNP00000003149	ENSPRNG00000001924	Parambassis_ranga
ENSMMOP00000020521	ENSMMOG00000015604	Mola_mola
ENSTRUP00000016113	ENSTRUG00000006563	Takifugu_rubripes
ENSAOCP00000019561	ENSAOCG00000003052	Amphiprion_ocellaris
ENSAPEP00000014970	ENSAPEG00000010679	Amphiprion_percula
ENSAPOP00000032567	ENSAPOG00000020577	Acanthochromis_polyacanthus
ENSSPAP00000015819	ENSSPAG00000011923	Stegastes_partitus
ENSMALP00000000066	ENSMALG00000000068	Monopterus_albus
ENSCGOP00000013888	ENSCGOG00000006787	Cottoperca_gobio
ENSGACP00000015781	ENSGACG00000011927	Gasterosteus_aculeatus
ENSMZEP00005012756	ENSMZEG00005009574	Maylandia_zebra
ENSACLP00000018692	ENSACLG00000012753	Astatotilapia_calliptera
ENSHBUP00000013870	ENSHBUG00000015709	Haplochromis_burtoni
ENSPNYP00000024881	ENSPNYG00000018780	Pundamilia_nyererei
ENSNBRP00000009118	ENSNBRG00000007053	Neolamprologus_brichardi
ENSONIP00000013654	ENSONIG00000010855	Oreochromis_niloticus
ENSACIP00000026755	ENSACIG00000020714	Amphilophus_citrinellus
ENSLBEP00000030546	ENSLBEG00000023071	Labrus_bergylta
ENSSLDP00000016034	ENSSLDG00000012734	Seriola_lalandi_dorsalis
ENSSDUP00000030873	ENSSDUG00000022238	Seriola_dumerili
ENSSMAP00000006879	ENSSMAG00000004239	Scophthalmus_maximus
ENSLCAP00010053072	ENSLCAG00010024678	Lates_calcarifer
ENSTNIP00000007584	ENSTNIG00000004919	Tetraodon_nigroviridis
ENSGMOP00000017224	ENSGMOG00000016070	Gadus_morhua
ENSHHUP00000032376	ENSHHUG00000020534	Hucho_hucho
ENSELUP00000041557	ENSELUG00000022473	Esox_lucius
ENSAMXP00005051216	ENSAMXG00005023159	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000049258	ENSAMXG00000039795	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000022962	ENSPNAG00000000247	Pygocentrus_nattereri
ENSEEEP00000010402	ENSEEEG00000005266	Electrophorus_electricus
ENSIPUP00000029926	ENSIPUG00000020222	Ictalurus_punctatus
ENSDARP00000027942	ENSDARG00000005500	Danio_rerio
ENSDCDP00000011043	ENSDCDG00000005490	Denticeps_clupeoides
ENSCHAP00000003644	ENSCHAG00000002312	Clupea_harengus
ENSPKIP00000006589	ENSPKIG00000022804	Paramormyrops_kingsleyae
ENSSFOP00015006797	ENSSFOG00015004485	Scleropages_formosus
ENSLOCP00000009974	ENSLOCG00000008215	Lepisosteus_oculatus
ENSECRP00000030126	ENSECRG00000020461	Erpetoichthys_calabaricus
ENSLACP00000018522	ENSLACG00000016307	Latimeria_chalumnae
ENSCMIP00000033612	ENSCMIG00000014340	Callorhinchus_milii
ENSXETP00000018519	ENSXETG00000001716	Xenopus_tropicalis
ENSPMAP00000003370	ENSPMAG00000003095	Petromyzon_marinus
ENSEBUP00000016587	ENSEBUG00000010405	Eptatretus_burgeri
ENSCABP00000015700	ENSCABG00000011727	Chelonoidis_abingdonii
ENSGAGP00000032317	ENSGAGG00000023127	Gopherus_agassizii
ENSCPBP00000039337	ENSCPBG00000027099	Chrysemys_picta_bellii
ENSPSIP00000011099	ENSPSIG00000010058	Pelodiscus_sinensis
ENSGALP00000063916	ENSGALG00000027369	Gallus_gallus
ENSCJPP00005017982	ENSCJPG00005014600	Coturnix_japonica
ENSNMEP00000027010	ENSNMEG00000022644	Numida_meleagris
ENSABRP00000003781	ENSABRG00000003549	Anser_brachyrhynchus
ENSJHYP00000024530	ENSJHYG00000018410	Junco_hyemalis
ENSSCAP00000001035	ENSSCAG00000000859	Serinus_canaria
ENSCCEP00000002962	ENSCCEG00000003321	Cyanistes_caeruleus
ENSLSDP00000013327	ENSLSDG00000009684	Lonchura_striata_domestica
ENSTGUP00000010930	ENSTGUG00000010597	Taeniopygia_guttata
ENSFALP00000007164	ENSFALG00000006868	Ficedula_albicollis
ENSPMJP00000026154	ENSPMJG00000019124	Parus_major
ENSCPUP00000005397	ENSCPUG00000003964	Calidris_pugnax
ENSCPGP00000012190	ENSCPGG00000008664	Calidris_pygmaea
ENSMGAP00000009816	ENSMGAG00000009508	Meleagris_gallopavo
ENSZALP00000004662	ENSZALG00000004353	Zonotrichia_albicollis
ENSMUNP00000016179	ENSMUNG00000012451	Melopsittacus_undulatus
ENSDNVP00000000919	ENSDNVG00000000689	Dromaius_novaehollandiae
ENSNPEP00000017862	ENSNPEG00000013296	Nothoprocta_perdicaria
ENSACAP00000010522	ENSACAG00000010700	Anolis_carolinensis
ENSPVIP00000013061	ENSPVIG00000010158	Pogona_vitticeps
ENSNSUP00000026471	ENSNSUG00000019004	Notechis_scutatus
ENSSMRP00000006522	ENSSMRG00000005287	Salvator_merianae
ENSSPUP00000020683	ENSSPUG00000015895	Sphenodon_punctatus
ENSMEUP00000008658	ENSMEUG00000009495	Notamacropus_eugenii
ENSSHAP00000000264	ENSSHAG00000000229	Sarcophilus_harrisii
ENSMODP00000039247	ENSMODG00000014282	Monodelphis_domestica
ENSLAFP00000028450	ENSLAFG00000029801	Loxodonta_africana
ENSLAFP00000027324	ENSLAFG00000030105	Loxodonta_africana
ENSLAFP00000005370	ENSLAFG00000006396	Loxodonta_africana
ENSETEP00000003311	ENSETEG00000004036	Echinops_telfairi
ENSDNOP00000029676	ENSDNOG00000041799	Dasypus_novemcinctus
ENSDNOP00000027776	ENSDNOG00000031673	Dasypus_novemcinctus
ENSMLUP00000013815	ENSMLUG00000015163	Myotis_lucifugus
ENSPVAP00000015889	ENSPVAG00000016845	Pteropus_vampyrus
ENSUAMP00000013407	ENSUAMG00000010782	Ursus_americanus
ENSUMAP00000010225	ENSUMAG00000007694	Ursus_maritimus
ENSAMEP00000012462	ENSAMEG00000011858	Ailuropoda_melanoleuca
ENSNVIP00000029521	ENSNVIG00000022780	Neovison_vison
ENSMPUP00000004246	ENSMPUG00000004280	Mustela_putorius_furo
ENSCAFP00020009424	ENSCAFG00020007629	Canis_lupus_dingo
ENSCAFP00000020852	ENSCAFG00000014151	Canis_lupus_familiaris
ENSVVUP00000035393	ENSVVUG00000025464	Vulpes_vulpes
ENSPPRP00000020274	ENSPPRG00000011401	Panthera_pardus
ENSPTIP00000006952	ENSPTIG00000008722	Panthera_tigris_altaica
ENSEEUP00000008729	ENSEEUG00000009585	Erinaceus_europaeus
ENSEASP00005015133	ENSEASG00005010565	Equus_asinus_asinus
ENSTTRP00000007715	ENSTTRG00000008151	Tursiops_truncatus
ENSSSCP00000048598	ENSSSCG00000032073	Sus_scrofa_strain_reference
ENSBMUP00000005737	ENSBMUG00000004514	Bos_mutus
ENSBBBP00000015715	ENSBBBG00000006130	Bison_bison_bison
ENSBTAP00000055926	ENSBTAG00000047299	Bos_taurus
ENSOARP00000002346	ENSOARG00000002226	Ovis_aries
ENSPTRP00000084365	ENSPTRG00000014080	Pan_troglodytes
ENSPPAP00000001216	ENSPPAG00000005032	Pan_paniscus
ENSP00000248879	ENSG00000128185	Homo_sapiens
ENSGGOP00000005930	ENSGGOG00000006060	Gorilla_gorilla
ENSPTRP00000024197	ENSPTRG00000014049	Pan_troglodytes
ENSPTRP00000071964	ENSPTRG00000043519	Pan_troglodytes
ENSP00000331681	ENSG00000183628	Homo_sapiens
ENSP00000482514	ENSG00000278817	Homo_sapiens
ENSP00000492446	ENSG00000283809	Homo_sapiens
ENSGGOP00000016297	ENSGGOG00000016709	Gorilla_gorilla
ENSPPYP00000013431	ENSPPYG00000012047	Pongo_abelii
ENSPPYP00000023574	ENSPPYG00000025952	Pongo_abelii
ENSNLEP00000026030	ENSNLEG00000027550	Nomascus_leucogenys
ENSMMUP00000000753	ENSMMUG00000000560	Macaca_mulatta
ENSMNEP00000032461	ENSMNEG00000039558	Macaca_nemestrina
ENSMFAP00000030703	ENSMFAG00000042526	Macaca_fascicularis
ENSPANP00000004368	ENSPANG00000010338	Papio_anubis
ENSMLEP00000011903	ENSMLEG00000030131	Mandrillus_leucophaeus
ENSCSAP00000008376	ENSCSAG00000012202	Chlorocebus_sabaeus
ENSMNEP00000036811	ENSMNEG00000041488	Macaca_nemestrina
ENSMMUP00000074661	ENSMMUG00000060325	Macaca_mulatta
ENSPANP00000008220	ENSPANG00000026173	Papio_anubis
ENSTGEP00000003312	ENSTGEG00000002817	Theropithecus_gelada
ENSCSAP00000010279	ENSCSAG00000014140	Chlorocebus_sabaeus
ENSRBIP00000032354	ENSRBIG00000039985	Rhinopithecus_bieti
ENSRROP00000038221	ENSRROG00000042499	Rhinopithecus_roxellana
ENSPTEP00000025764	ENSPTEG00000025995	Piliocolobus_tephrosceles
ENSCANP00000017590	ENSCANG00000032238	Colobus_angolensis_palliatus
ENSCJAP00000019715	ENSCJAG00000043719	Callithrix_jacchus
ENSCJAP00000008914	ENSCJAG00000039204	Callithrix_jacchus
ENSCCAP00000015687	ENSCCAG00000025633	Cebus_capucinus_imitator
ENSANAP00000015704	ENSANAG00000025732	Aotus_nancymaae
ENSCJAP00000074779	ENSCJAG00000067724	Callithrix_jacchus
ENSCJAP00000078123	ENSCJAG00000055379	Callithrix_jacchus
ENSSBOP00000037223	ENSSBOG00000034711	Saimiri_boliviensis_boliviensis
ENSPPAP00000020904	ENSPPAG00000033690	Pan_paniscus
ENSMLEP00000011445	ENSMLEG00000029907	Mandrillus_leucophaeus
ENSMUGP00000022458	ENSMUGG00000018809	Meriones_unguiculatus
ENSCGRP00000006755	ENSCGRG00000004936	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000022101	ENSOCUG00000004372	Oryctolagus_cuniculus
ENSCGRP00001003793	ENSCGRG00001004677	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009162	ENSCGRG00015006964	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019060	ENSMAUG00000017452	Mesocricetus_auratus
ENSPEMP00000012044	ENSPEMG00000012492	Peromyscus_maniculatus_bairdii
ENSMOCP00000023435	ENSMOCG00000020153	Microtus_ochrogaster
ENSMUSP00000067682	ENSMUSG00000003531	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040750	MGP_CAROLIEiJ_G0020535	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000023784	ENSMSIG00000020095	Mus_spicilegus
MGP_SPRETEiJ_P0042601	MGP_SPRETEiJ_G0021430	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0028136	MGP_PahariEiJ_G0016240	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002574	ENSRNOG00000001880	Rattus_norvegicus
ENSNGAP00000006635	ENSNGAG00000009889	Nannospalax_galili
ENSJJAP00000010762	ENSJJAG00000014265	Jaculus_jaculus
ENSHGLP00100018981	ENSHGLG00100014008	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013989	ENSHGLG00000009988	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013605	ENSFDAG00000000338	Fukomys_damarensis
ENSCLAP00000022299	ENSCLAG00000015292	Chinchilla_lanigera
ENSODEP00000021479	ENSODEG00000015809	Octodon_degus
ENSCPOP00000001719	ENSCPOG00000001902	Cavia_porcellus
ENSUPAP00010013737	ENSUPAG00010011090	Urocitellus_parryii
ENSMMMP00000005096	ENSMMMG00000004638	Marmota_marmota_marmota
ENSSTOP00000005690	ENSSTOG00000006363	Ictidomys_tridecemlineatus
ENSSDAP00000013396	ENSSDAG00000012082	Spermophilus_dauricus
ENSDORP00000005366	ENSDORG00000005738	Dipodomys_ordii
ENSMICP00000026851	ENSMICG00000035160	Microcebus_murinus
ENSPSMP00000003753	ENSPSMG00000003012	Prolemur_simus
ENSOGAP00000013270	ENSOGAG00000014817	Otolemur_garnettii
ENSTBEP00000013325	ENSTBEG00000015353	Tupaia_belangeri
ENSOPRP00000009400	ENSOPRG00000010295	Ochotona_princeps
ENSTSYP00000022013	ENSTSYG00000031265	Carlito_syrichta
ENSECAP00000032739	ENSECAG00000038666	Equus_caballus
ENSFCAP00000018339	ENSFCAG00000023783	Felis_catus
ENSBIXP00000014307	ENSBIXG00000019030	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014380	ENSBIXG00005018370	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCNP00000031330	ENSCCNG00000029844	Castor_canadensis
ENSVURP00010028643	ENSVURG00010021926	Vombatus_ursinus
ENSBMUP00000015801	ENSBMUG00000012022	Bos_mutus
ENSBBBP00000008675	ENSBBBG00000004130	Bison_bison_bison
ENSCHIP00000000217	ENSCHIG00000000160	Capra_hircus
ENSMFAP00000045136	ENSMFAG00000000303	Macaca_fascicularis
ENSCATP00000023365	ENSCATG00000035246	Cercocebus_atys
ENSCATP00000023132	ENSCATG00000035138	Cercocebus_atys
ENSRBIP00000033852	ENSRBIG00000040663	Rhinopithecus_bieti
ENSCJAP00000073149	ENSCJAG00000068435	Callithrix_jacchus
ENSCJAP00000065842	ENSCJAG00000038925	Callithrix_jacchus
ENSANAP00000017087	ENSANAG00000026409	Aotus_nancymaae
ENSRROP00000030173	ENSRROG00000038843	Rhinopithecus_roxellana
ENSRROP00000009940	ENSRROG00000029390	Rhinopithecus_roxellana
ENSPCOP00000010096	ENSPCOG00000016489	Propithecus_coquereli
ENSPPAP00000000346	ENSPPAG00000001101	Pan_paniscus
ENSCABP00000007042	ENSCABG00000005353	Chelonoidis_abingdonii
ENSCABP00000015701	ENSCABG00000011729	Chelonoidis_abingdonii
ENSLCOP00000004338	ENSLCOG00000003321	Lepidothrix_coronata
ENSOCUP00000040310	ENSOCUG00000024558	Oryctolagus_cuniculus
ENSCINP00000033595	ENSCING00000020260	Ciona_intestinalis
ENSCINP00000036283	ENSCING00000022529	Ciona_intestinalis
FBpp0306207	FBgn0001099	Drosophila_melanogaster
