ENSCAFP00000029074	ENSCAFG00000019653	Canis_lupus_familiaris
ENSECAP00000045551	ENSECAG00000031157	Equus_caballus
ENSCCAP00000011725	ENSCCAG00000023621	Cebus_capucinus_imitator
ENSEBUP00000000338	ENSEBUG00000000525	Eptatretus_burgeri
ENSVURP00010018011	ENSVURG00010013768	Vombatus_ursinus
ENSPCIP00000023614	ENSPCIG00000017900	Phascolarctos_cinereus
ENSSHAP00000019117	ENSSHAG00000016229	Sarcophilus_harrisii
ENSMODP00000021296	ENSMODG00000017070	Monodelphis_domestica
ENSPPAP00000018935	ENSPPAG00000032633	Pan_paniscus
ENSPTRP00000065281	ENSPTRG00000023901	Pan_troglodytes
ENSP00000358783	ENSG00000125522	Homo_sapiens
ENSGGOP00000001825	ENSGGOG00000001853	Gorilla_gorilla
ENSPPYP00000012581	ENSPPYG00000011262	Pongo_abelii
ENSNLEP00000023015	ENSNLEG00000019169	Nomascus_leucogenys
ENSRBIP00000013651	ENSRBIG00000030888	Rhinopithecus_bieti
ENSRROP00000000962	ENSRROG00000003591	Rhinopithecus_roxellana
ENSPTEP00000007283	ENSPTEG00000008295	Piliocolobus_tephrosceles
ENSTGEP00000009660	ENSTGEG00000007953	Theropithecus_gelada
ENSMMUP00000077138	ENSMMUG00000055922	Macaca_mulatta
ENSCSAP00000018254	ENSCSAG00000018732	Chlorocebus_sabaeus
ENSCJAP00000041009	ENSCJAG00000022380	Callithrix_jacchus
ENSPCOP00000025894	ENSPCOG00000025229	Propithecus_coquereli
ENSPSMP00000000373	ENSPSMG00000000319	Prolemur_simus
ENSHGLP00000028845	ENSHGLG00000021250	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027299	ENSHGLG00100020357	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018707	ENSFDAG00000009633	Fukomys_damarensis
ENSCAPP00000002350	ENSCAPG00000005291	Cavia_aperea
ENSCPOP00000013526	ENSCPOG00000015008	Cavia_porcellus
ENSCCNP00000032218	ENSCCNG00000030589	Castor_canadensis
ENSUPAP00010004153	ENSUPAG00010003392	Urocitellus_parryii
ENSSDAP00000008897	ENSSDAG00000008105	Spermophilus_dauricus
ENSSTOP00000021727	ENSSTOG00000021335	Ictidomys_tridecemlineatus
ENSMMMP00000000148	ENSMMMG00000000152	Marmota_marmota_marmota
ENSUMAP00000029741	ENSUMAG00000021536	Ursus_maritimus
ENSUAMP00000002340	ENSUAMG00000002166	Ursus_americanus
ENSAMEP00000002145	ENSAMEG00000002036	Ailuropoda_melanoleuca
ENSFCAP00000047681	ENSFCAG00000042501	Felis_catus
ENSECAP00000003341	ENSECAG00000004916	Equus_caballus
ENSEASP00005033724	ENSEASG00005023084	Equus_asinus_asinus
ENSBIXP00000015638	ENSBIXG00000020068	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005036719	ENSBIXG00005018051	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054391	ENSBTAG00000047704	Bos_taurus
ENSBMUP00000033055	ENSBMUG00000024696	Bos_mutus
ENSBBBP00000010530	ENSBBBG00000018631	Bison_bison_bison
ENSOARP00000005090	ENSOARG00000004757	Ovis_aries
ENSCHIP00000001835	ENSCHIG00000003852	Capra_hircus
ENSSSCP00000039175	ENSSSCG00000037868	Sus_scrofa_strain_reference
ENSPVIP00000020817	ENSPVIG00000015860	Pogona_vitticeps
ENSACAP00000006149	ENSACAG00000006302	Anolis_carolinensis
ENSNSUP00000005499	ENSNSUG00000004419	Notechis_scutatus
ENSSMRP00000024689	ENSSMRG00000019092	Salvator_merianae
ENSSPUP00000000792	ENSSPUG00000000644	Sphenodon_punctatus
ENSGALP00000069932	ENSGALG00000029170	Gallus_gallus
ENSCJPP00005003535	ENSCJPG00005003691	Coturnix_japonica
ENSMGAP00000016481	ENSMGAG00000015542	Meleagris_gallopavo
ENSNMEP00000018450	ENSNMEG00000016050	Numida_meleagris
ENSABRP00000007122	ENSABRG00000006540	Anser_brachyrhynchus
ENSAPLP00000011410	ENSAPLG00000011667	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000000201	ENSCPGG00000000156	Calidris_pygmaea
ENSCPUP00000009485	ENSCPUG00000006748	Calidris_pugnax
ENSMVIP00005006386	ENSMVIG00005004863	Manacus_vitellinus
ENSLCOP00000019410	ENSLCOG00000013740	Lepidothrix_coronata
ENSLSDP00000008498	ENSLSDG00000006350	Lonchura_striata_domestica
ENSTGUP00000007527	ENSTGUG00000007312	Taeniopygia_guttata
ENSSCAP00000020202	ENSSCAG00000014560	Serinus_canaria
ENSCCEP00000024233	ENSCCEG00000021580	Cyanistes_caeruleus
ENSPMJP00000008940	ENSPMJG00000007212	Parus_major
ENSFALP00000015571	ENSFALG00000014956	Ficedula_albicollis
ENSJHYP00000016518	ENSJHYG00000012629	Junco_hyemalis
ENSMUNP00000009573	ENSMUNG00000007561	Melopsittacus_undulatus
ENSAHAP00000003561	ENSAHAG00000002794	Apteryx_haastii
ENSAOWP00000001532	ENSAOWG00000001099	Apteryx_owenii
ENSARWP00000014043	ENSARWG00000009722	Apteryx_rowi
ENSDNVP00000000068	ENSDNVG00000000037	Dromaius_novaehollandiae
ENSNPEP00000012654	ENSNPEG00000009458	Nothoprocta_perdicaria
ENSCPRP00005008420	ENSCPRG00005006011	Crocodylus_porosus
ENSCABP00000001017	ENSCABG00000000861	Chelonoidis_abingdonii
ENSGAGP00000033925	ENSGAGG00000024124	Gopherus_agassizii
ENSCPBP00000019321	ENSCPBG00000013971	Chrysemys_picta_bellii
ENSPSIP00000000787	ENSPSIG00000000787	Pelodiscus_sinensis
ENSOANP00000007789	ENSOANG00000004915	Ornithorhynchus_anatinus
ENSXETP00000032959	ENSXETG00000016658	Xenopus_tropicalis
ENSLACP00000011207	ENSLACG00000009860	Latimeria_chalumnae
ENSMZEP00005035896	ENSMZEG00005026801	Maylandia_zebra
ENSACLP00000011841	ENSACLG00000008104	Astatotilapia_calliptera
ENSPNYP00000020236	ENSPNYG00000015318	Pundamilia_nyererei
ENSHBUP00000005813	ENSHBUG00000007198	Haplochromis_burtoni
ENSNBRP00000011133	ENSNBRG00000008675	Neolamprologus_brichardi
ENSONIP00000026275	ENSONIG00000020972	Oreochromis_niloticus
ENSACIP00000014814	ENSACIG00000011504	Amphilophus_citrinellus
ENSBSLP00000052844	ENSBSLG00000024950	Betta_splendens
ENSLBEP00000008044	ENSLBEG00000006225	Labrus_bergylta
ENSSLDP00000002517	ENSSLDG00000002035	Seriola_lalandi_dorsalis
ENSSDUP00000008841	ENSSDUG00000006505	Seriola_dumerili
ENSSMAP00000029184	ENSSMAG00000017878	Scophthalmus_maximus
ENSLCRP00005027131	ENSLCRG00005010815	Larimichthys_crocea
ENSAPEP00000006247	ENSAPEG00000004517	Amphiprion_percula
ENSAOCP00000020786	ENSAOCG00000005124	Amphiprion_ocellaris
ENSAPOP00000021510	ENSAPOG00000001107	Acanthochromis_polyacanthus
ENSSPAP00000002606	ENSSPAG00000002004	Stegastes_partitus
ENSPRNP00000050170	ENSPRNG00000023889	Parambassis_ranga
ENSORLP00020024125	ENSORLG00020005352	Oryzias_latipes_ASM223471v1
ENSORLP00015019394	ENSORLG00015020493	Oryzias_latipes_ASM223469v1
ENSORLP00000021038	ENSORLG00000016815	Oryzias_latipes_ASM223467v1
ENSOMEP00000029656	ENSOMEG00000013434	Oryzias_melastigma
ENSKMAP00000020555	ENSKMAG00000015279	Kryptolebias_marmoratus
ENSMALP00000026681	ENSMALG00000018524	Monopterus_albus
ENSMAMP00000010288	ENSMAMG00000006936	Mastacembelus_armatus
ENSATEP00000035986	ENSATEG00000024733	Anabas_testudineus
ENSCGOP00000031139	ENSCGOG00000014564	Cottoperca_gobio
ENSLCAP00010056835	ENSLCAG00010026528	Lates_calcarifer
ENSTRUP00000004212	ENSTRUG00000001827	Takifugu_rubripes
ENSTNIP00000003571	ENSTNIG00000000852	Tetraodon_nigroviridis
ENSMMOP00000013930	ENSMMOG00000010672	Mola_mola
ENSHCOP00000008372	ENSHCOG00000010613	Hippocampus_comes
ENSPMGP00000024083	ENSPMGG00000019477	Periophthalmus_magnuspinnatus
ENSHHUP00000056439	ENSHHUG00000033695	Hucho_hucho
ENSHHUP00000011996	ENSHHUG00000007325	Hucho_hucho
ENSELUP00000018877	ENSELUG00000018281	Esox_lucius
ENSDCDP00000043170	ENSDCDG00000027639	Denticeps_clupeoides
ENSCHAP00000061670	ENSCHAG00000027501	Clupea_harengus
ENSAMXP00000026798	ENSAMXG00000026093	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005023019	ENSAMXG00005011858	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014516	ENSPNAG00000020445	Pygocentrus_nattereri
ENSEEEP00000029276	ENSEEEG00000014030	Electrophorus_electricus
ENSIPUP00000014991	ENSIPUG00000010220	Ictalurus_punctatus
ENSPKIP00000001561	ENSPKIG00000019808	Paramormyrops_kingsleyae
ENSPKIP00000011583	ENSPKIG00000018614	Paramormyrops_kingsleyae
ENSLOCP00000006347	ENSLOCG00000005269	Lepisosteus_oculatus
ENSDARP00000034893	ENSDARG00000079423	Danio_rerio
ENSEEEP00000048329	ENSEEEG00000022761	Electrophorus_electricus
ENSAMXP00000045890	ENSAMXG00000041227	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005035398	ENSAMXG00005016991	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSFOP00015031889	ENSSFOG00015020424	Scleropages_formosus
ENSEBUP00000007781	ENSEBUG00000005071	Eptatretus_burgeri
ENSPREP00000001391	ENSPREG00000001036	Poecilia_reticulata
