ENSPPYP00000016992	ENSPPYG00000015211	Pongo_abelii
ENSHCOP00000017739	ENSHCOG00000001738	Hippocampus_comes
ENSLAFP00000025655	ENSLAFG00000016042	Loxodonta_africana
ENSPEMP00000002578	ENSPEMG00000002959	Peromyscus_maniculatus_bairdii
ENSFCAP00000058118	ENSFCAG00000023953	Felis_catus
ENSHGLP00000009760	ENSHGLG00000007002	Heterocephalus_glaber_HetGla_female_1.0
ENSMGAP00000006974	ENSMGAG00000006895	Meleagris_gallopavo	ENSMGAT00000007739
ENSSMAP00000021868	ENSSMAG00000013386	Scophthalmus_maximus
ENSPCOP00000006990	ENSPCOG00000014703	Propithecus_coquereli
ENSPFOP00000029927	ENSPFOG00000021807	Poecilia_formosa
ENSCSAP00000014946	ENSCSAG00000003091	Chlorocebus_sabaeus
ENSANAP00000024079	ENSANAG00000029783	Aotus_nancymaae
ENSCABP00000002899	ENSCABG00000002231	Chelonoidis_abingdonii
ENSEASP00005030744	ENSEASG00005020934	Equus_asinus_asinus
ENSLACP00000014970	ENSLACG00000013177	Latimeria_chalumnae
ENSMAMP00000005205	ENSMAMG00000003510	Mastacembelus_armatus
ENSPPAP00000016718	ENSPPAG00000031462	Pan_paniscus
ENSTTRP00000012506	ENSTTRG00000013178	Tursiops_truncatus
ENSDORP00000026515	ENSDORG00000025276	Dipodomys_ordii
ENSMLEP00000015364	ENSMLEG00000031852	Mandrillus_leucophaeus
ENSBIXP00005045683	ENSBIXG00005005262	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSBOP00000020660	ENSSBOG00000026905	Saimiri_boliviensis_boliviensis
ENSCAFP00020014568	ENSCAFG00020011776	Canis_lupus_dingo
ENSCCAP00000015731	ENSCCAG00000025645	Cebus_capucinus_imitator
ENSCPBP00000034845	ENSCPBG00000024307	Chrysemys_picta_bellii
ENSMFAP00000033920	ENSMFAG00000003438	Macaca_fascicularis
ENSCAPP00000008888	ENSCAPG00000010487	Cavia_aperea
ENSKMAP00000015344	ENSKMAG00000011483	Kryptolebias_marmoratus
ENSPMEP00000004001	ENSPMEG00000005200	Poecilia_mexicana
ENSSLDP00000025230	ENSSLDG00000019636	Seriola_lalandi_dorsalis
MGP_PahariEiJ_P0047355	MGP_PahariEiJ_G0021528	Mus_pahari_strain_PAHARI_EIJ
ENSEEUP00000013381	ENSEEUG00000014671	Erinaceus_europaeus
ENSOPRP00000006976	ENSOPRG00000007618	Ochotona_princeps
ENSLOCP00000016759	ENSLOCG00000013590	Lepisosteus_oculatus
ENSAPEP00000006739	ENSAPEG00000004816	Amphiprion_percula
ENSCANP00000027061	ENSCANG00000036948	Colobus_angolensis_palliatus
ENSHHUP00000085687	ENSHHUG00000049616	Hucho_hucho
ENSCAFP00000065714	ENSCAFG00000007889	Canis_lupus_familiaris
ENSOMEP00000030745	ENSOMEG00000015176	Oryzias_melastigma
ENSOCUP00000044871	ENSOCUG00000013963	Oryctolagus_cuniculus
ENSLCRP00005046043	ENSLCRG00005017541	Larimichthys_crocea
ENSAMXP00000036107	ENSAMXG00000044081	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSVPAP00000008944	ENSVPAG00000009612	Vicugna_pacos
ENSARWP00000027770	ENSARWG00000018758	Apteryx_rowi
ENSJJAP00000024290	ENSJJAG00000023804	Jaculus_jaculus
ENSGMOP00000002039	ENSGMOG00000001932	Gadus_morhua
ENSPCAP00000015196	ENSPCAG00000016235	Procavia_capensis
ENSPMGP00000013493	ENSPMGG00000011093	Periophthalmus_magnuspinnatus
ENSBTAP00000057268	ENSBTAG00000020055	Bos_taurus
ENSORLP00000013729	ENSORLG00000010947	Oryzias_latipes_ASM223467v1
ENSDNVP00000000696	ENSDNVG00000000528	Dromaius_novaehollandiae
ENSFDAP00000002294	ENSFDAG00000012043	Fukomys_damarensis
ENSMICP00000022803	ENSMICG00000009966	Microcebus_murinus
ENSZALP00000013363	ENSZALG00000011127	Zonotrichia_albicollis
ENSMUSP00000042586	ENSMUSG00000038215	Mus_musculus_strain_reference_(CL57BL6)
ENSMNEP00000002651	ENSMNEG00000012365	Macaca_nemestrina
ENSLCAP00010046905	ENSLCAG00010021739	Lates_calcarifer
ENSTGUP00000006472	ENSTGUG00000006297	Taeniopygia_guttata
ENSHHUP00000081054	ENSHHUG00000047168	Hucho_hucho
ENSCPOP00000011925	ENSCPOG00000013247	Cavia_porcellus
ENSABRP00000009336	ENSABRG00000008374	Anser_brachyrhynchus	ENSABRT00000013337
ENSDARP00000069571	ENSDARG00000053106	Danio_rerio
ENSMVIP00005018572	ENSMVIG00005013191	Manacus_vitellinus
ENSCGRP00000002376	ENSCGRG00000001744	Cricetulus_griseus_CriGri_1.0
ENSHGLP00000000248	ENSHGLG00000000254	Heterocephalus_glaber_HetGla_female_1.0
ENSCSEP00000016864	ENSCSEG00000010831	Cynoglossus_semilaevis
MGP_SPRETEiJ_P0087953	MGP_SPRETEiJ_G0032177	Mus_spretus_strain_SPRET/EiJ
ENSTRUP00000056758	ENSTRUG00000022130	Takifugu_rubripes
ENSCCEP00000014015	ENSCCEG00000013405	Cyanistes_caeruleus
ENSGAFP00000026564	ENSGAFG00000017932	Gambusia_affinis
ENSOARP00000016443	ENSOARG00000015325	Ovis_aries
ENSSARP00000008412	ENSSARG00000009269	Sorex_araneus
ENSORLP00020005978	ENSORLG00020006801	Oryzias_latipes_ASM223471v1
ENSAOWP00000010924	ENSAOWG00000007524	Apteryx_owenii
ENSEEEP00000036667	ENSEEEG00000017409	Electrophorus_electricus
ENSCPUP00000012588	ENSCPUG00000008940	Calidris_pugnax
ENSBBBP00000028607	ENSBBBG00000025437	Bison_bison_bison
ENSSTOP00000030914	ENSSTOG00000012395	Ictidomys_tridecemlineatus
ENSATEP00000004604	ENSATEG00000003246	Anabas_testudineus
ENSPFOP00000009572	ENSPFOG00000009625	Poecilia_formosa
ENSMMUP00000047941	ENSMMUG00000001743	Macaca_mulatta
ENSCCNP00000000869	ENSCCNG00000000934	Castor_canadensis
ENSMOCP00000009714	ENSMOCG00000009906	Microtus_ochrogaster
ENSAPEP00000006891	ENSAPEG00000004928	Amphiprion_percula
ENSSPUP00000016750	ENSSPUG00000012941	Sphenodon_punctatus
ENSDNOP00000004966	ENSDNOG00000006415	Dasypus_novemcinctus
ENSSDUP00000007494	ENSSDUG00000005496	Seriola_dumerili
