MGP_CAROLIEiJ_P0044429	MGP_CAROLIEiJ_G0021502	Mus_caroli_strain_CAROLI_EIJ
ENSFHEP00000009150	ENSFHEG00000010472	Fundulus_heteroclitus
ENSCHOP00000002674	ENSCHOG00000003011	Choloepus_hoffmanni
ENSACAP00000017146	ENSACAG00000017349	Anolis_carolinensis
ENSPMGP00000029705	ENSPMGG00000023910	Periophthalmus_magnuspinnatus
ENSKMAP00000012796	ENSKMAG00000009561	Kryptolebias_marmoratus
ENSLBEP00000013341	ENSLBEG00000010230	Labrus_bergylta
ENSBTAP00000062171	ENSBTAG00000000578	Bos_taurus
ENSBIXP00005036177	ENSBIXG00005017656	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHBUP00000031466	ENSHBUG00000017246	Haplochromis_burtoni
ENSPTIP00000014305	ENSPTIG00000013746	Panthera_tigris_altaica
ENSMEUP00000012891	ENSMEUG00000014107	Notamacropus_eugenii
ENSUPAP00010025801	ENSUPAG00010020393	Urocitellus_parryii
ENSBBBP00000009772	ENSBBBG00000017936	Bison_bison_bison
ENSMZEP00005024564	ENSMZEG00005018365	Maylandia_zebra
ENSCAFP00000044513	ENSCAFG00000000607	Canis_lupus_familiaris
ENSCCNP00000010817	ENSCCNG00000011214	Castor_canadensis
ENSBMUP00000018803	ENSBMUG00000014247	Bos_mutus
ENSMPUP00000011026	ENSMPUG00000011116	Mustela_putorius_furo
ENSDCDP00000015753	ENSDCDG00000012387	Denticeps_clupeoides
ENSRROP00000037000	ENSRROG00000041951	Rhinopithecus_roxellana
ENSPCOP00000026535	ENSPCOG00000025650	Propithecus_coquereli
ENSDORP00000013335	ENSDORG00000014180	Dipodomys_ordii
ENSNVIP00000020129	ENSNVIG00000015779	Neovison_vison
ENSMUGP00000004087	ENSMUGG00000002746	Meriones_unguiculatus
ENSACIP00000017810	ENSACIG00000013811	Amphilophus_citrinellus
ENSPNAP00000014843	ENSPNAG00000020811	Pygocentrus_nattereri
ENSSTOP00000011678	ENSSTOG00000013021	Ictidomys_tridecemlineatus
ENSBIXP00000006531	ENSBIXG00000006568	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNGAP00000015224	ENSNGAG00000016298	Nannospalax_galili
ENSOPRP00000003100	ENSOPRG00000003368	Ochotona_princeps
ENSPSMP00000025700	ENSPSMG00000018026	Prolemur_simus
ENSCSEP00000030672	ENSCSEG00000019629	Cynoglossus_semilaevis
ENSPCAP00000012138	ENSPCAG00000012939	Procavia_capensis
ENSCGRP00000019940	ENSCGRG00000014519	Cricetulus_griseus_CriGri_1.0
ENSAPEP00000014884	ENSAPEG00000010611	Amphiprion_percula
ENSNSUP00000024033	ENSNSUG00000016904	Notechis_scutatus
ENSAOCP00000022436	ENSAOCG00000007875	Amphiprion_ocellaris
ENSSDUP00000019589	ENSSDUG00000014250	Seriola_dumerili
ENSANAP00000012442	ENSANAG00000024153	Aotus_nancymaae
ENSORLP00020002649	ENSORLG00020003433	Oryzias_latipes_ASM223471v1
ENSPTEP00000039789	ENSPTEG00000036767	Piliocolobus_tephrosceles
ENSTGEP00000036901	ENSTGEG00000029388	Theropithecus_gelada
ENSPPRP00000012794	ENSPPRG00000006264	Panthera_pardus
ENSPPAP00000034426	ENSPPAG00000040009	Pan_paniscus
MGP_SPRETEiJ_P0046327	MGP_SPRETEiJ_G0022407	Mus_spretus_strain_SPRET/EiJ
ENSOARP00000006626	ENSOARG00000006185	Ovis_aries
ENSUAMP00000015231	ENSUAMG00000012223	Ursus_americanus
ENSMMMP00000011244	ENSMMMG00000010000	Marmota_marmota_marmota
ENSGAFP00000032132	ENSGAFG00000021629	Gambusia_affinis
ENSPMEP00000003545	ENSPMEG00000004694	Poecilia_mexicana
ENSPCIP00000024557	ENSPCIG00000018508	Phascolarctos_cinereus
ENSCLAP00000016880	ENSCLAG00000011581	Chinchilla_lanigera
ENSMLEP00000016382	ENSMLEG00000032365	Mandrillus_leucophaeus
ENSPVIP00000019115	ENSPVIG00000014037	Pogona_vitticeps
ENSPPYP00000018394	ENSPPYG00000016450	Pongo_abelii
ENSPLAP00000023816	ENSPLAG00000009463	Poecilia_latipinna
ENSHGLP00000015518	ENSHGLG00000011099	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00015038058	ENSCGRG00015028458	Cricetulus_griseus_CriGri-PICR
ENSLCRP00005045433	ENSLCRG00005017356	Larimichthys_crocea
ENSGWIP00000043680	ENSGWIG00000021808	Gouania_willdenowi
ENSMODP00000019085	ENSMODG00000015277	Monodelphis_domestica
ENSMAMP00000006148	ENSMAMG00000004141	Mastacembelus_armatus
ENSPANP00000028779	ENSPANG00000021757	Papio_anubis
ENSCGRP00001011176	ENSCGRG00001012878	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000006162	ENSDCDG00000002864	Denticeps_clupeoides
ENSCHIP00000013129	ENSCHIG00000014665	Capra_hircus
ENSOGAP00000009198	ENSOGAG00000010282	Otolemur_garnettii
ENSORLP00015008137	ENSORLG00015000265	Oryzias_latipes_ASM223469v1
ENSSPAP00000022544	ENSSPAG00000017030	Stegastes_partitus
ENSHHUP00000033590	ENSHHUG00000021107	Hucho_hucho
ENSCGOP00000014097	ENSCGOG00000006827	Cottoperca_gobio
ENSECAP00000011732	ENSECAG00000013375	Equus_caballus
