ENSHGLP00100005629	ENSHGLG00100004267	Heterocephalus_glaber_HetGla_1.0
ENSPVIP00000017133	ENSPVIG00000013213	Pogona_vitticeps
ENSFCAP00000052213	ENSFCAG00000052810	Felis_catus
ENSCCAP00000034097	ENSCCAG00000035023	Cebus_capucinus_imitator
ENSVVUP00000020398	ENSVVUG00000015008	Vulpes_vulpes
ENSPPYP00000001853	ENSPPYG00000001608	Pongo_abelii
ENSPVAP00000012532	ENSPVAG00000013287	Pteropus_vampyrus	ENSPVAT00000013287
ENSAMEP00000018805	ENSAMEG00000017802	Ailuropoda_melanoleuca
ENSPCOP00000022965	ENSPCOG00000023602	Propithecus_coquereli
ENSTTRP00000012633	ENSTTRG00000013314	Tursiops_truncatus
ENSCANP00000020618	ENSCANG00000033747	Colobus_angolensis_palliatus
ENSRROP00000042114	ENSRROG00000044215	Rhinopithecus_roxellana
MGP_CAROLIEiJ_P0064688	MGP_CAROLIEiJ_G0026536	Mus_caroli_strain_CAROLI_EIJ
ENSOPRP00000012337	ENSOPRG00000013500	Ochotona_princeps
ENSBBBP00000003671	ENSBBBG00000002452	Bison_bison_bison
ENSMMMP00000010398	ENSMMMG00000009241	Marmota_marmota_marmota
ENSPTRP00000042101	ENSPTRG00000000466	Pan_troglodytes
MGP_PahariEiJ_P0079774	MGP_PahariEiJ_G0028868	Mus_pahari_strain_PAHARI_EIJ
ENSACAP00000020749	ENSACAG00000011847	Anolis_carolinensis
ENSMLUP00000008588	ENSMLUG00000009399	Myotis_lucifugus
ENSLAFP00000002791	ENSLAFG00000003350	Loxodonta_africana
ENSOGAP00000014954	ENSOGAG00000016702	Otolemur_garnettii
ENSCGRP00001015083	ENSCGRG00001015782	Cricetulus_griseus_CHOK1GS_HDv1
ENSETEP00000000790	ENSETEG00000000971	Echinops_telfairi	ENSETET00000000977
ENSCPBP00000027317	ENSCPBG00000019343	Chrysemys_picta_bellii
ENSCHOP00000009738	ENSCHOG00000010981	Choloepus_hoffmanni
ENSMNEP00000007805	ENSMNEG00000028459	Macaca_nemestrina
ENSMFAP00000015274	ENSMFAG00000030849	Macaca_fascicularis
ENSMOCP00000013904	ENSMOCG00000013559	Microtus_ochrogaster
ENSCATP00000043378	ENSCATG00000044230	Cercocebus_atys
ENSBTAP00000048331	ENSBTAG00000015715	Bos_taurus
ENSGGOP00000016345	ENSGGOG00000016748	Gorilla_gorilla
ENSMPUP00000015249	ENSMPUG00000015359	Mustela_putorius_furo
ENSNVIP00000031538	ENSNVIG00000024238	Neovison_vison
MGP_SPRETEiJ_P0067206	MGP_SPRETEiJ_G0027516	Mus_spretus_strain_SPRET/EiJ
ENSSTOP00000001761	ENSSTOG00000001962	Ictidomys_tridecemlineatus
ENSCHIP00000025509	ENSCHIG00000022249	Capra_hircus
ENSTBEP00000003197	ENSTBEG00000003644	Tupaia_belangeri
