ENSPMAP00000009777	ENSPMAG00000008877	Petromyzon_marinus	ENSPMAT00000009818
ENSEBUP00000011908	ENSEBUG00000007618	Eptatretus_burgeri	ENSEBUT00000012485
ENSAOWP00000001325	ENSAOWG00000000969	Apteryx_owenii
ENSARWP00000004855	ENSARWG00000003512	Apteryx_rowi
ENSNPEP00000005149	ENSNPEG00000003906	Nothoprocta_perdicaria
ENSGALP00000012780	ENSGALG00000007878	Gallus_gallus
ENSCJPP00005016972	ENSCJPG00005013903	Coturnix_japonica
ENSNMEP00000002943	ENSNMEG00000003529	Numida_meleagris
ENSCPGP00000028269	ENSCPGG00000019445	Calidris_pygmaea
ENSLCOP00000005628	ENSLCOG00000004168	Lepidothrix_coronata
ENSMVIP00005024588	ENSMVIG00005017246	Manacus_vitellinus
ENSLSDP00000008642	ENSLSDG00000006448	Lonchura_striata_domestica
ENSTGUP00000000305	ENSTGUG00000000301	Taeniopygia_guttata
ENSJHYP00000007422	ENSJHYG00000005929	Junco_hyemalis
ENSPMJP00000010950	ENSPMJG00000008559	Parus_major
ENSSCAP00000010150	ENSSCAG00000007707	Serinus_canaria
ENSZALP00000011702	ENSZALG00000009865	Zonotrichia_albicollis
ENSFALP00000006468	ENSFALG00000006200	Ficedula_albicollis
ENSCCEP00000004284	ENSCCEG00000004773	Cyanistes_caeruleus
ENSABRP00000002628	ENSABRG00000002562	Anser_brachyrhynchus
ENSDNVP00000015920	ENSDNVG00000011206	Dromaius_novaehollandiae
ENSMGAP00000004424	ENSMGAG00000004612	Meleagris_gallopavo
ENSCPRP00005006300	ENSCPRG00005004510	Crocodylus_porosus
ENSCABP00000026230	ENSCABG00000019281	Chelonoidis_abingdonii
ENSGAGP00000009401	ENSGAGG00000007440	Gopherus_agassizii
ENSCPBP00000011843	ENSCPBG00000008984	Chrysemys_picta_bellii
ENSPSIP00000019198	ENSPSIG00000017059	Pelodiscus_sinensis
ENSACAP00000015147	ENSACAG00000015409	Anolis_carolinensis
ENSPVIP00000007510	ENSPVIG00000006128	Pogona_vitticeps
ENSSMRP00000027628	ENSSMRG00000021305	Salvator_merianae
ENSSPUP00000013503	ENSSPUG00000010380	Sphenodon_punctatus
ENSSPUP00000015996	ENSSPUG00000012359	Sphenodon_punctatus
ENSVURP00010025446	ENSVURG00010019477	Vombatus_ursinus
ENSPCIP00000045880	ENSPCIG00000027649	Phascolarctos_cinereus
ENSPCIP00000043084	ENSPCIG00000035968	Phascolarctos_cinereus
ENSMEUP00000004974	ENSMEUG00000005451	Notamacropus_eugenii
ENSMODP00000056638	ENSMODG00000014388	Monodelphis_domestica
ENSMICP00000050300	ENSMICG00000008626	Microcebus_murinus
ENSPSMP00000030419	ENSPSMG00000021107	Prolemur_simus
ENSPCOP00000014662	ENSPCOG00000019028	Propithecus_coquereli
ENSP00000456434	ENSG00000255292	Homo_sapiens
ENSGGOP00000044777	ENSGGOG00000016350	Gorilla_gorilla
ENSNLEP00000022497	ENSNLEG00000018611	Nomascus_leucogenys
ENSCSAP00000015223	ENSCSAG00000002821	Chlorocebus_sabaeus
ENSMLEP00000025305	ENSMLEG00000036851	Mandrillus_leucophaeus
ENSTGEP00000015250	ENSTGEG00000012374	Theropithecus_gelada
ENSOGAP00000020153	ENSOGAG00000008568	Otolemur_garnettii
ENSTSYP00000020471	ENSTSYG00000009832	Carlito_syrichta
ENSPTRP00000087878	ENSPTRG00000043975	Pan_troglodytes
ENSPPAP00000002472	ENSPPAG00000010915	Pan_paniscus
ENSGGOP00000048134	ENSGGOG00000023352	Gorilla_gorilla
