ENSPNAP00000027410	ENSPNAG00000006124	Pygocentrus_nattereri
ENSCJPP00005023280	ENSCJPG00005018495	Coturnix_japonica
ENSPRNP00000002167	ENSPRNG00000001309	Parambassis_ranga
ENSHGLP00000025730	ENSHGLG00000018315	Heterocephalus_glaber_HetGla_female_1.0
ENSCSEP00000032724	ENSCSEG00000021004	Cynoglossus_semilaevis
ENSGAFP00000007814	ENSGAFG00000005310	Gambusia_affinis
ENSNMEP00000025816	ENSNMEG00000021839	Numida_meleagris
ENSCGRP00001022027	ENSCGRG00001020688	Cricetulus_griseus_CHOK1GS_HDv1
ENSFHEP00000026399	ENSFHEG00000009245	Fundulus_heteroclitus
ENSPPAP00000020887	ENSPPAG00000033667	Pan_paniscus
ENSSMAP00000023725	ENSSMAG00000014475	Scophthalmus_maximus
ENSMSIP00000032573	ENSMSIG00000027286	Mus_spicilegus
ENSOCUP00000037668	ENSOCUG00000021052	Oryctolagus_cuniculus
ENSPMJP00000010296	ENSPMJG00000008129	Parus_major
ENSMAUP00000008879	ENSMAUG00000010183	Mesocricetus_auratus
ENSLBEP00000008975	ENSLBEG00000006932	Labrus_bergylta
ENSGACP00000005910	ENSGACG00000004449	Gasterosteus_aculeatus
ENSUPAP00010024536	ENSUPAG00010019452	Urocitellus_parryii
ENSFDAP00000019171	ENSFDAG00000009315	Fukomys_damarensis
ENSSSCP00000068799	ENSSSCG00000007932	Sus_scrofa_strain_reference
ENSGGOP00000046514	ENSGGOG00000016247	Gorilla_gorilla
ENSMODP00000007663	ENSMODG00000006182	Monodelphis_domestica
ENSORLP00000021785	ENSORLG00000017420	Oryzias_latipes_ASM223467v1
ENSMMOP00000012466	ENSMMOG00000009584	Mola_mola
ENSPMAP00000009239	ENSPMAG00000008388	Petromyzon_marinus
ENSEEUP00000010532	ENSEEUG00000011543	Erinaceus_europaeus
ENSMOCP00000026109	ENSMOCG00000022020	Microtus_ochrogaster
ENSDNOP00000023298	ENSDNOG00000034313	Dasypus_novemcinctus
ENSMLEP00000013311	ENSMLEG00000030842	Mandrillus_leucophaeus
ENSRROP00000029427	ENSRROG00000038517	Rhinopithecus_roxellana
ENSEBUP00000007298	ENSEBUG00000004774	Eptatretus_burgeri	ENSEBUT00000007776
ENSPANP00000039415	ENSPANG00000010497	Papio_anubis
ENSFCAP00000044651	ENSFCAG00000004568	Felis_catus
ENSHGLP00100001605	ENSHGLG00100001254	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000007153	ENSSDAG00000006578	Spermophilus_dauricus
ENSHCOP00000014042	ENSHCOG00000017327	Hippocampus_comes
ENSBMUP00000013514	ENSBMUG00000010307	Bos_mutus
ENSCAFP00020031996	ENSCAFG00020024933	Canis_lupus_dingo
ENSSCAP00000003409	ENSSCAG00000002865	Serinus_canaria
ENSACAP00000006122	ENSACAG00000006239	Anolis_carolinensis	ENSACAT00000006259
H14A12.3.1	WBGene00019196	Caenorhabditis_elegans_strain_N2	H14A12.3.1
ENSELUP00000010107	ENSELUG00000010615	Esox_lucius
ENSMFAP00000034358	ENSMFAG00000003647	Macaca_fascicularis
ENSHBUP00000028391	ENSHBUG00000012130	Haplochromis_burtoni
ENSACLP00000015712	ENSACLG00000010699	Astatotilapia_calliptera
ENSTRUP00000030274	ENSTRUG00000011962	Takifugu_rubripes
ENSODEP00000016565	ENSODEG00000012200	Octodon_degus
ENSAPLP00000013197	ENSAPLG00000013380	Anas_platyrhynchos_platyrhynchos
ENSATEP00000011384	ENSATEG00000007917	Anabas_testudineus
