ENSCPUP00000007196	ENSCPUG00000005194	Calidris_pugnax
ENSCPGP00000025542	ENSCPGG00000017465	Calidris_pygmaea
ENSMVIP00005012022	ENSMVIG00005008783	Manacus_vitellinus
ENSLCOP00000007821	ENSLCOG00000005751	Lepidothrix_coronata
ENSLSDP00000016958	ENSLSDG00000012172	Lonchura_striata_domestica
ENSTGUP00000013307	ENSTGUG00000012921	Taeniopygia_guttata
ENSFALP00000003212	ENSFALG00000003041	Ficedula_albicollis
ENSPMJP00000001448	ENSPMJG00000001182	Parus_major
ENSCCEP00000015372	ENSCCEG00000014382	Cyanistes_caeruleus
ENSSCAP00000008216	ENSSCAG00000006224	Serinus_canaria
ENSJHYP00000016277	ENSJHYG00000012461	Junco_hyemalis
ENSZALP00000011295	ENSZALG00000009085	Zonotrichia_albicollis
ENSMUNP00000002814	ENSMUNG00000002466	Melopsittacus_undulatus
ENSABRP00000010442	ENSABRG00000009408	Anser_brachyrhynchus
ENSAPLP00000003765	ENSAPLG00000004118	Anas_platyrhynchos_platyrhynchos
ENSGALP00000021520	ENSGALG00000011696	Gallus_gallus
ENSMGAP00000014251	ENSMGAG00000013468	Meleagris_gallopavo
ENSCJPP00005002765	ENSCJPG00005003061	Coturnix_japonica
ENSNMEP00000019550	ENSNMEG00000016324	Numida_meleagris
ENSAHAP00000018937	ENSAHAG00000013414	Apteryx_haastii	ENSAHAT00000020939
ENSAOWP00000020386	ENSAOWG00000013793	Apteryx_owenii	ENSAOWT00000023103
ENSARWP00000016475	ENSARWG00000011300	Apteryx_rowi	ENSARWT00000018762
ENSDNVP00000023366	ENSDNVG00000016242	Dromaius_novaehollandiae	ENSDNVT00000028209
ENSNPEP00000012058	ENSNPEG00000009004	Nothoprocta_perdicaria
ENSCPRP00005023092	ENSCPRG00005016017	Crocodylus_porosus
ENSGAGP00000026570	ENSGAGG00000019079	Gopherus_agassizii
ENSCABP00000008889	ENSCABG00000006688	Chelonoidis_abingdonii
ENSCPBP00000028884	ENSCPBG00000020376	Chrysemys_picta_bellii
ENSPSIP00000004911	ENSPSIG00000004542	Pelodiscus_sinensis
ENSPVIP00000028281	ENSPVIG00000020965	Pogona_vitticeps
ENSACAP00000009394	ENSACAG00000009394	Anolis_carolinensis
ENSNSUP00000025388	ENSNSUG00000018279	Notechis_scutatus
ENSSMRP00000001721	ENSSMRG00000001501	Salvator_merianae
ENSSPUP00000008471	ENSSPUG00000006547	Sphenodon_punctatus
ENSLACP00000014617	ENSLACG00000012867	Latimeria_chalumnae
ENSXETP00000015408	ENSXETG00000000113	Xenopus_tropicalis
ENSECRP00000022555	ENSECRG00000015255	Erpetoichthys_calabaricus
ENSCMIP00000041173	ENSCMIG00000017117	Callorhinchus_milii
ENSVURP00010011627	ENSVURG00010008995	Vombatus_ursinus
ENSPCIP00000022140	ENSPCIG00000016764	Phascolarctos_cinereus
ENSMEUP00000002330	ENSMEUG00000002528	Notamacropus_eugenii
ENSSHAP00000000285	ENSSHAG00000000250	Sarcophilus_harrisii
ENSMODP00000018384	ENSMODG00000014707	Monodelphis_domestica
ENSOANP00000012531	ENSOANG00000007869	Ornithorhynchus_anatinus
ENSPPYP00000007046	ENSPPYG00000006203	Pongo_abelii
ENSPTRP00000075993	ENSPTRG00000006784	Pan_troglodytes
ENSGGOP00000007441	ENSGGOG00000007597	Gorilla_gorilla
ENSPPAP00000015142	ENSPPAG00000030702	Pan_paniscus
ENSP00000328169	ENSG00000184916	Homo_sapiens
ENSNLEP00000019913	ENSNLEG00000016400	Nomascus_leucogenys
ENSMFAP00000037524	ENSMFAG00000037993	Macaca_fascicularis
ENSMNEP00000042804	ENSMNEG00000044121	Macaca_nemestrina
ENSCATP00000005870	ENSCATG00000018611	Cercocebus_atys
ENSMMUP00000075280	ENSMMUG00000001276	Macaca_mulatta
ENSPANP00000013352	ENSPANG00000016732	Papio_anubis
ENSMLEP00000037615	ENSMLEG00000042898	Mandrillus_leucophaeus
ENSTGEP00000014359	ENSTGEG00000011643	Theropithecus_gelada
ENSCSAP00000005801	ENSCSAG00000009598	Chlorocebus_sabaeus
ENSCANP00000015512	ENSCANG00000031177	Colobus_angolensis_palliatus
ENSPTEP00000030018	ENSPTEG00000029301	Piliocolobus_tephrosceles
ENSRBIP00000005509	ENSRBIG00000024310	Rhinopithecus_bieti
ENSRROP00000031532	ENSRROG00000039460	Rhinopithecus_roxellana
ENSCCAP00000005964	ENSCCAG00000020675	Cebus_capucinus_imitator
ENSSBOP00000009504	ENSSBOG00000021616	Saimiri_boliviensis_boliviensis
ENSANAP00000032462	ENSANAG00000033915	Aotus_nancymaae
ENSTSYP00000032111	ENSTSYG00000028215	Carlito_syrichta
ENSPCOP00000004334	ENSPCOG00000012629	Propithecus_coquereli
ENSMICP00000018086	ENSMICG00000033950	Microcebus_murinus
ENSOGAP00000014102	ENSOGAG00000015741	Otolemur_garnettii
ENSCLAP00000009242	ENSCLAG00000006434	Chinchilla_lanigera
ENSODEP00000004291	ENSODEG00000003270	Octodon_degus
ENSCPOP00000007568	ENSCPOG00000008419	Cavia_porcellus
ENSCAPP00000004284	ENSCAPG00000006816	Cavia_aperea
ENSHGLP00000021320	ENSHGLG00000015237	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025672	ENSHGLG00100018830	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015702	ENSFDAG00000003762	Fukomys_damarensis
ENSUPAP00010023773	ENSUPAG00010018845	Urocitellus_parryii
ENSSTOP00000017412	ENSSTOG00000027539	Ictidomys_tridecemlineatus
ENSCCNP00000019494	ENSCCNG00000018310	Castor_canadensis
ENSDORP00000013411	ENSDORG00000014258	Dipodomys_ordii
ENSCGRP00015027923	ENSCGRG00015021155	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000006559	ENSCGRG00000004799	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001000622	ENSCGRG00001000489	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000002760	ENSMAUG00000002557	Mesocricetus_auratus
ENSPEMP00000012119	ENSPEMG00000012540	Peromyscus_maniculatus_bairdii
ENSMOCP00000027460	ENSMOCG00000022935	Microtus_ochrogaster
MGP_SPRETEiJ_P0035032	MGP_SPRETEiJ_G0019013	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000034798	ENSMSIG00000029036	Mus_spicilegus
ENSMUSP00000075224	ENSMUSG00000002799	Mus_musculus_strain_reference_(CL57BL6)
