ENSPCIP00000031867	ENSPCIG00000023648	Phascolarctos_cinereus	ENSPCIT00000039173
ENSVURP00010019023	ENSVURG00010014479	Vombatus_ursinus	ENSVURT00010021633
ENSMEUP00000002460	ENSMEUG00000002694	Notamacropus_eugenii	ENSMEUT00000002702
ENSSHAP00000005553	ENSSHAG00000004852	Sarcophilus_harrisii	ENSSHAT00000005607
ENSMODP00000034032	ENSMODG00000000003	Monodelphis_domestica	ENSMODT00000035618
ENSMODP00000058438	ENSMODG00000036760	Monodelphis_domestica	ENSMODT00000087876
ENSMODP00000034028	ENSMODG00000024419	Monodelphis_domestica	ENSMODT00000035614
ENSVURP00010019006	ENSVURG00010014463	Vombatus_ursinus	ENSVURT00010021614
ENSPCIP00000031872	ENSPCIG00000023651	Phascolarctos_cinereus	ENSPCIT00000039178
ENSMEUP00000008200	ENSMEUG00000008988	Notamacropus_eugenii	ENSMEUT00000009004
ENSSHAP00000005236	ENSSHAG00000004582	Sarcophilus_harrisii	ENSSHAT00000005288
ENSUAMP00000023010	ENSUAMG00000018026	Ursus_americanus
ENSUMAP00000020436	ENSUMAG00000014967	Ursus_maritimus
ENSAMEP00000015950	ENSAMEG00000015123	Ailuropoda_melanoleuca
ENSNVIP00000027147	ENSNVIG00000021001	Neovison_vison
ENSMPUP00000003196	ENSMPUG00000003229	Mustela_putorius_furo
ENSCAFP00000005778	ENSCAFG00000003881	Canis_lupus_familiaris
ENSCAFP00020026930	ENSCAFG00020021120	Canis_lupus_dingo
ENSVVUP00000039129	ENSVVUG00000027887	Vulpes_vulpes
ENSPPRP00000000384	ENSPPRG00000024857	Panthera_pardus	ENSPPRT00000034835
ENSPTIP00000005444	ENSPTIG00000007671	Panthera_tigris_altaica
ENSFCAP00000006107	ENSFCAG00000006573	Felis_catus
ENSEASP00005014148	ENSEASG00005009865	Equus_asinus_asinus
ENSECAP00000031944	ENSECAG00000007637	Equus_caballus
ENSCHIP00000000671	ENSCHIG00000000473	Capra_hircus
ENSOARP00000015132	ENSOARG00000014099	Ovis_aries
ENSBIXP00000038854	ENSBIXG00000022742	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027509	ENSBIXG00005030543	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000017618	ENSBMUG00000013330	Bos_mutus
ENSBTAP00000024541	ENSBTAG00000018442	Bos_taurus
ENSBBBP00000007211	ENSBBBG00000001257	Bison_bison_bison
ENSTTRP00000009489	ENSTTRG00000010006	Tursiops_truncatus
ENSVPAP00000003418	ENSVPAG00000003685	Vicugna_pacos
ENSSSCP00000022379	ENSSSCG00000029612	Sus_scrofa_strain_reference
ENSPVAP00000008995	ENSPVAG00000009549	Pteropus_vampyrus
ENSMLUP00000005500	ENSMLUG00000006019	Myotis_lucifugus
ENSEEUP00000002394	ENSEEUG00000002626	Erinaceus_europaeus
ENSSARP00000010049	ENSSARG00000011141	Sorex_araneus
ENSPTRP00000075422	ENSPTRG00000045859	Pan_troglodytes
ENSPTRP00000082757	ENSPTRG00000019781	Pan_troglodytes
ENSPPAP00000019709	ENSPPAG00000033068	Pan_paniscus
ENSGGOP00000027292	ENSGGOG00000010592	Gorilla_gorilla
