ENSFALP00000006924	ENSFALG00000006633	Ficedula_albicollis
ENSLSDP00000018033	ENSLSDG00000012864	Lonchura_striata_domestica
ENSPMJP00000026023	ENSPMJG00000019034	Parus_major
ENSCCEP00000001729	ENSCCEG00000002023	Cyanistes_caeruleus
ENSTGUP00000005802	ENSTGUG00000005643	Taeniopygia_guttata
ENSMVIP00005014924	ENSMVIG00005010762	Manacus_vitellinus
ENSLCOP00000015590	ENSLCOG00000011124	Lepidothrix_coronata
ENSGALP00000004475	ENSGALG00000002843	Gallus_gallus
ENSMGAP00000005035	ENSMGAG00000005154	Meleagris_gallopavo
ENSAPLP00000023014	ENSAPLG00000020079	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000011682	ENSCPGG00000008334	Calidris_pygmaea
ENSCPUP00000001046	ENSCPUG00000000790	Calidris_pugnax
ENSMUNP00000005692	ENSMUNG00000004651	Melopsittacus_undulatus
ENSJHYP00000011324	ENSJHYG00000008852	Junco_hyemalis
ENSZALP00000019907	ENSZALG00000015708	Zonotrichia_albicollis
ENSABRP00000012316	ENSABRG00000011031	Anser_brachyrhynchus
ENSARWP00000021252	ENSARWG00000014533	Apteryx_rowi
ENSAHAP00000002975	ENSAHAG00000002398	Apteryx_haastii
ENSDNVP00000012529	ENSDNVG00000008844	Dromaius_novaehollandiae
ENSNPEP00000001187	ENSNPEG00000000939	Nothoprocta_perdicaria
ENSAOWP00000021413	ENSAOWG00000014469	Apteryx_owenii
ENSCABP00000028242	ENSCABG00000020742	Chelonoidis_abingdonii
ENSGAGP00000010706	ENSGAGG00000008352	Gopherus_agassizii
ENSCPBP00000028999	ENSCPBG00000020457	Chrysemys_picta_bellii
ENSSPUP00000009642	ENSSPUG00000007481	Sphenodon_punctatus
ENSPVIP00000022406	ENSPVIG00000016900	Pogona_vitticeps	ENSPVIT00000027747
ENSACAP00000021792	ENSACAG00000029158	Anolis_carolinensis	ENSACAT00000029212
ENSNSUP00000009165	ENSNSUG00000007016	Notechis_scutatus	ENSNSUT00000009798
