FBpp0085884	FBgn0034360	Drosophila_melanogaster	FBtr0086705
Y47D3A.14.1	WBGene00012927	Caenorhabditis_elegans_strain_N2	Y47D3A.14.1
ENSPVAP00000008966	ENSPVAG00000009517	Pteropus_vampyrus
ENSMLUP00000016465	ENSMLUG00000017184	Myotis_lucifugus
ENSAMEP00000019754	ENSAMEG00000018699	Ailuropoda_melanoleuca
ENSVVUP00000002872	ENSVVUG00000002254	Vulpes_vulpes
ENSMPUP00000019852	ENSMPUG00000019983	Mustela_putorius_furo
ENSBIXP00005003444	ENSBIXG00005009585	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000010783	ENSBBBG00000018851	Bison_bison_bison
ENSSSCP00000033184	ENSSSCG00000038810	Sus_scrofa_strain_reference
ENSCGRP00001007355	ENSCGRG00001009781	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015004366	ENSCGRG00015003435	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000023442	ENSCGRG00000016978	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000003210	ENSMAUG00000003412	Mesocricetus_auratus
ENSMOCP00000019372	ENSMOCG00000017384	Microtus_ochrogaster
ENSPEMP00000011938	ENSPEMG00000012417	Peromyscus_maniculatus_bairdii
ENSMUSP00000040551	ENSMUSG00000113640	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000136259	ENSMUSG00000035370	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0025149	MGP_SPRETEiJ_G0016410	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026018	ENSMSIG00000021950	Mus_spicilegus
MGP_CAROLIEiJ_P0023983	MGP_CAROLIEiJ_G0015592	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087135	MGP_PahariEiJ_G0031005	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000023813	ENSNGAG00000022254	Nannospalax_galili
ENSHGLP00000024971	ENSHGLG00000017794	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000764	ENSHGLG00100000626	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000017834	ENSODEG00000013157	Octodon_degus
ENSCPOP00000016890	ENSCPOG00000020072	Cavia_porcellus
ENSP00000332448	ENSG00000213638	Homo_sapiens
ENSPPAP00000038097	ENSPPAG00000041771	Pan_paniscus
ENSNLEP00000002390	ENSNLEG00000001999	Nomascus_leucogenys
ENSMNEP00000003190	ENSMNEG00000014696	Macaca_nemestrina
ENSMMUP00000080901	ENSMMUG00000049496	Macaca_mulatta
ENSPANP00000004155	ENSPANG00000019293	Papio_anubis
ENSPTEP00000008125	ENSPTEG00000009249	Piliocolobus_tephrosceles
ENSSBOP00000011476	ENSSBOG00000022564	Saimiri_boliviensis_boliviensis
ENSMMMP00000018280	ENSMMMG00000016214	Marmota_marmota_marmota
ENSUPAP00010016218	ENSUPAG00010012947	Urocitellus_parryii
