ENSONIP00000002780	ENSONIG00000002229	Oreochromis_niloticus
ENSCINP00000031794	ENSCING00000019765	Ciona_intestinalis
ENSDARP00000070746	ENSDARG00000054136	Danio_rerio
ENSSLDP00000016171	ENSSLDG00000012835	Seriola_lalandi_dorsalis
ENSORLP00000033559	ENSORLG00000028753	Oryzias_latipes_ASM223467v1
ENSXETP00000046718	ENSXETG00000018690	Xenopus_tropicalis
ENSKMAP00000012536	ENSKMAG00000009401	Kryptolebias_marmoratus
ENSGWIP00000012337	ENSGWIG00000007185	Gouania_willdenowi
ENSHBUP00000008503	ENSHBUG00000009994	Haplochromis_burtoni
ENSATEP00000009718	ENSATEG00000006849	Anabas_testudineus
ENSOMEP00000033212	ENSOMEG00000019060	Oryzias_melastigma
ENSAMXP00000001303	ENSAMXG00000001278	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000001303
ENSORLP00020013734	ENSORLG00020014702	Oryzias_latipes_ASM223471v1
ENSPNAP00000012156	ENSPNAG00000017879	Pygocentrus_nattereri
ENSAPOP00000023080	ENSAPOG00000000118	Acanthochromis_polyacanthus
ENSLCAP00010003777	ENSLCAG00010001945	Lates_calcarifer
ENSSMAP00000031863	ENSSMAG00000019519	Scophthalmus_maximus
ENSACLP00000016279	ENSACLG00000011107	Astatotilapia_calliptera
ENSAPEP00000030922	ENSAPEG00000021957	Amphiprion_percula
ENSSDUP00000008008	ENSSDUG00000005867	Seriola_dumerili
ENSAOCP00000011567	ENSAOCG00000015915	Amphiprion_ocellaris
ENSIPUP00000001496	ENSIPUG00000001073	Ictalurus_punctatus
ENSSPAP00000020544	ENSSPAG00000015478	Stegastes_partitus
ENSFHEP00000027933	ENSFHEG00000011721	Fundulus_heteroclitus
ENSCGOP00000003463	ENSCGOG00000001879	Cottoperca_gobio
ENSBSLP00000032951	ENSBSLG00000016074	Betta_splendens
ENSMMOP00000021840	ENSMMOG00000016609	Mola_mola
ENSDCDP00000033420	ENSDCDG00000022778	Denticeps_clupeoides
ENSPKIP00000032920	ENSPKIG00000012826	Paramormyrops_kingsleyae
ENSLBEP00000022611	ENSLBEG00000017329	Labrus_bergylta
ENSLCRP00005036731	ENSLCRG00005014317	Larimichthys_crocea
ENSAMXP00005003929	ENSAMXG00005002445	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSFOP00015030858	ENSSFOG00015019786	Scleropages_formosus
ENSELUP00000015894	ENSELUG00000015794	Esox_lucius
ENSMAMP00000014347	ENSMAMG00000009731	Mastacembelus_armatus
ENSMALP00000011063	ENSMALG00000007884	Monopterus_albus
ENSNBRP00000007392	ENSNBRG00000005768	Neolamprologus_brichardi
ENSEEEP00000042807	ENSEEEG00000020198	Electrophorus_electricus
ENSMZEP00005037244	ENSMZEG00005027759	Maylandia_zebra
ENSACIP00000028317	ENSACIG00000021944	Amphilophus_citrinellus
ENSHHUP00000042956	ENSHHUG00000026420	Hucho_hucho
