FBpp0079833	FBgn0032361	Drosophila_melanogaster	FBtr0080248
R02D3.2.1	WBGene00019820	Caenorhabditis_elegans_strain_N2	R02D3.2.1
ENSELUP00000036758	ENSELUG00000016162	Esox_lucius
ENSHHUP00000006312	ENSHHUG00000003882	Hucho_hucho
ENSHHUP00000013840	ENSHHUG00000008528	Hucho_hucho
ENSNBRP00000029681	ENSNBRG00000022602	Neolamprologus_brichardi
ENSGMOP00000008747	ENSGMOG00000008174	Gadus_morhua
ENSCHAP00000055942	ENSCHAG00000025312	Clupea_harengus
ENSDCDP00000039223	ENSDCDG00000026113	Denticeps_clupeoides
ENSAMXP00000003714	ENSAMXG00000003639	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005035816	ENSAMXG00005017165	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000036630	ENSPNAG00000027640	Pygocentrus_nattereri
ENSEEEP00000034756	ENSEEEG00000016523	Electrophorus_electricus
ENSIPUP00000011074	ENSIPUG00000007548	Ictalurus_punctatus
ENSDARP00000008507	ENSDARG00000002798	Danio_rerio
ENSSFOP00015013277	ENSSFOG00015008533	Scleropages_formosus
ENSPKIP00000002421	ENSPKIG00000020319	Paramormyrops_kingsleyae
ENSLOCP00000001587	ENSLOCG00000001398	Lepisosteus_oculatus
ENSFHEP00000025302	ENSFHEG00000007430	Fundulus_heteroclitus
ENSCVAP00000020614	ENSCVAG00000002100	Cyprinodon_variegatus
ENSXMAP00000031205	ENSXMAG00000026998	Xiphophorus_maculatus
ENSXCOP00000012880	ENSXCOG00000009741	Xiphophorus_couchianus
ENSGAFP00000009046	ENSGAFG00000006130	Gambusia_affinis
ENSPFOP00000000022	ENSPFOG00000000021	Poecilia_formosa
ENSPLAP00000008906	ENSPLAG00000011567	Poecilia_latipinna
ENSPMEP00000034286	ENSPMEG00000023392	Poecilia_mexicana
ENSPREP00000011234	ENSPREG00000007652	Poecilia_reticulata
ENSKMAP00000024675	ENSKMAG00000018286	Kryptolebias_marmoratus
ENSORLP00000023575	ENSORLG00000018888	Oryzias_latipes_ASM223467v1
ENSORLP00020013647	ENSORLG00020014624	Oryzias_latipes_ASM223471v1
ENSORLP00015029145	ENSORLG00015012101	Oryzias_latipes_ASM223469v1
ENSOMEP00000035450	ENSOMEG00000022735	Oryzias_melastigma
ENSCSEP00000030691	ENSCSEG00000019649	Cynoglossus_semilaevis
ENSSLDP00000014404	ENSSLDG00000011500	Seriola_lalandi_dorsalis
ENSSDUP00000009912	ENSSDUG00000007276	Seriola_dumerili
ENSSMAP00000005091	ENSSMAG00000003121	Scophthalmus_maximus
ENSLCAP00010015928	ENSLCAG00010007595	Lates_calcarifer
ENSMALP00000020987	ENSMALG00000014649	Monopterus_albus
ENSLCRP00005009829	ENSLCRG00005004559	Larimichthys_crocea
ENSAPEP00000000041	ENSAPEG00000000030	Amphiprion_percula
ENSAPEP00000000047	ENSAPEG00000000033	Amphiprion_percula
ENSAOCP00000021587	ENSAOCG00000006493	Amphiprion_ocellaris
ENSAPOP00000025213	ENSAPOG00000008188	Acanthochromis_polyacanthus
ENSSPAP00000029717	ENSSPAG00000022357	Stegastes_partitus
ENSPRNP00000001936	ENSPRNG00000001217	Parambassis_ranga
ENSATEP00000021039	ENSATEG00000014616	Anabas_testudineus
ENSBSLP00000022562	ENSBSLG00000011412	Betta_splendens
ENSLBEP00000035080	ENSLBEG00000026357	Labrus_bergylta
ENSHBUP00000020986	ENSHBUG00000023279	Haplochromis_burtoni
ENSPNYP00000024490	ENSPNYG00000018497	Pundamilia_nyererei
ENSACLP00000036839	ENSACLG00000024947	Astatotilapia_calliptera
ENSACLP00000036802	ENSACLG00000024916	Astatotilapia_calliptera
ENSMZEP00005004914	ENSMZEG00005003805	Maylandia_zebra
ENSONIP00000004178	ENSONIG00000003321	Oreochromis_niloticus
ENSACIP00000001901	ENSACIG00000001547	Amphilophus_citrinellus
ENSTRUP00000010980	ENSTRUG00000004616	Takifugu_rubripes
ENSTRUP00000057257	ENSTRUG00000025420	Takifugu_rubripes
ENSTNIP00000004412	ENSTNIG00000002004	Tetraodon_nigroviridis
ENSMMOP00000002605	ENSMMOG00000002117	Mola_mola
ENSGACP00000023215	ENSGACG00000017562	Gasterosteus_aculeatus
ENSGWIP00000018018	ENSGWIG00000010005	Gouania_willdenowi
ENSPMGP00000029178	ENSPMGG00000023475	Periophthalmus_magnuspinnatus
ENSECRP00000026682	ENSECRG00000018030	Erpetoichthys_calabaricus
MGP_SPRETEiJ_P0089420	MGP_SPRETEiJ_G0032647	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000005445	ENSMSIG00000004907	Mus_spicilegus
ENSMUSP00000093173	ENSMUSG00000031916	Mus_musculus_strain_reference_(CL57BL6)
