ENSPSIP00000002527	ENSPSIG00000002481	Pelodiscus_sinensis
ENSCPGP00000015859	ENSCPGG00000011161	Calidris_pygmaea
ENSOANP00000028243	ENSOANG00000022143	Ornithorhynchus_anatinus
ENSLACP00000022205	ENSLACG00000022319	Latimeria_chalumnae
ENSMUNP00000020676	ENSMUNG00000015719	Melopsittacus_undulatus
ENSPCIP00000013397	ENSPCIG00000010552	Phascolarctos_cinereus
ENSCPBP00000031633	ENSCPBG00000022213	Chrysemys_picta_bellii
ENSSMRP00000011675	ENSSMRG00000009174	Salvator_merianae
ENSCJPP00005013290	ENSCJPG00005011223	Coturnix_japonica
ENSMVIP00005015001	ENSMVIG00005010812	Manacus_vitellinus
ENSNPEP00000006718	ENSNPEG00000005060	Nothoprocta_perdicaria
ENSJHYP00000005934	ENSJHYG00000004833	Junco_hyemalis
ENSACAP00000022972	ENSACAG00000028745	Anolis_carolinensis
ENSGAGP00000002404	ENSGAGG00000001949	Gopherus_agassizii	ENSGAGT00000002757
ENSDNVP00000014030	ENSDNVG00000009866	Dromaius_novaehollandiae
ENSVURP00010030842	ENSVURG00010023601	Vombatus_ursinus
ENSABRP00000007857	ENSABRG00000007156	Anser_brachyrhynchus
ENSCCEP00000021843	ENSCCEG00000019784	Cyanistes_caeruleus
ENSFALP00000009479	ENSFALG00000009085	Ficedula_albicollis
ENSGALP00000002913	ENSGALG00000001882	Gallus_gallus
ENSAOWP00000005932	ENSAOWG00000004065	Apteryx_owenii
ENSMODP00000041039	ENSMODG00000028425	Monodelphis_domestica
ENSARWP00000004695	ENSARWG00000003405	Apteryx_rowi
ENSTGUP00000004171	ENSTGUG00000004056	Taeniopygia_guttata
ENSLCOP00000021372	ENSLCOG00000015109	Lepidothrix_coronata
ENSAPLP00000025034	ENSAPLG00000021826	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000011677	ENSAHAG00000008455	Apteryx_haastii
ENSNMEP00000010460	ENSNMEG00000009904	Numida_meleagris
ENSMGAP00000002930	ENSMGAG00000003257	Meleagris_gallopavo
ENSCPUP00000018357	ENSCPUG00000012640	Calidris_pugnax
ENSPVIP00000030542	ENSPVIG00000022464	Pogona_vitticeps
ENSPMJP00000019200	ENSPMJG00000014405	Parus_major
