ENSAOWP00000018031	ENSAOWG00000012315	Apteryx_owenii
ENSARWP00000027935	ENSARWG00000018853	Apteryx_rowi
ENSNPEP00000012943	ENSNPEG00000009668	Nothoprocta_perdicaria
ENSJHYP00000008521	ENSJHYG00000006745	Junco_hyemalis
ENSZALP00000010138	ENSZALG00000008614	Zonotrichia_albicollis
ENSSCAP00000004184	ENSSCAG00000003448	Serinus_canaria
ENSTGUP00000010657	ENSTGUG00000010335	Taeniopygia_guttata
ENSLSDP00000015735	ENSLSDG00000011343	Lonchura_striata_domestica
ENSFALP00000007470	ENSFALG00000007162	Ficedula_albicollis
ENSPMJP00000025687	ENSPMJG00000018795	Parus_major
ENSCCEP00000026031	ENSCCEG00000022967	Cyanistes_caeruleus
ENSLCOP00000018118	ENSLCOG00000012802	Lepidothrix_coronata
ENSCPUP00000008532	ENSCPUG00000006135	Calidris_pugnax
ENSMGAP00000007400	ENSMGAG00000007299	Meleagris_gallopavo
ENSGALP00000033374	ENSGALG00000021136	Gallus_gallus
ENSCJPP00005009760	ENSCJPG00005008546	Coturnix_japonica
ENSNMEP00000025653	ENSNMEG00000021702	Numida_meleagris
ENSAPLP00000017114	ENSAPLG00000017731	Anas_platyrhynchos_platyrhynchos
ENSDNVP00000010627	ENSDNVG00000007500	Dromaius_novaehollandiae
ENSMUNP00000017408	ENSMUNG00000013380	Melopsittacus_undulatus
ENSCPRP00005002108	ENSCPRG00005001555	Crocodylus_porosus
ENSCPBP00000004954	ENSCPBG00000003982	Chrysemys_picta_bellii
ENSGAGP00000036520	ENSGAGG00000025896	Gopherus_agassizii
ENSCPBP00000004946	ENSCPBG00000003978	Chrysemys_picta_bellii
ENSCPBP00000002044	ENSCPBG00000001653	Chrysemys_picta_bellii
ENSCABP00000025998	ENSCABG00000019120	Chelonoidis_abingdonii
ENSGAGP00000036518	ENSGAGG00000025894	Gopherus_agassizii
ENSPSIP00000012994	ENSPSIG00000011693	Pelodiscus_sinensis
ENSSPUP00000004082	ENSSPUG00000003157	Sphenodon_punctatus
ENSECAP00000015568	ENSECAG00000018054	Equus_caballus	ENSECAT00000019040
ENSEASP00005015552	ENSEASG00005010840	Equus_asinus_asinus
ENSEEUP00000003500	ENSEEUG00000003870	Erinaceus_europaeus
ENSMLUP00000000395	ENSMLUG00000000439	Myotis_lucifugus
ENSPVAP00000010273	ENSPVAG00000010901	Pteropus_vampyrus
ENSVPAP00000010691	ENSVPAG00000011482	Vicugna_pacos
ENSTTRP00000001920	ENSTTRG00000002044	Tursiops_truncatus
ENSBIXP00005004697	ENSBIXG00005000718	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006859	ENSBIXG00000012929	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000071971	ENSBTAG00000051134	Bos_taurus
ENSBMUP00000030664	ENSBMUG00000022906	Bos_mutus
ENSBBBP00000014886	ENSBBBG00000022665	Bison_bison_bison
ENSCHIP00000017142	ENSCHIG00000017114	Capra_hircus
ENSOARP00000013639	ENSOARG00000012733	Ovis_aries
ENSUMAP00000004156	ENSUMAG00000003370	Ursus_maritimus
ENSUAMP00000013466	ENSUAMG00000010824	Ursus_americanus
ENSAMEP00000014355	ENSAMEG00000013631	Ailuropoda_melanoleuca
ENSMPUP00000003066	ENSMPUG00000003097	Mustela_putorius_furo
ENSNVIP00000027796	ENSNVIG00000021478	Neovison_vison
ENSCAFP00020009365	ENSCAFG00020007580	Canis_lupus_dingo
ENSCAFP00000020819	ENSCAFG00000014130	Canis_lupus_familiaris
ENSVVUP00000026535	ENSVVUG00000019493	Vulpes_vulpes
ENSPTIP00000007103	ENSPTIG00000008847	Panthera_tigris_altaica
ENSPPRP00000015134	ENSPPRG00000007812	Panthera_pardus
ENSCJAP00000019991	ENSCJAG00000010848	Callithrix_jacchus
ENSCCAP00000030997	ENSCCAG00000033555	Cebus_capucinus_imitator
ENSSBOP00000000569	ENSSBOG00000002479	Saimiri_boliviensis_boliviensis
ENSANAP00000029457	ENSANAG00000032520	Aotus_nancymaae
ENSCANP00000035969	ENSCANG00000041688	Colobus_angolensis_palliatus
ENSRROP00000034356	ENSRROG00000040741	Rhinopithecus_roxellana
ENSPTEP00000026318	ENSPTEG00000026407	Piliocolobus_tephrosceles
ENSCSAP00000007633	ENSCSAG00000011432	Chlorocebus_sabaeus
ENSMMUP00000069801	ENSMMUG00000053622	Macaca_mulatta
ENSMFAP00000007825	ENSMFAG00000037312	Macaca_fascicularis
ENSMNEP00000013993	ENSMNEG00000031198	Macaca_nemestrina
ENSMLEP00000010694	ENSMLEG00000029544	Mandrillus_leucophaeus
ENSCATP00000020258	ENSCATG00000033907	Cercocebus_atys
ENSTGEP00000035241	ENSTGEG00000028084	Theropithecus_gelada
ENSPANP00000016372	ENSPANG00000019218	Papio_anubis
ENSRBIP00000023522	ENSRBIG00000035689	Rhinopithecus_bieti
ENSPTRP00000024367	ENSPTRG00000014150	Pan_troglodytes
ENSPPAP00000018023	ENSPPAG00000032137	Pan_paniscus
ENSP00000248948	ENSG00000128218	Homo_sapiens
ENSGGOP00000026170	ENSGGOG00000000630	Gorilla_gorilla
ENSPPYP00000012971	ENSPPYG00000011628	Pongo_abelii
ENSNLEP00000000577	ENSNLEG00000000498	Nomascus_leucogenys
ENSTSYP00000028265	ENSTSYG00000028940	Carlito_syrichta
ENSPCOP00000005517	ENSPCOG00000013682	Propithecus_coquereli
ENSPSMP00000021632	ENSPSMG00000015283	Prolemur_simus
ENSMICP00000044899	ENSMICG00000042335	Microcebus_murinus
ENSOGAP00000008869	ENSOGAG00000009921	Otolemur_garnettii
ENSCCNP00000006217	ENSCCNG00000006552	Castor_canadensis
ENSDORP00000008609	ENSDORG00000009165	Dipodomys_ordii
ENSCGRP00001005428	ENSCGRG00001007138	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007903	ENSCGRG00000005765	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023879	ENSCGRG00015018186	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009741	ENSMAUG00000010815	Mesocricetus_auratus
ENSPEMP00000008660	ENSPEMG00000010214	Peromyscus_maniculatus_bairdii
ENSMOCP00000008262	ENSMOCG00000008215	Microtus_ochrogaster
ENSMSIP00000005585	ENSMSIG00000005055	Mus_spicilegus
ENSMUSP00000000926	ENSMUSG00000000903	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0024623	MGP_SPRETEiJ_G0016271	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0023477	MGP_CAROLIEiJ_G0015458	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086639	MGP_PahariEiJ_G0030874	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000028914	ENSRNOG00000028394	Rattus_norvegicus
ENSRNOP00000068913	ENSRNOG00000060011	Rattus_norvegicus
ENSMUGP00000011424	ENSMUGG00000010006	Meriones_unguiculatus
ENSNGAP00000008566	ENSNGAG00000011506	Nannospalax_galili
ENSJJAP00000012742	ENSJJAG00000015699	Jaculus_jaculus
ENSHGLP00100008711	ENSHGLG00100006484	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000025054	ENSHGLG00000017853	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021326	ENSFDAG00000007786	Fukomys_damarensis
ENSCPOP00000026794	ENSCPOG00000038412	Cavia_porcellus
ENSCAPP00000016115	ENSCAPG00000016086	Cavia_aperea
ENSODEP00000008820	ENSODEG00000006591	Octodon_degus
ENSCLAP00000018423	ENSCLAG00000012632	Chinchilla_lanigera
ENSUPAP00010002683	ENSUPAG00010002244	Urocitellus_parryii
ENSSTOP00000011112	ENSSTOG00000012405	Ictidomys_tridecemlineatus
ENSSDAP00000001503	ENSSDAG00000001488	Spermophilus_dauricus
ENSMMMP00000000432	ENSMMMG00000000414	Marmota_marmota_marmota
ENSOPRP00000000968	ENSOPRG00000019195	Ochotona_princeps
ENSOPRP00000016144	ENSOPRG00000018505	Ochotona_princeps
ENSOCUP00000022691	ENSOCUG00000016384	Oryctolagus_cuniculus
ENSTBEP00000002715	ENSTBEG00000003159	Tupaia_belangeri
ENSDNOP00000026263	ENSDNOG00000049092	Dasypus_novemcinctus
ENSLAFP00000012065	ENSLAFG00000014414	Loxodonta_africana
ENSPCAP00000013508	ENSPCAG00000014494	Procavia_capensis
ENSVURP00010019520	ENSVURG00010014886	Vombatus_ursinus
ENSPCIP00000013905	ENSPCIG00000010891	Phascolarctos_cinereus
