ENSVURP00010030878	ENSVURG00010023618	Vombatus_ursinus	ENSVURT00010035161
ENSPCIP00000033164	ENSPCIG00000024623	Phascolarctos_cinereus	ENSPCIT00000040845
ENSMEUP00000006850	ENSMEUG00000007487	Notamacropus_eugenii	ENSMEUT00000007521
ENSSHAP00000006209	ENSSHAG00000005404	Sarcophilus_harrisii	ENSSHAT00000006263
ENSMODP00000024201	ENSMODG00000019400	Monodelphis_domestica	ENSMODT00000024630
ENSHGLP00000023752	ENSHGLG00000016942	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019522	ENSHGLG00100014389	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020847	ENSFDAG00000000155	Fukomys_damarensis
ENSCLAP00000013394	ENSCLAG00000009254	Chinchilla_lanigera
ENSODEP00000002276	ENSODEG00000001774	Octodon_degus
ENSCPOP00000011639	ENSCPOG00000012927	Cavia_porcellus
ENSCAPP00000017266	ENSCAPG00000016968	Cavia_aperea
ENSSTOP00000011033	ENSSTOG00000012304	Ictidomys_tridecemlineatus
ENSUPAP00010020798	ENSUPAG00010016464	Urocitellus_parryii
ENSSDAP00000005142	ENSSDAG00000004767	Spermophilus_dauricus
ENSMMMP00000014658	ENSMMMG00000013029	Marmota_marmota_marmota
ENSCCNP00000020169	ENSCCNG00000020173	Castor_canadensis
ENSDORP00000001196	ENSDORG00000001275	Dipodomys_ordii
MGP_SPRETEiJ_P0026353	MGP_SPRETEiJ_G0016731	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000020846	ENSMSIG00000003896	Mus_spicilegus
ENSMUSP00000078540	ENSMUSG00000025401	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0025067	MGP_CAROLIEiJ_G0015905	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087600	MGP_PahariEiJ_G0031180	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005575	ENSRNOG00000004177	Rattus_norvegicus
ENSMUGP00000010498	ENSMUGG00000009255	Meriones_unguiculatus
ENSPEMP00000020683	ENSPEMG00000018549	Peromyscus_maniculatus_bairdii
ENSMOCP00000011518	ENSMOCG00000011760	Microtus_ochrogaster
ENSCGRP00000005420	ENSCGRG00000003965	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001004275	ENSCGRG00001005373	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037925	ENSCGRG00015028375	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021097	ENSMAUG00000018930	Mesocricetus_auratus
ENSNGAP00000007167	ENSNGAG00000010469	Nannospalax_galili
ENSJJAP00000008445	ENSJJAG00000012576	Jaculus_jaculus
ENSOCUP00000001150	ENSOCUG00000001335	Oryctolagus_cuniculus
ENSOPRP00000012188	ENSOPRG00000013323	Ochotona_princeps
ENSP00000393392	ENSG00000166866	Homo_sapiens
ENSGGOP00000012813	ENSGGOG00000013125	Gorilla_gorilla
ENSPTRP00000008697	ENSPTRG00000005118	Pan_troglodytes
ENSPPAP00000018284	ENSPPAG00000032265	Pan_paniscus
ENSPPYP00000005328	ENSPPYG00000004677	Pongo_abelii
