ENSKMAP00000008740	ENSKMAG00000006458	Kryptolebias_marmoratus
ENSFHEP00000003350	ENSFHEG00000004211	Fundulus_heteroclitus
ENSMZEP00005002042	ENSMZEG00005000467	Maylandia_zebra
ENSACLP00000004527	ENSACLG00000003041	Astatotilapia_calliptera
ENSHBUP00000020954	ENSHBUG00000023238	Haplochromis_burtoni
ENSPNYP00000029298	ENSPNYG00000021924	Pundamilia_nyererei
ENSONIP00000014999	ENSONIG00000011914	Oreochromis_niloticus
ENSNBRP00000015011	ENSNBRG00000011515	Neolamprologus_brichardi
ENSACIP00000001223	ENSACIG00000000974	Amphilophus_citrinellus
ENSORLP00015001465	ENSORLG00015002066	Oryzias_latipes_ASM223469v1
ENSORLP00000008667	ENSORLG00000006898	Oryzias_latipes_ASM223467v1
ENSOMEP00000033465	ENSOMEG00000019530	Oryzias_melastigma
ENSAOCP00000009106	ENSAOCG00000013191	Amphiprion_ocellaris
ENSAPOP00000023848	ENSAPOG00000005912	Acanthochromis_polyacanthus
ENSSPAP00000010291	ENSSPAG00000007758	Stegastes_partitus
ENSCGOP00000046596	ENSCGOG00000020937	Cottoperca_gobio
ENSGACP00000011155	ENSGACG00000008441	Gasterosteus_aculeatus
ENSLCRP00005019963	ENSLCRG00005008155	Larimichthys_crocea
ENSPMGP00000028956	ENSPMGG00000023304	Periophthalmus_magnuspinnatus
ENSGMOP00000008843	ENSGMOG00000008270	Gadus_morhua
ENSHHUP00000087096	ENSHHUG00000050369	Hucho_hucho
ENSELUP00000032868	ENSELUG00000010953	Esox_lucius
ENSPNAP00000018624	ENSPNAG00000025077	Pygocentrus_nattereri
ENSEEEP00000009192	ENSEEEG00000004725	Electrophorus_electricus
ENSNSUP00000001365	ENSNSUG00000001194	Notechis_scutatus
ENSNSUP00000016521	ENSNSUG00000012187	Notechis_scutatus
ENSPVIP00000008928	ENSPVIG00000007165	Pogona_vitticeps
ENSSMRP00000016034	ENSSMRG00000012468	Salvator_merianae
ENSSMRP00000016023	ENSSMRG00000012440	Salvator_merianae
ENSSMRP00000016033	ENSSMRG00000012467	Salvator_merianae
ENSPVIP00000008937	ENSPVIG00000007167	Pogona_vitticeps
ENSNSUP00000001352	ENSNSUG00000001185	Notechis_scutatus
ENSSMRP00000016032	ENSSMRG00000012466	Salvator_merianae
ENSPVIP00000008925	ENSPVIG00000007163	Pogona_vitticeps
ENSSMRP00000016038	ENSSMRG00000012473	Salvator_merianae
ENSSMRP00000015998	ENSSMRG00000012438	Salvator_merianae
ENSNSUP00000002967	ENSNSUG00000002435	Notechis_scutatus
ENSNSUP00000001358	ENSNSUG00000001186	Notechis_scutatus
ENSPVIP00000008926	ENSPVIG00000007164	Pogona_vitticeps
ENSACAP00000016959	ENSACAG00000017231	Anolis_carolinensis
ENSSMRP00000016035	ENSSMRG00000012469	Salvator_merianae
ENSPVIP00000008957	ENSPVIG00000007174	Pogona_vitticeps
ENSACAP00000016949	ENSACAG00000017225	Anolis_carolinensis
ENSSMRP00000015996	ENSSMRG00000012437	Salvator_merianae
ENSSPUP00000021449	ENSSPUG00000016488	Sphenodon_punctatus
ENSARWP00000019219	ENSARWG00000013184	Apteryx_rowi	ENSARWT00000021824
ENSAHAP00000003699	ENSAHAG00000002834	Apteryx_haastii	ENSAHAT00000004166
ENSAOWP00000005400	ENSAOWG00000003731	Apteryx_owenii	ENSAOWT00000006144
ENSDNVP00000005730	ENSDNVG00000004097	Dromaius_novaehollandiae	ENSDNVT00000006912
ENSNPEP00000016458	ENSNPEG00000012263	Nothoprocta_perdicaria	ENSNPET00000016864
ENSABRP00000024332	ENSABRG00000020449	Anser_brachyrhynchus
ENSAPLP00000012285	ENSAPLG00000012509	Anas_platyrhynchos_platyrhynchos
ENSGALP00000043678	ENSGALG00000036550	Gallus_gallus
ENSMGAP00000011073	ENSMGAG00000010659	Meleagris_gallopavo
ENSCJPP00005025114	ENSCJPG00005019744	Coturnix_japonica
ENSNMEP00000014718	ENSNMEG00000013157	Numida_meleagris
ENSCPGP00000027628	ENSCPGG00000019050	Calidris_pygmaea
ENSCPUP00000007658	ENSCPUG00000005524	Calidris_pugnax
ENSFALP00000002181	ENSFALG00000002099	Ficedula_albicollis
ENSSCAP00000010129	ENSSCAG00000007677	Serinus_canaria
ENSTGUP00000003491	ENSTGUG00000003391	Taeniopygia_guttata
ENSLSDP00000022673	ENSLSDG00000016024	Lonchura_striata_domestica
ENSJHYP00000022070	ENSJHYG00000016649	Junco_hyemalis
ENSCCEP00000024975	ENSCCEG00000022112	Cyanistes_caeruleus
ENSPMJP00000019669	ENSPMJG00000014701	Parus_major
ENSMVIP00005002129	ENSMVIG00005001675	Manacus_vitellinus
ENSLCOP00000004878	ENSLCOG00000003683	Lepidothrix_coronata
ENSMUNP00000021074	ENSMUNG00000015973	Melopsittacus_undulatus
ENSCPRP00005002790	ENSCPRG00005002037	Crocodylus_porosus
ENSGAGP00000012986	ENSGAGG00000009971	Gopherus_agassizii
ENSCABP00000003237	ENSCABG00000002482	Chelonoidis_abingdonii
ENSCPBP00000027449	ENSCPBG00000019421	Chrysemys_picta_bellii
ENSPSIP00000018948	ENSPSIG00000016842	Pelodiscus_sinensis
ENSXETP00000046850	ENSXETG00000019127	Xenopus_tropicalis
ENSCMIP00000012435	ENSCMIG00000006320	Callorhinchus_milii
