ENSPMAP00000006720	ENSPMAG00000006079	Petromyzon_marinus	ENSPMAT00000006750
ENSEBUP00000002678	ENSEBUG00000002041	Eptatretus_burgeri	ENSEBUT00000003035
ENSPMAP00000001907	ENSPMAG00000001743	Petromyzon_marinus	ENSPMAT00000001917
ENSEBUP00000006375	ENSEBUG00000004216	Eptatretus_burgeri	ENSEBUT00000006831
ENSEBUP00000000877	ENSEBUG00000000900	Eptatretus_burgeri
ENSCHAP00000026713	ENSCHAG00000012943	Clupea_harengus	ENSCHAT00000029047
ENSDCDP00000039986	ENSDCDG00000026418	Denticeps_clupeoides	ENSDCDT00000050877
ENSAMXP00005007659	ENSAMXG00005004568	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000033669	ENSAMXG00000040060	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000026532	ENSPNAG00000001952	Pygocentrus_nattereri
ENSEEEP00000030928	ENSEEEG00000014797	Electrophorus_electricus
ENSIPUP00000004220	ENSIPUG00000002959	Ictalurus_punctatus
ENSDARP00000139055	ENSDARG00000052556	Danio_rerio
ENSHHUP00000006219	ENSHHUG00000003840	Hucho_hucho
ENSHHUP00000001045	ENSHHUG00000000725	Hucho_hucho
ENSHHUP00000051760	ENSHHUG00000031144	Hucho_hucho
ENSELUP00000014146	ENSELUG00000014184	Esox_lucius
ENSSFOP00015003622	ENSSFOG00015002361	Scleropages_formosus
ENSPKIP00000002758	ENSPKIG00000020528	Paramormyrops_kingsleyae
ENSLOCP00000014867	ENSLOCG00000012085	Lepisosteus_oculatus
ENSECRP00000014056	ENSECRG00000009370	Erpetoichthys_calabaricus
ENSLACP00000009347	ENSLACG00000008246	Latimeria_chalumnae
ENSCMIP00000047549	ENSCMIG00000019475	Callorhinchus_milii
ENSPVIP00000010869	ENSPVIG00000008560	Pogona_vitticeps
ENSACAP00000011314	ENSACAG00000011540	Anolis_carolinensis
ENSSMRP00000029647	ENSSMRG00000022790	Salvator_merianae
ENSSPUP00000009414	ENSSPUG00000007318	Sphenodon_punctatus
ENSAHAP00000006439	ENSAHAG00000004855	Apteryx_haastii
ENSARWP00000018068	ENSARWG00000012422	Apteryx_rowi
ENSAOWP00000010674	ENSAOWG00000007346	Apteryx_owenii
ENSDNVP00000017242	ENSDNVG00000012065	Dromaius_novaehollandiae
ENSNPEP00000001312	ENSNPEG00000001029	Nothoprocta_perdicaria
ENSCPGP00000013507	ENSCPGG00000009587	Calidris_pygmaea
ENSCPUP00000010752	ENSCPUG00000007637	Calidris_pugnax
ENSMUNP00000001531	ENSMUNG00000001309	Melopsittacus_undulatus
ENSABRP00000010159	ENSABRG00000009111	Anser_brachyrhynchus
ENSAPLP00000019353	ENSAPLG00000014983	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000013826	ENSMGAG00000013106	Meleagris_gallopavo
ENSCJPP00005004971	ENSCJPG00005004823	Coturnix_japonica
ENSGALP00000057609	ENSGALG00000037525	Gallus_gallus
ENSNMEP00000001243	ENSNMEG00000001655	Numida_meleagris
ENSMVIP00005000013	ENSMVIG00005000018	Manacus_vitellinus
ENSLCOP00000018761	ENSLCOG00000013273	Lepidothrix_coronata
ENSTGUP00000011021	ENSTGUG00000010690	Taeniopygia_guttata
ENSLSDP00000000351	ENSLSDG00000000298	Lonchura_striata_domestica
ENSPMJP00000022681	ENSPMJG00000016781	Parus_major
ENSCCEP00000027535	ENSCCEG00000024037	Cyanistes_caeruleus
ENSSCAP00000020772	ENSSCAG00000014969	Serinus_canaria
ENSZALP00000014507	ENSZALG00000012053	Zonotrichia_albicollis
ENSJHYP00000017806	ENSJHYG00000013599	Junco_hyemalis
ENSFALP00000010504	ENSFALG00000010071	Ficedula_albicollis
ENSCPRP00005001520	ENSCPRG00005001162	Crocodylus_porosus
ENSGAGP00000012963	ENSGAGG00000009949	Gopherus_agassizii
ENSCABP00000031235	ENSCABG00000022823	Chelonoidis_abingdonii
ENSCPBP00000001233	ENSCPBG00000001000	Chrysemys_picta_bellii
ENSPSIP00000010619	ENSPSIG00000009605	Pelodiscus_sinensis
ENSXETP00000050166	ENSXETG00000020685	Xenopus_tropicalis
ENSHHUP00000067984	ENSHHUG00000040083	Hucho_hucho
ENSELUP00000012913	ENSELUG00000013111	Esox_lucius
ENSGMOP00000018415	ENSGMOG00000017142	Gadus_morhua
ENSLBEP00000020570	ENSLBEG00000015755	Labrus_bergylta
ENSHHUP00000038809	ENSHHUG00000024171	Hucho_hucho
ENSCHAP00000011398	ENSCHAG00000006438	Clupea_harengus
ENSMMOP00000005369	ENSMMOG00000004248	Mola_mola
ENSTRUP00000038805	ENSTRUG00000015192	Takifugu_rubripes
ENSLCRP00005039647	ENSLCRG00005015331	Larimichthys_crocea
ENSCGOP00000021413	ENSCGOG00000010315	Cottoperca_gobio
ENSMALP00000012298	ENSMALG00000008719	Monopterus_albus
ENSMAMP00000026503	ENSMAMG00000017810	Mastacembelus_armatus
ENSATEP00000004700	ENSATEG00000003292	Anabas_testudineus
ENSSMAP00000017146	ENSSMAG00000010509	Scophthalmus_maximus
ENSCSEP00000005217	ENSCSEG00000003362	Cynoglossus_semilaevis
ENSSLDP00000032054	ENSSLDG00000024618	Seriola_lalandi_dorsalis
ENSSDUP00000003518	ENSSDUG00000002673	Seriola_dumerili
ENSLCAP00010035700	ENSLCAG00010016740	Lates_calcarifer
ENSAPEP00000003611	ENSAPEG00000002453	Amphiprion_percula
ENSAOCP00000000442	ENSAOCG00000003274	Amphiprion_ocellaris
ENSAPOP00000006224	ENSAPOG00000008028	Acanthochromis_polyacanthus
ENSSPAP00000028265	ENSSPAG00000021286	Stegastes_partitus
ENSPRNP00000019135	ENSPRNG00000010009	Parambassis_ranga
ENSPNYP00000027300	ENSPNYG00000020579	Pundamilia_nyererei
ENSHBUP00000021440	ENSHBUG00000023874	Haplochromis_burtoni
ENSACLP00000013020	ENSACLG00000008895	Astatotilapia_calliptera
ENSMZEP00005001048	ENSMZEG00005000881	Maylandia_zebra
ENSNBRP00000018636	ENSNBRG00000014355	Neolamprologus_brichardi
ENSONIP00000001315	ENSONIG00000001038	Oreochromis_niloticus
ENSACIP00000028272	ENSACIG00000021910	Amphilophus_citrinellus
ENSKMAP00000014555	ENSKMAG00000010924	Kryptolebias_marmoratus
ENSCVAP00000024221	ENSCVAG00000008166	Cyprinodon_variegatus
ENSORLP00020006090	ENSORLG00020006933	Oryzias_latipes_ASM223471v1
ENSORLP00000030183	ENSORLG00000000305	Oryzias_latipes_ASM223467v1
ENSORLP00015015127	ENSORLG00015016006	Oryzias_latipes_ASM223469v1
ENSOMEP00000028678	ENSOMEG00000011920	Oryzias_melastigma
ENSGWIP00000044767	ENSGWIG00000022248	Gouania_willdenowi
ENSPMGP00000020265	ENSPMGG00000016411	Periophthalmus_magnuspinnatus
ENSBSLP00000033059	ENSBSLG00000016120	Betta_splendens
ENSGACP00000021684	ENSGACG00000016426	Gasterosteus_aculeatus
ENSPFOP00000030954	ENSPFOG00000003381	Poecilia_formosa
ENSPMEP00000002151	ENSPMEG00000003171	Poecilia_mexicana
ENSPLAP00000012070	ENSPLAG00000015312	Poecilia_latipinna
ENSPREP00000015948	ENSPREG00000010756	Poecilia_reticulata
ENSGAFP00000024627	ENSGAFG00000016614	Gambusia_affinis
ENSXCOP00000018960	ENSXCOG00000014261	Xiphophorus_couchianus
ENSXMAP00000040704	ENSXMAG00000027004	Xiphophorus_maculatus
ENSFHEP00000005656	ENSFHEG00000006658	Fundulus_heteroclitus
ENSHCOP00000005396	ENSHCOG00000007058	Hippocampus_comes
ENSAMXP00005032771	ENSAMXG00005015949	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000034413	ENSAMXG00000033222	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000034035	ENSPNAG00000023061	Pygocentrus_nattereri
ENSEEEP00000036259	ENSEEEG00000017244	Electrophorus_electricus
