ENSPKIP00000002451	ENSPKIG00000020325	Paramormyrops_kingsleyae
ENSSFOP00015005553	ENSSFOG00015003629	Scleropages_formosus
ENSAMXP00000012971	ENSAMXG00000012619	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005042680	ENSAMXG00005019923	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006496	ENSPNAG00000012514	Pygocentrus_nattereri
ENSIPUP00000000094	ENSIPUG00000000095	Ictalurus_punctatus
ENSEEEP00000051283	ENSEEEG00000024062	Electrophorus_electricus
ENSDARP00000137879	ENSDARG00000101831	Danio_rerio
ENSCHAP00000021972	ENSCHAG00000011027	Clupea_harengus
ENSDCDP00000056340	ENSDCDG00000033125	Denticeps_clupeoides
ENSFHEP00000024547	ENSFHEG00000006196	Fundulus_heteroclitus
ENSCVAP00000024512	ENSCVAG00000008606	Cyprinodon_variegatus
ENSPREP00000016435	ENSPREG00000011131	Poecilia_reticulata
ENSPMEP00000015914	ENSPMEG00000018508	Poecilia_mexicana
ENSPFOP00000016690	ENSPFOG00000016622	Poecilia_formosa
ENSPLAP00000008182	ENSPLAG00000010691	Poecilia_latipinna
ENSXMAP00000024644	ENSXMAG00000022002	Xiphophorus_maculatus
ENSXCOP00000010882	ENSXCOG00000008220	Xiphophorus_couchianus
ENSGAFP00000000525	ENSGAFG00000000386	Gambusia_affinis
ENSKMAP00000026706	ENSKMAG00000019814	Kryptolebias_marmoratus
ENSORLP00015025390	ENSORLG00015006469	Oryzias_latipes_ASM223469v1
ENSORLP00020000021	ENSORLG00020022658	Oryzias_latipes_ASM223471v1
ENSORLP00000006499	ENSORLG00000005157	Oryzias_latipes_ASM223467v1
ENSOMEP00000012488	ENSOMEG00000013869	Oryzias_melastigma
ENSGWIP00000019317	ENSGWIG00000010582	Gouania_willdenowi
ENSSMAP00000006226	ENSSMAG00000003852	Scophthalmus_maximus
ENSBSLP00000038793	ENSBSLG00000018830	Betta_splendens
ENSMAMP00000035770	ENSMAMG00000024027	Mastacembelus_armatus
ENSMALP00000026727	ENSMALG00000018546	Monopterus_albus
ENSATEP00000035177	ENSATEG00000024177	Anabas_testudineus
ENSCGOP00000040979	ENSCGOG00000018630	Cottoperca_gobio
ENSGACP00000008692	ENSGACG00000006572	Gasterosteus_aculeatus
ENSLCRP00005047175	ENSLCRG00005017890	Larimichthys_crocea
ENSLBEP00000028776	ENSLBEG00000021794	Labrus_bergylta
ENSSLDP00000025505	ENSSLDG00000019846	Seriola_lalandi_dorsalis
ENSSDUP00000020546	ENSSDUG00000014947	Seriola_dumerili
ENSLCAP00010039998	ENSLCAG00010018670	Lates_calcarifer
ENSAOCP00000031684	ENSAOCG00000023502	Amphiprion_ocellaris
ENSAPEP00000021463	ENSAPEG00000015338	Amphiprion_percula
ENSAPOP00000016428	ENSAPOG00000000556	Acanthochromis_polyacanthus
ENSSPAP00000008962	ENSSPAG00000006837	Stegastes_partitus
ENSPRNP00000004806	ENSPRNG00000002687	Parambassis_ranga
ENSHBUP00000024116	ENSHBUG00000005321	Haplochromis_burtoni
ENSPNYP00000010944	ENSPNYG00000008294	Pundamilia_nyererei
ENSMZEP00005002124	ENSMZEG00005001700	Maylandia_zebra
ENSACLP00000024391	ENSACLG00000016599	Astatotilapia_calliptera
ENSONIP00000008972	ENSONIG00000007113	Oreochromis_niloticus
ENSACIP00000018106	ENSACIG00000014076	Amphilophus_citrinellus
ENSCSEP00000006129	ENSCSEG00000003947	Cynoglossus_semilaevis
ENSTRUP00000018489	ENSTRUG00000007467	Takifugu_rubripes
ENSMMOP00000011091	ENSMMOG00000008554	Mola_mola
ENSNBRP00000012035	ENSNBRG00000009359	Neolamprologus_brichardi
ENSHCOP00000017271	ENSHCOG00000000932	Hippocampus_comes
ENSPMGP00000009640	ENSPMGG00000007985	Periophthalmus_magnuspinnatus
ENSGMOP00000007088	ENSGMOG00000006669	Gadus_morhua
ENSHHUP00000010650	ENSHHUG00000006506	Hucho_hucho
ENSHHUP00000010628	ENSHHUG00000006498	Hucho_hucho
ENSELUP00000002571	ENSELUG00000003928	Esox_lucius
ENSLOCP00000010749	ENSLOCG00000008834	Lepisosteus_oculatus
ENSECRP00000018240	ENSECRG00000012192	Erpetoichthys_calabaricus
ENSNSUP00000013759	ENSNSUG00000010225	Notechis_scutatus
ENSACAP00000019395	ENSACAG00000023038	Anolis_carolinensis
ENSPVIP00000013881	ENSPVIG00000010736	Pogona_vitticeps
ENSSMRP00000019917	ENSSMRG00000015517	Salvator_merianae
ENSSPUP00000010652	ENSSPUG00000008217	Sphenodon_punctatus
ENSMEUP00000004151	ENSMEUG00000004557	Notamacropus_eugenii
ENSVURP00010028099	ENSVURG00010021515	Vombatus_ursinus
ENSPCIP00000020405	ENSPCIG00000015540	Phascolarctos_cinereus
ENSSHAP00000015802	ENSSHAG00000013463	Sarcophilus_harrisii
ENSMODP00000001759	ENSMODG00000001451	Monodelphis_domestica
ENSGAGP00000027982	ENSGAGG00000020323	Gopherus_agassizii
ENSCABP00000024137	ENSCABG00000017791	Chelonoidis_abingdonii
ENSCPBP00000000260	ENSCPBG00000000245	Chrysemys_picta_bellii
ENSPSIP00000019036	ENSPSIG00000016915	Pelodiscus_sinensis
ENSLSDP00000024389	ENSLSDG00000017104	Lonchura_striata_domestica
ENSJHYP00000017984	ENSJHYG00000013710	Junco_hyemalis
ENSTGUP00000008767	ENSTGUG00000008517	Taeniopygia_guttata
ENSSCAP00000008929	ENSSCAG00000006799	Serinus_canaria
ENSCCEP00000000421	ENSCCEG00000000577	Cyanistes_caeruleus
ENSPMJP00000018494	ENSPMJG00000013883	Parus_major
ENSFALP00000005445	ENSFALG00000005225	Ficedula_albicollis
ENSZALP00000001849	ENSZALG00000002227	Zonotrichia_albicollis
ENSMVIP00005004163	ENSMVIG00005003209	Manacus_vitellinus
ENSMVIP00005008831	ENSMVIG00005006531	Manacus_vitellinus
ENSLCOP00000015405	ENSLCOG00000010991	Lepidothrix_coronata
ENSMUNP00000002893	ENSMUNG00000002527	Melopsittacus_undulatus
ENSCPGP00000002971	ENSCPGG00000002203	Calidris_pygmaea
ENSCPUP00000007934	ENSCPUG00000005732	Calidris_pugnax
ENSAPLP00000018353	ENSAPLG00000021490	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004260	ENSABRG00000003932	Anser_brachyrhynchus
ENSGALP00000055830	ENSGALG00000030991	Gallus_gallus
ENSCJPP00005018182	ENSCJPG00005014800	Coturnix_japonica
ENSNMEP00000009315	ENSNMEG00000009050	Numida_meleagris
ENSARWP00000017482	ENSARWG00000012023	Apteryx_rowi
ENSAHAP00000000085	ENSAHAG00000000109	Apteryx_haastii
ENSAOWP00000020220	ENSAOWG00000013685	Apteryx_owenii
ENSDNVP00000017906	ENSDNVG00000012515	Dromaius_novaehollandiae
ENSNPEP00000021213	ENSNPEG00000015734	Nothoprocta_perdicaria
ENSXETP00000016574	ENSXETG00000003064	Xenopus_tropicalis
ENSLAFP00000010039	ENSLAFG00000012017	Loxodonta_africana
ENSPCAP00000003017	ENSPCAG00000003248	Procavia_capensis
