ENSSLDP00000026985	ENSSLDG00000020970	Seriola_lalandi_dorsalis
ENSHHUP00000005801	ENSHHUG00000003454	Hucho_hucho
ENSPSMP00000008722	ENSPSMG00000006403	Prolemur_simus
ENSACAP00000013016	ENSACAG00000013123	Anolis_carolinensis	ENSACAT00000013275
ENSHGLP00000020231	ENSHGLG00000014474	Heterocephalus_glaber_HetGla_female_1.0
ENSCAFP00000008961	ENSCAFG00000005973	Canis_lupus_familiaris
ENSHHUP00000032724	ENSHHUG00000020721	Hucho_hucho
ENSMAUP00000003139	ENSMAUG00000003142	Mesocricetus_auratus
ENSXMAP00000004349	ENSXMAG00000021118	Xiphophorus_maculatus
MGP_SPRETEiJ_P0081835	MGP_SPRETEiJ_G0030580	Mus_spretus_strain_SPRET/EiJ
ENSAMXP00000040517	ENSAMXG00000031508	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLAFP00000029413	ENSLAFG00000006854	Loxodonta_africana
ENSCPBP00000027942	ENSCPBG00000019710	Chrysemys_picta_bellii
ENSSDAP00000005589	ENSSDAG00000005163	Spermophilus_dauricus
ENSGAGP00000018287	ENSGAGG00000013522	Gopherus_agassizii	ENSGAGT00000020838
ENSCATP00000027517	ENSCATG00000037119	Cercocebus_atys
ENSGACP00000012888	ENSGACG00000009761	Gasterosteus_aculeatus
ENSSSCP00000062428	ENSSSCG00000049428	Sus_scrofa_strain_reference
ENSVVUP00000018242	ENSVVUG00000013260	Vulpes_vulpes
ENSCAFP00020022728	ENSCAFG00020017934	Canis_lupus_dingo
ENSGMOP00000008650	ENSGMOG00000008076	Gadus_morhua
ENSFHEP00000024682	ENSFHEG00000006398	Fundulus_heteroclitus
ENSFDAP00000007460	ENSFDAG00000015993	Fukomys_damarensis
ENSMICP00000004018	ENSMICG00000004406	Microcebus_murinus
ENSUMAP00000025169	ENSUMAG00000018238	Ursus_maritimus
ENSVURP00010026909	ENSVURG00010020242	Vombatus_ursinus
ENSPNAP00000011097	ENSPNAG00000016717	Pygocentrus_nattereri
ENSEASP00005003186	ENSEASG00005002464	Equus_asinus_asinus
ENSMNEP00000027448	ENSMNEG00000037061	Macaca_nemestrina
ENSMMOP00000016398	ENSMMOG00000012510	Mola_mola
ENSMODP00000053286	ENSMODG00000013113	Monodelphis_domestica
ENSSARP00000000393	ENSSARG00000000433	Sorex_araneus
ENSCAPP00000005386	ENSCAPG00000007678	Cavia_aperea
ENSSHAP00000006569	ENSSHAG00000005717	Sarcophilus_harrisii
ENSXCOP00000016746	ENSXCOG00000012619	Xiphophorus_couchianus
ENSOANP00000020849	ENSOANG00000013196	Ornithorhynchus_anatinus
ENSCGOP00000019773	ENSCGOG00000009564	Cottoperca_gobio
ENSCVAP00000022354	ENSCVAG00000004984	Cyprinodon_variegatus
ENSPPYP00000011111	ENSPPYG00000009923	Pongo_abelii
ENSMOCP00000019053	ENSMOCG00000017151	Microtus_ochrogaster
ENSPMGP00000017266	ENSPMGG00000014134	Periophthalmus_magnuspinnatus
ENSCHIP00000011151	ENSCHIG00000013381	Capra_hircus
ENSGGOP00000006369	ENSGGOG00000006506	Gorilla_gorilla
ENSCHAP00000035498	ENSCHAG00000016813	Clupea_harengus
ENSPKIP00000029853	ENSPKIG00000010934	Paramormyrops_kingsleyae
ENSMALP00000017228	ENSMALG00000012042	Monopterus_albus
ENSMEUP00000008719	ENSMEUG00000009550	Notamacropus_eugenii
ENSMMUP00000004656	ENSMMUG00000003492	Macaca_mulatta
ENSAMEP00000011172	ENSAMEG00000010583	Ailuropoda_melanoleuca
ENSMLEP00000006987	ENSMLEG00000027317	Mandrillus_leucophaeus
ENSPPAP00000038950	ENSPPAG00000042170	Pan_paniscus
ENSPCIP00000048231	ENSPCIG00000019486	Phascolarctos_cinereus
ENSGALP00000066407	ENSGALG00000052939	Gallus_gallus
ENSCCAP00000039872	ENSCCAG00000037736	Cebus_capucinus_imitator
ENSPMEP00000010809	ENSPMEG00000012789	Poecilia_mexicana
ENSPRNP00000006993	ENSPRNG00000004158	Parambassis_ranga
ENSORLP00015024664	ENSORLG00015005352	Oryzias_latipes_ASM223469v1
ENSPREP00000000968	ENSPREG00000000759	Poecilia_reticulata
ENSCPUP00000005655	ENSCPUG00000004137	Calidris_pugnax
ENSONIP00000004639	ENSONIG00000003689	Oreochromis_niloticus
ENSOCUP00000008119	ENSOCUG00000009410	Oryctolagus_cuniculus
ENSCMIP00000012756	ENSCMIG00000006469	Callorhinchus_milii
ENSPANP00000003849	ENSPANG00000006734	Papio_anubis
ENSXCOP00000010441	ENSXCOG00000007911	Xiphophorus_couchianus
ENSOARP00000005932	ENSOARG00000005522	Ovis_aries
ENSNGAP00000002747	ENSNGAG00000002504	Nannospalax_galili
ENSLCRP00005007360	ENSLCRG00005003625	Larimichthys_crocea
ENSAMXP00005012847	ENSAMXG00005006885	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000008438	ENSORLG00000006721	Oryzias_latipes_ASM223467v1
ENSPVAP00000014373	ENSPVAG00000015247	Pteropus_vampyrus
ENSDORP00000004221	ENSDORG00000004510	Dipodomys_ordii
ENSSDUP00000025348	ENSSDUG00000018397	Seriola_dumerili
ENSPNAP00000013545	ENSPNAG00000019408	Pygocentrus_nattereri
ENSDCDP00000059572	ENSDCDG00000034378	Denticeps_clupeoides
ENSMSIP00000028023	ENSMSIG00000023586	Mus_spicilegus
ENSSSCP00000056315	ENSSSCG00000002950	Sus_scrofa_strain_reference
ENSTTRP00000008623	ENSTTRG00000009088	Tursiops_truncatus
ENSMAMP00000017065	ENSMAMG00000011563	Mastacembelus_armatus
ENSAPLP00000017245	ENSAPLG00000027195	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000003798	ENSLCOG00000002867	Lepidothrix_coronata
ENSODEP00000022443	ENSODEG00000016468	Octodon_degus
ENSCGRP00000015715	ENSCGRG00000011391	Cricetulus_griseus_CriGri_1.0
ENSDNVP00000007801	ENSDNVG00000005296	Dromaius_novaehollandiae
ENSAHAP00000006945	ENSAHAG00000005100	Apteryx_haastii
ENSRNOP00000041787	ENSRNOG00000020703	Rattus_norvegicus
ENSSBOP00000013119	ENSSBOG00000023332	Saimiri_boliviensis_boliviensis
ENSABRP00000005565	ENSABRG00000005190	Anser_brachyrhynchus
ENSBIXP00000010777	ENSBIXG00000016202	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000003430	ENSVPAG00000003698	Vicugna_pacos
ENSSPAP00000014557	ENSSPAG00000011001	Stegastes_partitus
ENSOGAP00000018269	ENSOGAG00000031845	Otolemur_garnettii
ENSRBIP00000029665	ENSRBIG00000038710	Rhinopithecus_bieti
ENSPVIP00000026666	ENSPVIG00000019878	Pogona_vitticeps	ENSPVIT00000032841
ENSNBRP00000005221	ENSNBRG00000003799	Neolamprologus_brichardi
ENSNVIP00000010354	ENSNVIG00000008144	Neovison_vison
