ENSPKIP00000009869	ENSPKIG00000024803	Paramormyrops_kingsleyae
ENSSFOP00015001076	ENSSFOG00015000791	Scleropages_formosus
ENSCHAP00000007788	ENSCHAG00000004799	Clupea_harengus
ENSDCDP00000037658	ENSDCDG00000025183	Denticeps_clupeoides
ENSAMXP00000041831	ENSAMXG00000031750	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005007302	ENSAMXG00005004374	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000018955	ENSEEEG00000009293	Electrophorus_electricus
ENSAOCP00000006698	ENSAOCG00000010371	Amphiprion_ocellaris
ENSAOCP00000027641	ENSAOCG00000016701	Amphiprion_ocellaris
ENSAPEP00000024851	ENSAPEG00000017672	Amphiprion_percula
ENSAPOP00000004012	ENSAPOG00000005589	Acanthochromis_polyacanthus
ENSSPAP00000030044	ENSSPAG00000022579	Stegastes_partitus
ENSGWIP00000054496	ENSGWIG00000026041	Gouania_willdenowi
ENSFHEP00000030281	ENSFHEG00000015505	Fundulus_heteroclitus
ENSCVAP00000014919	ENSCVAG00000017658	Cyprinodon_variegatus
ENSXMAP00000014958	ENSXMAG00000014931	Xiphophorus_maculatus
ENSXCOP00000024288	ENSXCOG00000018135	Xiphophorus_couchianus
ENSPFOP00000018198	ENSPFOG00000018106	Poecilia_formosa
ENSPLAP00000004720	ENSPLAG00000006450	Poecilia_latipinna
ENSPMEP00000029241	ENSPMEG00000014835	Poecilia_mexicana
ENSPREP00000000948	ENSPREG00000000732	Poecilia_reticulata
ENSGAFP00000019770	ENSGAFG00000013368	Gambusia_affinis
ENSKMAP00000019164	ENSKMAG00000014248	Kryptolebias_marmoratus
ENSORLP00000010829	ENSORLG00000008633	Oryzias_latipes_ASM223467v1
ENSORLP00015021033	ENSORLG00015000799	Oryzias_latipes_ASM223469v1
ENSORLP00020021231	ENSORLG00020022473	Oryzias_latipes_ASM223471v1
ENSOMEP00000031819	ENSOMEG00000016872	Oryzias_melastigma
ENSCGOP00000026716	ENSCGOG00000012591	Cottoperca_gobio
ENSGACP00000001834	ENSGACG00000001415	Gasterosteus_aculeatus
ENSLBEP00000018372	ENSLBEG00000014168	Labrus_bergylta
ENSMALP00000023365	ENSMALG00000016284	Monopterus_albus
ENSMAMP00000030504	ENSMAMG00000020570	Mastacembelus_armatus
ENSATEP00000001870	ENSATEG00000001336	Anabas_testudineus
ENSBSLP00000048100	ENSBSLG00000022903	Betta_splendens
ENSHBUP00000002779	ENSHBUG00000004005	Haplochromis_burtoni
ENSPNYP00000008433	ENSPNYG00000006463	Pundamilia_nyererei
ENSACLP00000025598	ENSACLG00000017423	Astatotilapia_calliptera
ENSMZEP00005025879	ENSMZEG00005019303	Maylandia_zebra
ENSNBRP00000014560	ENSNBRG00000011265	Neolamprologus_brichardi
ENSONIP00000019766	ENSONIG00000015706	Oreochromis_niloticus
ENSACIP00000008420	ENSACIG00000006619	Amphilophus_citrinellus
ENSPRNP00000035882	ENSPRNG00000017958	Parambassis_ranga
ENSLCAP00010043158	ENSLCAG00010020124	Lates_calcarifer
ENSCSEP00000014271	ENSCSEG00000009184	Cynoglossus_semilaevis
ENSSLDP00000016518	ENSSLDG00000013106	Seriola_lalandi_dorsalis
ENSSDUP00000019338	ENSSDUG00000014100	Seriola_dumerili
ENSLCRP00005007061	ENSLCRG00005003512	Larimichthys_crocea
ENSSMAP00000013054	ENSSMAG00000008035	Scophthalmus_maximus
ENSHCOP00000026980	ENSHCOG00000018401	Hippocampus_comes
