ENSHBUP00000024972	ENSHBUG00000006740	Haplochromis_burtoni
ENSLAFP00000012124	ENSLAFG00000014466	Loxodonta_africana	ENSLAFT00000014468
ENSOMEP00000020474	ENSOMEG00000022351	Oryzias_melastigma
ENSSMAP00000004416	ENSSMAG00000002727	Scophthalmus_maximus
ENSGAFP00000021650	ENSGAFG00000014585	Gambusia_affinis
ENSAMXP00000017406	ENSAMXG00000016910	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBTAP00000064940	ENSBTAG00000021284	Bos_taurus
ENSECRP00000014532	ENSECRG00000009697	Erpetoichthys_calabaricus
ENSPLAP00000013430	ENSPLAG00000016922	Poecilia_latipinna
ENSTSYP00000030744	ENSTSYG00000025941	Carlito_syrichta
ENSSCAP00000015014	ENSSCAG00000011006	Serinus_canaria
ENSECRP00000005277	ENSECRG00000003570	Erpetoichthys_calabaricus
ENSNVIP00000007422	ENSNVIG00000005890	Neovison_vison
ENSCINP00000012862	ENSCING00000006238	Ciona_intestinalis
ENSOPRP00000013869	ENSOPRG00000015191	Ochotona_princeps
ENSCSEP00000004644	ENSCSEG00000003009	Cynoglossus_semilaevis
ENSAMEP00000002050	ENSAMEG00000001940	Ailuropoda_melanoleuca
ENSCMIP00000042991	ENSCMIG00000017856	Callorhinchus_milii
ENSVVUP00000022889	ENSVVUG00000016755	Vulpes_vulpes
ENSCVAP00000007303	ENSCVAG00000008939	Cyprinodon_variegatus
ENSCGRP00000010355	ENSCGRG00000007591	Cricetulus_griseus_CriGri_1.0
ENSNSUP00000009605	ENSNSUG00000007352	Notechis_scutatus
ENSTNIP00000014476	ENSTNIG00000011526	Tetraodon_nigroviridis
ENSACIP00000000750	ENSACIG00000000594	Amphilophus_citrinellus
ENSEEEP00000024963	ENSEEEG00000012107	Electrophorus_electricus
ENSAOCP00000006367	ENSAOCG00000009992	Amphiprion_ocellaris
ENSPSIP00000015371	ENSPSIG00000013753	Pelodiscus_sinensis
ENSMMOP00000027365	ENSMMOG00000020696	Mola_mola
ENSMLEP00000012663	ENSMLEG00000030513	Mandrillus_leucophaeus
ENSORLP00000016385	ENSORLG00000013075	Oryzias_latipes_ASM223467v1
ENSBBBP00000020516	ENSBBBG00000007983	Bison_bison_bison
ENSAPOP00000002119	ENSAPOG00000003483	Acanthochromis_polyacanthus
ENSPPAP00000019572	ENSPPAG00000032996	Pan_paniscus
ENSNPEP00000012087	ENSNPEG00000009055	Nothoprocta_perdicaria
ENSXMAP00000005282	ENSXMAG00000005275	Xiphophorus_maculatus
ENSCANP00000020572	ENSCANG00000033690	Colobus_angolensis_palliatus
ENSBIXP00000043254	ENSBIXG00000027342	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCSAVP00000009743	ENSCSAVG00000005715	Ciona_savignyi
ENSPVAP00000003887	ENSPVAG00000004107	Pteropus_vampyrus
ENSLCAP00010057831	ENSLCAG00010026987	Lates_calcarifer
ENSPREP00000026536	ENSPREG00000017932	Poecilia_reticulata
ENSPMJP00000014007	ENSPMJG00000010629	Parus_major
ENSGALP00000061331	ENSGALG00000043976	Gallus_gallus
ENSELUP00000036578	ENSELUG00000015903	Esox_lucius
ENSVPAP00000002810	ENSVPAG00000003037	Vicugna_pacos
ENSMFAP00000023248	ENSMFAG00000043304	Macaca_fascicularis
ENSPTIP00000017399	ENSPTIG00000015837	Panthera_tigris_altaica
ENSSTOP00000002083	ENSSTOG00000002331	Ictidomys_tridecemlineatus	ENSSTOT00000002329
FBpp0080018	FBgn0032478	Drosophila_melanogaster
ENSPCIP00000054660	ENSPCIG00000031682	Phascolarctos_cinereus	ENSPCIT00000067694
ENSHGLP00100003511	ENSHGLG00100002672	Heterocephalus_glaber_HetGla_1.0
ENSPPYP00000012786	ENSPPYG00000011454	Pongo_abelii
ENSMNEP00000036667	ENSMNEG00000041436	Macaca_nemestrina
ENSDCDP00000014257	ENSDCDG00000010650	Denticeps_clupeoides
ENSPSMP00000028968	ENSPSMG00000020122	Prolemur_simus
ENSMOCP00000004067	ENSMOCG00000003255	Microtus_ochrogaster
ENSEBUP00000012377	ENSEBUG00000007874	Eptatretus_burgeri
ENSSPUP00000017447	ENSSPUG00000013475	Sphenodon_punctatus
ENSDNVP00000008259	ENSDNVG00000005867	Dromaius_novaehollandiae
ENSFDAP00000006164	ENSFDAG00000014991	Fukomys_damarensis
ENSTRUP00000009968	ENSTRUG00000004211	Takifugu_rubripes
ENSSDUP00000017103	ENSSDUG00000012484	Seriola_dumerili
