ENSELUP00000023392	ENSELUG00000022235	Esox_lucius
ENSPMGP00000005937	ENSPMGG00000004989	Periophthalmus_magnuspinnatus
ENSCPGP00000020466	ENSCPGG00000014320	Calidris_pygmaea
ENSCPUP00000016473	ENSCPUG00000011394	Calidris_pugnax
ENSCPUP00000016476	ENSCPUG00000011395	Calidris_pugnax
ENSPVIP00000011884	ENSPVIG00000009313	Pogona_vitticeps
ENSAMXP00005049048	ENSAMXG00005022380	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000036141	ENSAMXG00000038448	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000028800	ENSAMXG00000043561	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000042416	ENSAMXG00000041257	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005050716	ENSAMXG00005022978	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000021294	ENSPKIG00000005760	Paramormyrops_kingsleyae
ENSXETP00000034898	ENSXETG00000014644	Xenopus_tropicalis
ENSAMXP00000053469	ENSAMXG00000033177	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005054628	ENSAMXG00005024423	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
