ENSMMMP00000006674	ENSMMMG00000005971	Marmota_marmota_marmota
ENSANAP00000034037	ENSANAG00000034675	Aotus_nancymaae
ENSRBIP00000023587	ENSRBIG00000035717	Rhinopithecus_bieti
ENSTSYP00000006476	ENSTSYG00000007072	Carlito_syrichta
ENSTBEP00000013174	ENSTBEG00000015184	Tupaia_belangeri
ENSBTAP00000000867	ENSBTAG00000039718	Bos_taurus
MGP_PahariEiJ_P0067929	MGP_PahariEiJ_G0026289	Mus_pahari_strain_PAHARI_EIJ
ENSPCIP00000032543	ENSPCIG00000024140	Phascolarctos_cinereus	ENSPCIT00000040024
MGP_PahariEiJ_P0067927	MGP_PahariEiJ_G0026288	Mus_pahari_strain_PAHARI_EIJ
ENSOPRP00000015457	ENSOPRG00000016936	Ochotona_princeps
ENSCSAP00000009422	ENSCSAG00000013257	Chlorocebus_sabaeus
ENSCHIP00000011846	ENSCHIG00000013859	Capra_hircus
ENSPEMP00000007237	ENSPEMG00000009252	Peromyscus_maniculatus_bairdii
ENSPCOP00000031606	ENSPCOG00000028580	Propithecus_coquereli
ENSMUSP00000141340	ENSMUSG00000103124	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010020450	ENSUPAG00010016182	Urocitellus_parryii
ENSGGOP00000031843	ENSGGOG00000036256	Gorilla_gorilla
ENSAMEP00000015367	ENSAMEG00000014584	Ailuropoda_melanoleuca
ENSOGAP00000010889	ENSOGAG00000012168	Otolemur_garnettii
ENSUMAP00000020471	ENSUMAG00000015007	Ursus_maritimus
ENSHGLP00100024138	ENSHGLG00100017728	Heterocephalus_glaber_HetGla_1.0
ENSCATP00000028739	ENSCATG00000037644	Cercocebus_atys
ENSMEUP00000005301	ENSMEUG00000005803	Notamacropus_eugenii	ENSMEUT00000005821
ENSCCNP00000015305	ENSCCNG00000015686	Castor_canadensis
ENSPPRP00000005783	ENSPPRG00000001431	Panthera_pardus
ENSMFAP00000036491	ENSMFAG00000034591	Macaca_fascicularis
