ENSNGAP00000004496	ENSNGAG00000005992	Nannospalax_galili
ENSCAPP00000010092	ENSCAPG00000011428	Cavia_aperea
ENSOPRP00000000799	ENSOPRG00000000877	Ochotona_princeps
ENSCCAP00000033665	ENSCCAG00000034846	Cebus_capucinus_imitator
ENSDNOP00000011495	ENSDNOG00000014835	Dasypus_novemcinctus
ENSLAFP00000000399	ENSLAFG00000000468	Loxodonta_africana
ENSMSIP00000038065	ENSMSIG00000031708	Mus_spicilegus
MGP_SPRETEiJ_P0046976	MGP_SPRETEiJ_G0022609	Mus_spretus_strain_SPRET/EiJ
ENSOCUP00000021945	ENSOCUG00000024944	Oryctolagus_cuniculus
ENSCLAP00000018099	ENSCLAG00000012411	Chinchilla_lanigera
ENSODEP00000022641	ENSODEG00000016620	Octodon_degus
ENSHGLP00000024326	ENSHGLG00000017339	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022165	ENSHGLG00100016315	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000799	ENSFDAG00000010947	Fukomys_damarensis
ENSCPOP00000008949	ENSCPOG00000009971	Cavia_porcellus
ENSMLUP00000004342	ENSMLUG00000004773	Myotis_lucifugus
ENSECAP00000043913	ENSECAG00000038639	Equus_caballus
ENSVPAP00000001441	ENSVPAG00000001560	Vicugna_pacos
ENSPCOP00000027607	ENSPCOG00000026339	Propithecus_coquereli
ENSPSMP00000022073	ENSPSMG00000015611	Prolemur_simus
ENSMICP00000044788	ENSMICG00000047497	Microcebus_murinus
ENSOGAP00000015123	ENSOGAG00000016891	Otolemur_garnettii
ENSTSYP00000006335	ENSTSYG00000006949	Carlito_syrichta
ENSDORP00000001944	ENSDORG00000002076	Dipodomys_ordii	ENSDORT00000002076
ENSCCNP00000016863	ENSCCNG00000017143	Castor_canadensis	ENSCCNT00000021943
MGP_CAROLIEiJ_P0045078	MGP_CAROLIEiJ_G0021697	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000024774	ENSMUSG00000023979	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0044596	MGP_PahariEiJ_G0020687	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020950	ENSRNOG00000015623	Rattus_norvegicus
ENSMUGP00000022439	ENSMUGG00000018801	Meriones_unguiculatus
ENSCGRP00015022499	ENSCGRG00015017130	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011276	ENSCGRG00001012958	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000022279	ENSCGRG00000016145	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011749	ENSMAUG00000012246	Mesocricetus_auratus
ENSPEMP00000023243	ENSPEMG00000020343	Peromyscus_maniculatus_bairdii
ENSMOCP00000016183	ENSMOCG00000015159	Microtus_ochrogaster
ENSJJAP00000010232	ENSJJAG00000013876	Jaculus_jaculus
ENSEASP00005004051	ENSEASG00005003070	Equus_asinus_asinus
ENSMLUP00000022118	ENSMLUG00000025451	Myotis_lucifugus
ENSNVIP00000015953	ENSNVIG00000012511	Neovison_vison
ENSMPUP00000013277	ENSMPUG00000013376	Mustela_putorius_furo
ENSCAFP00020010436	ENSCAFG00020008471	Canis_lupus_dingo
ENSVVUP00000037324	ENSVVUG00000026700	Vulpes_vulpes
ENSUMAP00000016277	ENSUMAG00000011967	Ursus_maritimus
ENSAMEP00000013646	ENSAMEG00000012942	Ailuropoda_melanoleuca
ENSPTIP00000021959	ENSPTIG00000018931	Panthera_tigris_altaica
ENSPPRP00000013413	ENSPPRG00000006615	Panthera_pardus
ENSFCAP00000042842	ENSFCAG00000042031	Felis_catus
ENSPCAP00000003737	ENSPCAG00000004024	Procavia_capensis
ENSTTRP00000013329	ENSTTRG00000014060	Tursiops_truncatus
ENSSSCP00000001775	ENSSSCG00000001637	Sus_scrofa_strain_reference
ENSCHIP00000011894	ENSCHIG00000013876	Capra_hircus
ENSOARP00000003431	ENSOARG00000003223	Ovis_aries
ENSBIXP00000006546	ENSBIXG00000012524	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029174	ENSBIXG00005009059	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000035936	ENSBTAG00000012439	Bos_taurus
ENSBMUP00000018174	ENSBMUG00000013755	Bos_mutus
ENSBBBP00000023255	ENSBBBG00000017738	Bison_bison_bison
ENSEEUP00000004744	ENSEEUG00000005218	Erinaceus_europaeus
ENSETEP00000000760	ENSETEG00000000936	Echinops_telfairi
ENSPTRP00000031040	ENSPTRG00000018168	Pan_troglodytes
ENSPPAP00000010842	ENSPPAG00000028630	Pan_paniscus
ENSGGOP00000012485	ENSGGOG00000012800	Gorilla_gorilla
ENSP00000230361	ENSG00000112599	Homo_sapiens
ENSPPYP00000018579	ENSPPYG00000016612	Pongo_abelii
ENSNLEP00000005819	ENSNLEG00000004802	Nomascus_leucogenys
ENSPTEP00000006145	ENSPTEG00000007072	Piliocolobus_tephrosceles
ENSCANP00000003535	ENSCANG00000012606	Colobus_angolensis_palliatus
ENSRROP00000022728	ENSRROG00000035220	Rhinopithecus_roxellana
ENSRBIP00000029837	ENSRBIG00000038802	Rhinopithecus_bieti
ENSMFAP00000016761	ENSMFAG00000031539	Macaca_fascicularis
ENSMNEP00000031647	ENSMNEG00000039223	Macaca_nemestrina
ENSMMUP00000077940	ENSMMUG00000063841	Macaca_mulatta
ENSMMUP00000005331	ENSMMUG00000003999	Macaca_mulatta
ENSMLEP00000028704	ENSMLEG00000038572	Mandrillus_leucophaeus
ENSCATP00000009852	ENSCATG00000029212	Cercocebus_atys
ENSCSAP00000007603	ENSCSAG00000011404	Chlorocebus_sabaeus
ENSTGEP00000037224	ENSTGEG00000029614	Theropithecus_gelada
ENSCJAP00000072399	ENSCJAG00000056741	Callithrix_jacchus
ENSSBOP00000036314	ENSSBOG00000034300	Saimiri_boliviensis_boliviensis
ENSANAP00000040627	ENSANAG00000037665	Aotus_nancymaae
ENSSTOP00000028429	ENSSTOG00000029266	Ictidomys_tridecemlineatus
ENSUPAP00010022107	ENSUPAG00010017574	Urocitellus_parryii
ENSSDAP00000017230	ENSSDAG00000015607	Spermophilus_dauricus
ENSMMMP00000028112	ENSMMMG00000024508	Marmota_marmota_marmota
ENSOANP00000003193	ENSOANG00000002014	Ornithorhynchus_anatinus
ENSSFOP00015035725	ENSSFOG00015022747	Scleropages_formosus
ENSPKIP00000020534	ENSPKIG00000005275	Paramormyrops_kingsleyae
ENSCSEP00000028819	ENSCSEG00000018453	Cynoglossus_semilaevis
ENSSMAP00000009879	ENSSMAG00000006006	Scophthalmus_maximus
ENSKMAP00000013629	ENSKMAG00000010238	Kryptolebias_marmoratus
ENSLBEP00000010844	ENSLBEG00000008316	Labrus_bergylta
ENSGACP00000004424	ENSGACG00000003369	Gasterosteus_aculeatus
ENSTNIP00000015536	ENSTNIG00000012567	Tetraodon_nigroviridis
ENSTRUP00000029562	ENSTRUG00000011703	Takifugu_rubripes
ENSMMOP00000015296	ENSMMOG00000011664	Mola_mola
ENSGWIP00000054413	ENSGWIG00000026015	Gouania_willdenowi
ENSLCRP00005010166	ENSLCRG00005004667	Larimichthys_crocea
ENSCGOP00000000971	ENSCGOG00000000606	Cottoperca_gobio
ENSAOCP00000017706	ENSAOCG00000002085	Amphiprion_ocellaris
ENSAPEP00000026077	ENSAPEG00000018546	Amphiprion_percula
ENSAPOP00000029738	ENSAPOG00000015997	Acanthochromis_polyacanthus
ENSSPAP00000025742	ENSSPAG00000019383	Stegastes_partitus
ENSPRNP00000041484	ENSPRNG00000020313	Parambassis_ranga
ENSXMAP00000022435	ENSXMAG00000022127	Xiphophorus_maculatus
ENSXCOP00000017216	ENSXCOG00000012980	Xiphophorus_couchianus
ENSGAFP00000005967	ENSGAFG00000004070	Gambusia_affinis
ENSPFOP00000007682	ENSPFOG00000007725	Poecilia_formosa
ENSPMEP00000007456	ENSPMEG00000009089	Poecilia_mexicana
ENSPLAP00000023334	ENSPLAG00000008683	Poecilia_latipinna
ENSPREP00000007120	ENSPREG00000004858	Poecilia_reticulata
ENSFHEP00000007207	ENSFHEG00000008497	Fundulus_heteroclitus
ENSCVAP00000019785	ENSCVAG00000023180	Cyprinodon_variegatus
ENSORLP00000016751	ENSORLG00000013359	Oryzias_latipes_ASM223467v1
ENSORLP00020014344	ENSORLG00020015367	Oryzias_latipes_ASM223471v1
ENSORLP00015008571	ENSORLG00015009375	Oryzias_latipes_ASM223469v1
ENSOMEP00000003770	ENSOMEG00000004691	Oryzias_melastigma
ENSMZEP00005035100	ENSMZEG00005026249	Maylandia_zebra
ENSPNYP00000023613	ENSPNYG00000017770	Pundamilia_nyererei
ENSHBUP00000006472	ENSHBUG00000007882	Haplochromis_burtoni
ENSNBRP00000015868	ENSNBRG00000012287	Neolamprologus_brichardi
ENSONIP00000021389	ENSONIG00000016961	Oreochromis_niloticus
ENSACIP00000000069	ENSACIG00000000057	Amphilophus_citrinellus
ENSHCOP00000023439	ENSHCOG00000011987	Hippocampus_comes
ENSSDUP00000028082	ENSSDUG00000020255	Seriola_dumerili
ENSSLDP00000009820	ENSSLDG00000007830	Seriola_lalandi_dorsalis
ENSLCAP00010023170	ENSLCAG00010010874	Lates_calcarifer
ENSMALP00000015254	ENSMALG00000010719	Monopterus_albus
ENSMAMP00000036014	ENSMAMG00000024177	Mastacembelus_armatus
ENSATEP00000029262	ENSATEG00000020122	Anabas_testudineus
ENSBSLP00000045669	ENSBSLG00000021782	Betta_splendens
ENSHHUP00000062147	ENSHHUG00000036760	Hucho_hucho
