ENSCCNP00000009698	ENSCCNG00000010242	Castor_canadensis
ENSCGRP00001002315	ENSCGRG00001002477	Cricetulus_griseus_CHOK1GS_HDv1
ENSCHIP00000006119	ENSCHIG00000010033	Capra_hircus
ENSJHYP00000015910	ENSJHYG00000012199	Junco_hyemalis
ENSVURP00010027902	ENSVURG00010021355	Vombatus_ursinus	ENSVURT00010031792
ENSTSYP00000029165	ENSTSYG00000026255	Carlito_syrichta
ENSCPUP00000025318	ENSCPUG00000017119	Calidris_pugnax
ENSAMEP00000017298	ENSAMEG00000016373	Ailuropoda_melanoleuca	ENSAMET00000018007
ENSGGOP00000013958	ENSGGOG00000014312	Gorilla_gorilla
ENSLCOP00000000923	ENSLCOG00000000767	Lepidothrix_coronata
ENSLSDP00000013837	ENSLSDG00000010015	Lonchura_striata_domestica
ENSCATP00000017351	ENSCATG00000032569	Cercocebus_atys
ENSRNOP00000067189	ENSRNOG00000049797	Rattus_norvegicus
ENSCPRP00005017929	ENSCPRG00005012496	Crocodylus_porosus
ENSANAP00000029876	ENSANAG00000032711	Aotus_nancymaae
ENSCPOP00000031276	ENSCPOG00000037292	Cavia_porcellus
ENSPSIP00000002211	ENSPSIG00000002201	Pelodiscus_sinensis
ENSTGEP00000034403	ENSTGEG00000027428	Theropithecus_gelada
ENSCCAP00000026834	ENSCCAG00000031217	Cebus_capucinus_imitator
ENSFCAP00000045814	ENSFCAG00000014287	Felis_catus
ENSMAUP00000001212	ENSMAUG00000000914	Mesocricetus_auratus
ENSCGRP00000018136	ENSCGRG00000013190	Cricetulus_griseus_CriGri_1.0
ENSNPEP00000010752	ENSNPEG00000008096	Nothoprocta_perdicaria
ENSPPRP00000015863	ENSPPRG00000008342	Panthera_pardus
ENSECAP00000020702	ENSECAG00000023275	Equus_caballus
ENSOCUP00000042221	ENSOCUG00000008079	Oryctolagus_cuniculus
ENSPVAP00000016741	ENSPVAG00000017747	Pteropus_vampyrus	ENSPVAT00000017746
ENSMODP00000038876	ENSMODG00000029268	Monodelphis_domestica	ENSMODT00000041982
ENSOANP00000029958	ENSOANG00000031433	Ornithorhynchus_anatinus
ENSMOCP00000015813	ENSMOCG00000014895	Microtus_ochrogaster
ENSAOWP00000027324	ENSAOWG00000018406	Apteryx_owenii
ENSMGAP00000007802	ENSMGAG00000007656	Meleagris_gallopavo
ENSBMUP00000015558	ENSBMUG00000011821	Bos_mutus
ENSPEMP00000008512	ENSPEMG00000010110	Peromyscus_maniculatus_bairdii
