ENSAOWP00000019456	ENSAOWG00000013217	Apteryx_owenii
ENSARWP00000020585	ENSARWG00000014084	Apteryx_rowi
ENSAHAP00000006627	ENSAHAG00000004974	Apteryx_haastii
ENSDNVP00000004016	ENSDNVG00000002847	Dromaius_novaehollandiae
ENSNPEP00000010217	ENSNPEG00000007666	Nothoprocta_perdicaria
ENSABRP00000020298	ENSABRG00000017303	Anser_brachyrhynchus
ENSAPLP00000006901	ENSAPLG00000007286	Anas_platyrhynchos_platyrhynchos
ENSGALP00000012747	ENSGALG00000007863	Gallus_gallus
ENSCJPP00005021315	ENSCJPG00005017062	Coturnix_japonica
ENSNMEP00000024541	ENSNMEG00000020835	Numida_meleagris
ENSLCOP00000014689	ENSLCOG00000010520	Lepidothrix_coronata
ENSMVIP00005021687	ENSMVIG00005015247	Manacus_vitellinus
ENSTGUP00000006141	ENSTGUG00000005979	Taeniopygia_guttata
ENSLSDP00000016683	ENSLSDG00000012014	Lonchura_striata_domestica
ENSJHYP00000002044	ENSJHYG00000001725	Junco_hyemalis
ENSZALP00000002589	ENSZALG00000002741	Zonotrichia_albicollis
ENSSCAP00000022660	ENSSCAG00000016264	Serinus_canaria
ENSFALP00000011418	ENSFALG00000010940	Ficedula_albicollis
ENSPMJP00000016107	ENSPMJG00000012193	Parus_major
ENSCCEP00000019640	ENSCCEG00000017832	Cyanistes_caeruleus
ENSMUNP00000004820	ENSMUNG00000004010	Melopsittacus_undulatus
ENSCPGP00000027271	ENSCPGG00000018783	Calidris_pygmaea
ENSCPUP00000003438	ENSCPUG00000002625	Calidris_pugnax
ENSCPRP00005012191	ENSCPRG00005008677	Crocodylus_porosus
ENSCPBP00000023944	ENSCPBG00000017069	Chrysemys_picta_bellii
ENSCABP00000023444	ENSCABG00000017281	Chelonoidis_abingdonii
ENSPSIP00000009861	ENSPSIG00000008964	Pelodiscus_sinensis
ENSSPUP00000017616	ENSSPUG00000013604	Sphenodon_punctatus
ENSSPUP00000005100	ENSSPUG00000003930	Sphenodon_punctatus
ENSSPUP00000015956	ENSSPUG00000012321	Sphenodon_punctatus
ENSSPUP00000017266	ENSSPUG00000013359	Sphenodon_punctatus
ENSSPUP00000024552	ENSSPUG00000018807	Sphenodon_punctatus
ENSCHIP00000003666	ENSCHIG00000007869	Capra_hircus
ENSOARP00000005643	ENSOARG00000005262	Ovis_aries
ENSOARP00000021020	ENSOARG00000019570	Ovis_aries
ENSCHIP00000003530	ENSCHIG00000007698	Capra_hircus
ENSCHIP00000000029	ENSCHIG00000000050	Capra_hircus
ENSBTAP00000056965	ENSBTAG00000055154	Bos_taurus
ENSBBBP00000019636	ENSBBBG00000013048	Bison_bison_bison
ENSBTAP00000050326	ENSBTAG00000037415	Bos_taurus
ENSBTAP00000054163	ENSBTAG00000047768	Bos_taurus
ENSBMUP00000022572	ENSBMUG00000016989	Bos_mutus
ENSBIXP00000021647	ENSBIXG00000024690	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021595	ENSBIXG00005004198	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005024267	ENSBIXG00005026865	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009045	ENSBIXG00000014779	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000041017	ENSBTAG00000030735	Bos_taurus
ENSBIXP00000028651	ENSBIXG00000007456	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030164	ENSBIXG00005010228	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000074345	ENSBTAG00000050071	Bos_taurus
ENSBMUP00000013753	ENSBMUG00000010493	Bos_mutus
ENSBBBP00000012929	ENSBBBG00000005552	Bison_bison_bison
ENSCHIP00000021219	ENSCHIG00000019619	Capra_hircus
ENSTTRP00000004126	ENSTTRG00000004387	Tursiops_truncatus
ENSSSCP00000056639	ENSSSCG00000032129	Sus_scrofa_strain_reference
ENSCAFP00000046856	ENSCAFG00000042877	Canis_lupus_familiaris
ENSCAFP00020029970	ENSCAFG00020023343	Canis_lupus_dingo
ENSVVUP00000010023	ENSVVUG00000007413	Vulpes_vulpes
ENSVVUP00000022835	ENSVVUG00000016721	Vulpes_vulpes
ENSUAMP00000002303	ENSUAMG00000002127	Ursus_americanus
ENSUMAP00000020914	ENSUMAG00000015313	Ursus_maritimus
ENSUMAP00000025586	ENSUMAG00000018667	Ursus_maritimus
ENSAMEP00000006475	ENSAMEG00000006153	Ailuropoda_melanoleuca
ENSNVIP00000004923	ENSNVIG00000003981	Neovison_vison
ENSCAFP00020019313	ENSCAFG00020015365	Canis_lupus_dingo
ENSCAFP00000065829	ENSCAFG00000046680	Canis_lupus_familiaris
ENSCAFP00000008611	ENSCAFG00000005757	Canis_lupus_familiaris
ENSVVUP00000011136	ENSVVUG00000008213	Vulpes_vulpes
ENSCAFP00000043909	ENSCAFG00000049113	Canis_lupus_familiaris
ENSCAFP00020026130	ENSCAFG00020020512	Canis_lupus_dingo
ENSUAMP00000020049	ENSUAMG00000015834	Ursus_americanus
ENSNVIP00000026536	ENSNVIG00000020530	Neovison_vison
ENSPTIP00000025916	ENSPTIG00000021523	Panthera_tigris_altaica
ENSPPRP00000001207	ENSPPRG00000024301	Panthera_pardus
ENSFCAP00000032411	ENSFCAG00000033601	Felis_catus
ENSECAP00000026976	ENSECAG00000033422	Equus_caballus
ENSEASP00005010051	ENSEASG00005007131	Equus_asinus_asinus
ENSVPAP00000001223	ENSVPAG00000001324	Vicugna_pacos
ENSPVAP00000003057	ENSPVAG00000003237	Pteropus_vampyrus
ENSMLUP00000019296	ENSMLUG00000022443	Myotis_lucifugus
ENSCPOP00000032123	ENSCPOG00000036844	Cavia_porcellus
ENSFDAP00000002731	ENSFDAG00000012359	Fukomys_damarensis
ENSHGLP00000003019	ENSHGLG00000002255	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001116	ENSHGLG00100000889	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004729	ENSHGLG00000003469	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020291	ENSHGLG00100014971	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000026473	ENSODEG00000019906	Octodon_degus
ENSODEP00000006396	ENSODEG00000004793	Octodon_degus
ENSODEP00000026866	ENSODEG00000020359	Octodon_degus
ENSODEP00000025660	ENSODEG00000018944	Octodon_degus
ENSODEP00000026938	ENSODEG00000020436	Octodon_degus
ENSODEP00000027007	ENSODEG00000020522	Octodon_degus
ENSODEP00000000923	ENSODEG00000000737	Octodon_degus
ENSODEP00000026033	ENSODEG00000019392	Octodon_degus
ENSODEP00000026188	ENSODEG00000019574	Octodon_degus
ENSODEP00000025395	ENSODEG00000018637	Octodon_degus
ENSODEP00000025786	ENSODEG00000019103	Octodon_degus
ENSODEP00000025481	ENSODEG00000018738	Octodon_degus
ENSODEP00000026344	ENSODEG00000019759	Octodon_degus
ENSCLAP00000000344	ENSCLAG00000000296	Chinchilla_lanigera
ENSCCNP00000028374	ENSCCNG00000027339	Castor_canadensis
ENSMICP00000038548	ENSMICG00000030745	Microcebus_murinus
